Date,Event,Fatalities,Route,Location,Aircraft Type,Passengers,Registration,Aircraft,Crew,Responsible Group,People on Board,Crash Cause,Total Fatalities,Accident Cause,Survivors,Flight Number,Weather,Probable Cause,Airline,Flight Route,Total Passengers,Crew Members,Ground Casualties,Total Crew,Establishment Date,Contributing Factors,,Cause,Accident Description,Possible Causes,Total Fatalties,Crash Location,Crew Deaths,Aircraft Registration,Main Cause,Engine Type,Notable Individuals,Capacity,Aircraft Information,Description,Departure Airport,Destination Airport,Destination,Outcome,Responsible Party,Operations,Name,Cause of Crash,Injuries,Formation Date,--------------------,Serious Injuries,Minor/No Injuries,Operational History,Other Details,-------,Aeroservicios Ecuatorianos Flight 767-103,Modernization Era,Peak Status,Post-1992 Status,Operation Enduring Freedom Status,2021 Status,Fall of Kabul Status,Flight Crew,Manufacturer Serial Number,Maintenance Details,Passenger Details,Responsible Group/Cause,Crew Fatalities,Passenger Fatalities,Development,Wing Position,Characteristics,Alliance Air Flight 7412,Boeing 737-2A8 (VT-EGD),Operator,Total People on Board,Crew Involved,Additional Context,Crew members,------------------------,Cameroon Airlines 3701,Departure,Ground Fatalities,Initial Engine Issue,Reason for Crash,Occupants,Smoke Detection,Wreckage Location,Flight Recorder Recovery,Founded by,First Aircraft Delivered,Battle Significance,Main Commander,Flydubai Flight 981,Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",Founding Date,Founder,Headquarters,Acquired by,Fleet,Notable Awards,Merger Date,Reestablishment Date,Current Status,Minister of Defense,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",Notes,Engine,Produced,Variant,Paratroopers,Cargo Capacity,Rear Loading Ramp/Door,Defensive Tail Gun Turret,Chinese Version,Production Year,Personnel Count,Highest Rank Held,-----------------------------------,Crash Causes,Potential Causes,LaMia Flight 2933,----------------,2933,LOT Polish Airlines Flight 5055,Alleged Cause,Possible Cause of Crash,Accident Causes,Location of Disappearance,Pakistan International Airlines Flight 268,Crew Member,------------------,Captain,First Officer,Flight Engineer 1,Flight Engineer 2,Pakistan International Airlines Flight 8303,Engine Failures,Rescued,Note,Total Lockheed C-130 Hercules Production Hulls Lost,US C-130 Losses during Vietnam War,Royal Air Force Accident Rate (1967-2005),US Air Force Hercules Overall Attrition Rate,Lineage of Russian Air Force,Commander,Sequence of Events,Investigation,Singapore Airlines Flight 006,-----------------------,Captain Foong Chee Kong,First Officer Latiff Cyrano,Relief Pilot Ng Kheng Leng,Key Causes,Responsible Crew Members,Southern Airways Flight 932,Possible Contributing Factors,Casualties,Investigating Authority,TAME Flight 120,Weather Conditions,Responsible Pilots,Crash Factors,TWA Flight 128,Crew Role,-------------------,Hours of Flight,"Pilot error, misjudgment of altitude",Origin,Fatalities (Passengers),Fatalities (Crew),Responsible Factors,Flight 352,Yekaterinburg - Vladivostok,Vnukovo Airlines 2801,"Since there is no specific responsible group mentioned in the text provided, this information has been excluded from the final table.",Initial Aircraft,Training Partnership,Initial Acquisition of Aircraft,Major Arms Deal,Aircraft Provided by Donations,Conflicts Faced by Air Force,Sole Survivor,trigger
8 July 1980,Aeroflot Flight 4225,,Alma-Ata Airport (Kazakhstan) - Simferopol Airport (Ukraine),,,156,,Tupolev Tu-154B-2,10,,,,166,"Thermal currents during climb causing stalling, crash, and fire, Windshear",,,Heat wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 4225
30 August 1983,,,"Chelyabinsk to Almaty, Soviet Union",,,90,,Tupolev Tu-134A,,,,,90,"Crew error, failure to follow correct heading and altitude instructions, delayed climb leading to collision with mountainous terrain and crash into Dolan Mountain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 5463
29 August 1979,Aeroflot Flight 5484,63,Odessa - Kyiv - Kazan,,,58,,Tupolev Tu-124V,"Captain, Co-pilot, Navigator, Flight Engineer, Flight Attendant",,,,,"Loss of control, in-air breakup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 5484
31 August 1972,Aeroflot Flight 558,102,Karaganda to Moscow,,,93,CCCP-74298,Ilyushin Il-18V,9,,,,,Fire caused by exploded passenger baggage leading to a fatal crash into a field in Abzelilovsky District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 558
23 March 1994,Aeroflot Flight 593,75,"Moscow, Russia to Kai Tak Airport, Hong Kong","Kuznetsk Alatau mountain range, Russia",,,F-OGQS,Airbus A310-304,,Pilot and First Officer's errors,,,,,,,,,,,63,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 593
24 February 1973,,,Dushanbe to Moscow via Leninabad,,,74,,Ilyushin Il-18V,5,,,,79,"Loss of control leading to a steep left spiral and disintegration at 2,200m due to navigation error and crew actions",,Aeroflot Flight 630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 630
20 October 1986,,70,"Sverdlovsk to Grozny, Soviet Union",,,94,,Tupolev Tu-134A,"Alexander Kliuyev (Pilot in Command), Gennady Zhirnov (Co-Pilot), Ivan Mokhonko (Navigating Officer), Kyuri Khamzatov (Flight Engineer), 3 Flight Attendants",,,,,"Pilot Negligence, Ignored Ground-Proximity Warning, Did Not Make Suggested Go-Around, Failed Approach Decision",,,"Instrument-Only Approach with Curtained Cockpit Windows, Speed of 150 kn, Overran Runway and Came to Rest Upside Down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 6502
11 May 1973,,,Baku to Novosibirsk with a stopover in Tashkent,,,63,CCCP-75687,Ilyushin Il-18B,8 crew members,,,,63,Crashed over Semipalatinsk due to unknown reasons,,,"Clouds at altitudes of 1000–1300 meters, mild wind and rain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 6551
2 September 1964,,,"Moscow to Yuzhno-Sakhalinsk, Russian SFSR",,,"84 passengers, including 17 children",,Ilyushin Il-18V,9 crew members,,,,87 fatalities,Impact into a side of a hill on approach,,,"Limited visibility, irregular wind conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 721
10 July 1985,,,Karshi–Ufa–Leningrad,,,200,,Tupolev Tu-154B-2,"Pilot-in-command Oleg Pavlovich Belisov, Co-pilot Anatoly Timofeevich Pozyumsky, Navigator Garry Nikolaevich Argeev, Flight Engineer Abduvahit Sultanovich Mansurov",,,,200,"Crew fatigue, confusion with engine surges, incorrect reduction of engine power, stalling of the aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 7425
"February 1, 1985",,,"Minsk to Leningrad, Soviet Union",,,"Fifty-eight fatalities, twenty-two survivors",CCCP-65910,Tupolev Tu-134A,,,,,,,,,,,,,,,,,,,,Engine failure due to ice ingestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 7841
28 June 1982,Aeroflot Flight 8641,132,,"South of Mozyr, Belarus",Yakovlev Yak-42,,CCCP-42529,,,N/A,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 8641
"December 12, 1986",,,Minsk to East Berlin,,,82 (including crew),,Tupolev Tu-134,9,,,,72,"Pilot error, misunderstanding runway directional signals",,,"Adverse weather conditions, ILS landing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 892
30 June 1962,Aeroflot Flight 902,84,Khabarovsk to Moscow via Irkutsk and Omsk,,,76,,Tu-104A,8,,,"Stall and loss of spatial orientation in cloud, possibly hit by anti-aircraft missile",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 902
13 October 1973,,,"Kutaisi Airport, Georgia to Domodedovo Airport, Moscow",,,114 (8 illegal),,Tupolev Tu-104B,8,,,,122,"Inaccurate approach, compass issues, loss of control",,,"Dark with 2,400 metres visibility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 964
18 August 1973,Aeroflot Flight A-13,56,"Baku, Azerbaijan to Fort-Shevchenko, Kazakhstan",,,64,,Antonov An-24B,,,,,,"Engine failure on takeoff causing crash after hitting oil rig cable, with 56 of 64 passengers and crew killed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight A-13
"August 3, 1969",Flight N-826,55,Voroshilovgrad to Lviv,"Dnipropetrovsk, Ukraine",Antonov An-24,,CCCP-46248,,,,55,"In-flight failure of propeller, loss of control, uncontrollable descent, high-speed impact with ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight H-826
6 February 1970,Aeroflot Flight U-45,92,,"Samarkand, Uzbekistan",Ilyushin Il-18,,Unknown,,,N/A,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight U-45
14 September 2008,,,,,,82,,Boeing 737-505,6,,,,88,"Spatial orientation loss, inexperience with the Western type of attitude indicator, lack of adequate rest, poor crew resource management, alcohol consumption by the captain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Second-deadliest aviation incident in 2008, damaging section of the Trans-Siberian Railway, led to rebranding of Aeroflot-Nord as Nordavia and later Smartavia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot-Nord Flight 821
23 November 1961,Aerolíneas Argentinas Flight 322,52,Buenos Aires–São Paulo–Port of Spain–New York City,Viracopos-Campinas Int. Airport,Comet 4,52,LV-AHR,,,Government of Brazil and Argentina,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerol铆neas Argentinas Flight 322
19 July 1961,Aerolíneas Argentinas Flight 644,67,,"Pardo, Buenos Aires, Argentina",Douglas DC-6,,LV-ADW,,,,67,Severe turbulence during climb out leading to disintegration of the plane due to excessive loads and wings rupture. Pilot and flight dispatcher misevaluated weather forecast and altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerol铆neas Argentinas Flight 644
"October 2, 1996",,,"Miami, FL - Santiago, Chile (stops in Quito, Ecuador and Lima, Peru)",,,70,,Boeing 757-23A,"Captain Eric Schreiber Ladrón de Guevara, First Officer David Fernández Revoredo",,,,70,,,603,,"Blocked pitot-static system ports affecting air data computers, leading to crash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroper煤 Flight 603
26 August 1981,Aeropesca Colombia 221,50,,"Mount Santa Elana, Colombia",Vickers Viscount 745D,,HK-1320,,,,50,,,,,,,Continuing VFR in meteorological conditions below minimum altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeropesca Colombia Flight 221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-------------------,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroservicios Ecuatorianos Flight 767-103
17 December 1997,Aerosvit Flight 241,70,,"Thessaloniki, Greece",Yakovlev Yak-42,,UR-42334,,,Greek Aircraft Accidents Inquiry Council,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerosvit Flight 241
Not Provided,,Unknown,,La Aurora International Airport,,,,Herald 206,,,,Not Provided,,,,,,,Aerovías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerovias Guatemala Caravelle (HC-BAE)
,Afghan Air Force,,,,,,,,,,,,,,,,,,,,,,,,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s by King Zahir Shah,350 aircraft,35–40 aircraft,Few helicopters,"183 aircraft, 7,000 airmen","Disintegration, Fall of Kabul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan Air Force
"May 12, 2010",Afriqiyah Airways 771,103,"OR Tambo International Airport, South Africa - Tripoli International Airport, Libya",,Airbus A330-202,104,5A-ONG,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afriqiyah Airways Flight 771
24 July 2014,Air Algérie 5017,,"Ouagadougou, Burkina Faso - Algiers, Algeria",,,110,,McDonnell Douglas MD-83,6,,,Ice accretion on engines leading to high-altitude stall and subsequent crash due to inability to recover,,,None,MD-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Alg茅rie Flight 5017
6 March 2003,Air Algérie Flight 6289,102,,"Tamanrasset, Algeria",Boeing 737-2T4,,7T-VEZ,,,Air Algérie,103,"Flight crew error following an engine failure, inadequate emergency response, speed drop leading to crash",,,,,,,,,,,,,,,,,,,,,,,,Pratt & Whitney JT8D-17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,Captain and First Officer,22700,"Last major overhaul in Oct-Nov 2002, engines installed in 2001 and 2002","97 passengers: 39 to Algiers, 58 to Ghardaia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Alg茅rie Flight 6289
"July 5, 1970",Air Canada Flight 621,109,Montreal–Toronto–Los Angeles,"Toronto Gore Township, Brampton",Douglas DC-8,100,CF-TIW,,9,,,Inaccurate landing approach procedures and discussion on spoiler deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Canada Flight 621
"April 15, 2002",Air China 129,129,Beijing Capital International Airport to Gimhae International Airport,Near Gimhae Airport,Boeing 767-200ER,,,,,Korea Aviation Accident Investigation Board,,"Pilot error resulting from flying below minimum safe altitude, lack of specific circling approach training for destination airport, ATC error, poor crew resource management leading to crash into a hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air China Flight 129
"January 13, 1982",Air Florida Flight 90,74,Washington National Airport to Fort Lauderdale-Hollywood International Airport,"Potomac River, Washington D.C., Arlington County, Virginia",Boeing 737-222,74,N62AF,,5,,,,,"Pilot error: failure to switch on engines' ice protection systems, use of reverse thrust in snowstorm, failure to detect power problems, failure to abandon takeoff",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Florida Flight 90
3 June 1962,Air France Flight 007,,,,Boeing 707,,,,,,,,130,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 007
22 June 1962,Air France Flight 117,All onboard,"Paris-Orly Airport - Lisbon - the Azores - Guadeloupe - Peru - Santiago, Chile","Pointe-à-Pitre, Guadeloupe",,,,Boeing 707–328,,,,"Insufficient meteorological information, failure of ground equipment, atmospheric effects on the ADF indicator",,,,,,,,,,,,,,,,,,,,,,,,,"Justin Catayée, Paul Niger, Wanda Llosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 117
11 September 1968,Air France Flight 1611,95,"Ajaccio, Corsica to Nice, France",,Sud Aviation SE-210 Caravelle III,95,,,Unknown,,,"Fire in passenger toilet, possibly from a defective water heater or discarded cigarette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 1611
12 September 1961,Air France Flight 2005,77,Paris-Orly to Rabat-Salé with stop at Casablanca,"Near Douar Doum, Morocco",,,,Sud Aviation Caravelle,,,77,,,,,,,Error in instrument reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 2005
"March 6, 1968",Air France Flight 212,63,,"La Soufrière Mountain, Guadeloupe",Boeing 707-328C,,F-BLCJ,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual approach procedure error at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 212 (F-BLCJ)
"August 29, 1960",Air France Flight 343,63,"Paris, France - Abidjan, Ivory Coast, with stopovers in Dakar, Senegal and Monrovia, Liberia",,,55,F-BHBC,Lockheed 1049G Super Constellation,8,,,,,,,,,,,,,,,,,,,,,,,"Yoff Airport, Dakar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 343
"May 10, 1961",Air France Flight 406,78,,Algeria,Lockheed L-1649 Starliner,,F-BHBM,,,Unknown,78,Sabotage with nitrocellulose explosive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 406
20 April 1998,Air France Flight 422,,Paris - Bogotá - Quito,,,43,,Boeing 727-200,10,,,,53,Improper execution of departure maneuver leading to crash into Eastern Hills of Bogotá,,N/A,Foggy with low visibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air France Flight 422
