Date,Event,Magnitude,Death Toll,Time,Mercalli Intensity,Epicenter,Intensity,Impacted Regions,Impact on Infrastructure and Population,Casualties,Location,Date of Impact,Total Monetary Losses,Town of Impact,Hurricane Name,Typhoon,Death Toll Range,Villages Affected,Total Casualties,Fatalities,Injured,Affected Regions,Landfall Date,Maximum Intensity,Aftershocks Recorded,Cause,International Response,Cyclone Name,Ground Deformation,Financial Losses,Duration,Total Fatalities,Peak Intensity,Date of Formation,People Affected,Areas Affected,Most Affected Areas,Buildings Damaged,Notable Impact,Notable Buildings Destroyed,Notable Impacts,Population Affected,Dissipation Date,Maximum Slip,Economic Losses,Deaths,Impact on Infrastructure,Regions Affected,Most Affected Regions,Displaced People,Date of Landfall,Landfall Location,Villages Destroyed,Buildings Damaged/Destroyed,Effects,Notable Effects,Area Affected (sq km),Fatality Estimates,Key Events Leading to Disaster,Aftermath,Other Impacts,Impact on Towns,Notable Phenomena,Death Toll Estimate,Economic Toll,State Record High Temperatures Set,Start Month,Peak Month,Temperature Records set in Different States/Provinces,Significant Damage,Recorded Wind Speeds,Affecting Fault,Duration of Shaking,Tsunami Height,Affected Area,Geological Information,Magnitude (Mainshock),Magnitude (Aftershock),Tsunami Generated,Impact,Other notable impacts,Estimated Monetary Losses,Towns Affected,Communications Impact,Houses Flooded,Impact on Region,Time Period,Impacted Province,Highest Flood Levels,Estimated Death Toll,Fault,Dasht-e Bayaz Earthquake,Ferdows Earthquake,Houses Collapsed,Houses Severely Damaged,Landslides,Sandblows Observed,Region of Impact,Focal Mechanism,Main Impacts,Construction Material,Impact on Fishermen,Notable Impact on Infrastructure,Key Statistics,Distance to Tehran,Surface Rupture,Vertical Slip,Infrastructure Damage,Injuries,Injured Individuals,Distance to Major City,Missing,Monetary Damage,MSK Intensity,Notable Film References,Formation Date,Monetary Damages,Relief Efforts,Villages Demolished,Main Districts Affected,Hypocenter Depth,Possible Causes,Depth,Government Response,Cyclone,Rupture Length,Fault Line,Plate Tectonics Impact,Ground Conditions,Displaced Population,Land Area Affected,Mode of Onset,Lasting Impact,Distance to Epicenter,Timeframe,Highest Recorded Temperature,Significant Impacts on Infrastructure,Year,Contributing Factors,Seismic Activity,Geological Factors,Severely Injured,Slightly Injured,Affected Houses,Affected Families,Earthquake Type,Houses Affected,Significance of Infrastructural Damage,Noteworthy Rescue Efforts,Record High Temperature,Affected Population,Impact on Water Resources and Agriculture,Drought Association,Delay in Monsoon Rains,Climate Change Connection,Warning Plans Implemented,Impact on Buildings and Infrastructure,Tsunami Triggered,States Affected,Rescued by Indian Navy,Notable Details,Total Deaths,Total Injuries,Buildings Damaged or Destroyed,International Aid Response,Geological Context,Warning Prior to Event,Rainfall Amount,Maximum Mercalli Intensity,Impact on Armero,Overall Death Toll,Controversy Over Government Warnings,International Attention,Relief Challenges,Affected Region,Peak Sustained Winds,Estimated Monetary Damage,Key Events,Impact on Kobe,Hurricane,Most Affected Countries,Dates,Livestock Lost,Trigger of Eruption,Prevention Measures,Highest Rainfall Amount,Records Set,Iris,Joan,Kate,Max Sustained Winds,Maximum Sustained Winds,Peak Wind,Peak Pressure,Estimated Damage,Origin,Development,Landfalls,Peak Wind Speed,Impact on Philippines,Notable Event,Damage and Significance,Minimum Pressure Recorded,Peak Winds,Storm Surge,Seawalls Destroyed,Boats Destroyed,Crop Damage,Date of Dissipation,trigger
November 1977,1977 Andhra Pradesh Cyclone,,,,,,Category 1,,,"10,000",,,,,,,,,,,,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originated as tropical disturbance, intensified rapidly, caused significant devastation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977 Andhra Pradesh cyclone
September 16,1978 Tabas earthquake,7.4,"15,000–25,000",19:05:55,IX+,,,,,,,,,Tabas,,,,85,,,,,,,,,,,55–85 km,,,,,,,,,,,,,,,1.7 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 Tabas earthquake
October 10,1980 El Asnam earthquake,7.1,,13:25:23,X,"El Asnam, Algeria",,,,"2,633",,,,,,,,,,,,,,,Magnitude 6.2,,,,,,,,,,,,,,,,,"900,000",,,$5.2 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 km,4.2 m,"Hospital, mosque, school","8,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 El Asnam earthquake
June 11,1981 Golbaf earthquake,6.6,,10:54:25,VIII+,,,,,,,,,,,,"1,400–3,000",,,,,,,,,,,,,$5 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981 Golbaf earthquake
December 13,1982 North Yemen earthquake,6.2,"2,800 killed",,VIII,,,,,,"Near Dhamar, North Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982 North Yemen earthquake
30 October 1983,1983 Erzurum earthquake,6.6,1340,07:12,IX,,,,,,,,,"Erzurum, Kars",,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983 Erzurum earthquake
March 6,1987 Ecuador Earthquakes,"6.7, 7.1, 6.0",,,IX,"Napo Province, Ecuador",,,,"1,000",,,,,,,,,,,,,,,,,,,,,6 hours,,,,,,,,,,"75 km ENE of Quito, 25 km north of Reventador Volcano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000",$1 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987 Ecuador earthquakes
December 7,1988 Armenian earthquake,6.8,,11:41,,,,,,,,,,,,,,,,,"Up to 130,000","Northern Armenia (Spitak, Leninakan, Kirovakan)",,,,,Humanitarian aid from 113 countries,,,,,,,,,,,,,,,,,,,"25,000-50,000","Devastation of buildings, high casualties, request for US humanitarian aid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Armenian earthquake
"June 21, 1990",1990 Manjil-Rudbar earthquake,7.4,"35,000-50,000",00:30:14,X,,,,,,,,$8 billion,"Rudbar, Manjil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Kiarostami films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990 Manjil–Rudbar earthquake
,1991 Bangladesh cyclone,,"138,866",,,,Super Cyclonic Storm,,,,,,,,,,,,,,,"Bangladesh, India, China","April 29, 1991",,,,,,,,,,,,,,,,,,,,Early May 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 22, 1991",$1.7 billion,Operation Sea Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 Bangladesh cyclone
30 September 1993,1993 Latur earthquake,6.2,,3:56 am,,,,,,"10,000",,,,,,,,,,,"30,000",,,,,,"Immediate relief teams, medical aid, relief materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,"Latur, Osmanabad",10 km,"Intraplate shifting, reservoir construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 Latur earthquake
June 6,1994 Páez River earthquake,6.8,"1,100",,,,,,,,,,,Páez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauca, Huila departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 km,Nasa Kiwe Corporation created for relief and reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 P谩ez River earthquake
4-7 November,,,,,,,Category 2,Andhra Pradesh,,,,,₹21.5 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Andhra Pradesh cyclone
August 17,1999 İzmit Earthquake,7.6,-,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"İzmit, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 km,North Anatolian Fault,Anatolian Plate being pushed by Eurasian and Arabian Plates,"Weak, poorly consolidated rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 陌zmit earthquake
Feb-March 2000,2000 Mozambique Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,$15 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,000","1,400 km2",Heavy rainfall/Cyclone Eline,Continuing recovery shelters and limited water supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 Mozambique flood
26 Jan 2001,2001 Gujarat earthquake,7.7,"13,805–20,023",08:46,X,,,,"Devastation of Bhuj, Bhachau, Anjar, destruction of over a million structures and historic buildings",,,,,Bhuj,,,,Hundreds,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 Gujarat earthquake
,2002 Heatwave,,,,,,,,,,,,,,,,,,"1,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andhra Pradesh, South India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April to May 2002,49 degrees Celsius,"Ponds and rivers evaporated, severe animal deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Indian heat wave
,2003 European Heat Wave,,"Over 70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,July-August 2003,,,,,,,,,,,,,,,,,"Europe, particularly France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Lack of air conditioning, unclaimed bodies, unusually high temperatures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 European heat wave
8 October 2005,2005 Kashmir earthquake,7.6,"86,000",08:50:39,XI,,,,,,,,,,,,,,,,"86,000",,,,,,,,,,,,,,,,"Muzaffarabad, Balakot, Jammu and Kashmir",,,,,,,,,,,,,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collision of Eurasian and Indian plates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Kashmir earthquake
"May 27, 2006",2006 Yogyakarta earthquake,6.4,"5,700+",05:54,VIII,,,,,,,,,,,,,,,,,,,,,,,,,Rp 29.1 trillion,,,,,,,,,,,,,,,,,Housing and businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proximity to Mount Merapi, soil liquefaction risks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Yogyakarta earthquake
30 September 2009,,7.6 Mw,"1,115 dead",17:16:10,,"45km west-northwest of Padang, West Sumatra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,214","1,688","Severe: 135,000  Moderate: 65,000 Slightly: 79,000","250,000",Megathrust (deemed to result from deformation in the mantle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Sumatra earthquakes
12 Jan 2010,,7.0 Mw,,16:53,,"Near Léogâne, Haiti",,,,,,,,,,,"100,000 to 316,000",,,,,,,,At least 52,,"Humanitarian aid, funds pledged, rescue teams dispatched",,,,,,,,Approx. 3 million,,,"250,000 residences, 30,000 commercial buildings collapsed",,"Presidential Palace, National Assembly, Port-au-Prince Cathedral, main jail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Haiti earthquake
2 May 2014,,,,,,,,,,,"Argo District, Badakhshan Province",,,,,,"350-2,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 buried, 14,000 affected","1000 houses affected, village leveled",Second mudslide hampered rescue efforts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Badakhshan mudslides
April - May 2016,2016 Indian heat wave,,,,,,,,,330 million,,,,,,,,,,,,,,,,,,,,,51.0 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,over 160,"Water shortages, worsened drought",Yes,nearly one week,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Indian heat wave
28 Sep 2018,,7.5,"4,340 fatalities",,,"Donggala Regency, Central Sulawesi",,,,"4,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Major destruction, soil liquefaction",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Sulawesi earthquake and tsunami
July-Aug,2019 Indian floods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200+,,,,1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karnataka, Maharashtra, Gujarat,",Yes,"Heavy monsoon, over 1600 total deaths, Kerala severely hit, Vadodara flooded, proactive deployment of NDRF and SDRF teams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Indian floods
14 Aug 2021,,7.2,,08:29:09,,"Tiburon Peninsula, Haiti",,,,,,,,,,,,,,,,,,,,,,,,Over $1.5 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,248","12,200","137,500",USAID provided $32 million,Located in a complex plate boundary zone with active faults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Haiti earthquake
"February 15, 2022",,,,,,,,,,231,"Petrópolis, Rio de Janeiro, Brazil",,,,,,,,,,,,,,,Intense rainfall causing mudslides and flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warning of moderate risk of landslides issued 2 days before,258mm within 3 hours (250mm between 4:20pm - 7:20pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Petr贸polis floods
"April 25, 2015",April 2015 Nepal earthquake,7.8Mw,"8,964",11:56 NST,,"East of Gorkha District, Nepal",,,"Extensive devastation resulted in over 8,900 deaths, injuries to over 21,900, widespread damage to structures, and destruction of UNESCO World Heritage Sites.",,,,,,,,,,,,"21,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gorkha, Kathmandu, Langtang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2015 Nepal earthquake
"Nov 13, 1985",Armero Tragedy,,,,,,,,,,"Tolima, Colombia",,,,,,,,"23,000",,,,,,,Eruption of Nevado del Ruiz volcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engulfed the town of Armero,"23,000",Government warnings controversy,Worldwide attention,Mud composition made relief difficult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armero tragedy
,,,,,,,,,"Catastrophic destruction with over 138,000 fatalities reported",,,,$12 billion,,,,,,,"138,373",,,,,,,,Cyclone Nargis,,,,,,,,,,,,,,,,,,,,,,,"May 2, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Myanmar, Irrawaddy Delta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclone Nargis
,,,,,,,,,,,,,,,,,,,,"3,447 to 15,000",,,,,,,,Cyclone Sidr,,,,,,,,,,,,,,,,,,,,,,,"November 15, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260 km/h (Category 5),196.25 billion taka,"Formed in Bay of Bengal, landfall in Bangladesh, significant evacuation efforts, international aid pledged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclone Sidr
"January 17, 1995",Great Hanshin Earthquake,6.9,"6,434",05:46:53,VII,17 km beneath northern Awaji Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strongest tremors hit Kobe, resulting in 4,600 deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Hanshin earthquake
,,,,,,,Category 5,"Dominican Republic, Leeward Islands, Greater Antilles, East Coast of the United States","Catastrophic devastation, over 2,000 people killed, most intense hurricane in the country's history",,,August 1979,,,Hurricane David,,,,"2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane David
,,,,,,,Category 2,"Honduras, Belize, Mexico, etc.","Over 8,200 fatalities, widespread flash flooding, mudslides, significant loss of life and damage",,,September 1974,$1.8 billion,,Hurricane Fifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Fifi–Orlene
,,,,,,,Category 5,"Lesser Antilles, Caribbean, Mexico","Catastrophic devastation and 1,000+ deaths, first named storm with that death toll",,,September 1955,$7.8 million,,Hurricane Janet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Janet
,,,,,,,Category 5,"Lesser Antilles, Dominica, Puerto Rico","Catastrophic devastation on housing, infrastructure, and population",,,September 2017,$91.61 billion,,Hurricane Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Maria
,,,,,,,,,,,,,$2.005 billion,,,,,,,,,,,,,,,,,,,"Over 11,000",Category 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Mitch,"Honduras, Nicaragua, Central America",October 22 - November 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane Mitch
21 August 1986,Lake Nyos Eruption,,,,,,,,,"1,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,500","Suspected landslide, potential volcanic eruption, or cool rainwater event",Installation of degassing system to reduce CO2 risk,,,,,,,,,,,,,,,,,,,,,,,,,Lake Nyos disaster
,,,,,,,Category 1,"Mexico, Texas",,,,September 1921,,,1921 Texas Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40 in near Thrall, 36.40 in elsewhere in Williamson County",Fourth-highest rainfall total in Texas since record keeping began; Sixth-highest rainfall total for the state.,,,,,,,,,,,,,,,,,,,,,,,September 1921 San Antonio floods
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quảng Nam, Quảng Tín",,,,,,,,,,,,,,,,,,,,,,Tropical Storm Joan (1964)
