Event Name,Location,Annual Occurrence,Focus,Dates,Significance,Purpose,Organizing Body,Key Organizer,Number of Attendees,Participating Organizations,Participants,Year,Date,Founding Year,Number of Participants,Year Founded,Significant Details,Year Established,Notable Participants,Funding Sources,Supporting Organizations,Attendance,Key Organizers,Event,Organizer,Duration,Opposition Party,Founders,Sponsors,Notable Participants/Supporters,Founding Organization,Founding Members,Awards,Notable Incidents,Significant Features,Locations,Historical Significance,Establishment Year,Organization Name,Events Hosted,Unique Activities,Fundraising Amount,Legal Recognition of Same-Sex Unions,Anti-Discrimination Laws in Employment,Extending Anti-Discrimination Laws to Gender Identity,Hate Speech and Hate Crime Legislation,Civil Unions Legalized for Same-Sex Couples,Rights for Transgender Individuals,Gender Identity Recognition Without Surgical Alteration,Same-Sex Couples' Rights to Foster Care Children,Gay Culture Hotspots,Main Activities,Notable Performers,Rotation Between Baltic Capitals,Opposition Faced,Key Developments,Notable Film,Berlin Pride,CSD Berlin,Opposition,Political Climate,Response to LGBTQ Rights,Significant Activities,Participant Numbers,Venue,Activities,Disruptions,Awards/Honors,Additional Events,Organizational Structure,Support from Local Inhabitants,Number of Attendees in 2018,Estimated Attendees (2014),Largest Attendance Year,Come Out with Pride,Attendance Growth,Features,2001,2002,2003,2004,2005,2006,2018,2019,Hosting Organization,Target Audience,Theme/Purpose,Significant Years,Opposition faced,Entry Details,Unique Events,Inclusion Criteria,International Participation,Activities during Event Week,Historical Background,Attendance Numbers,Activities Organized,Number of Volunteers,Services Provided,CEO,Number of Employees,Key Events,Fundraising Initiatives,Significant Films,Date Observed,Countries Commemorated,Specific Date Chosen,Significant Milestones,Founders/Staff,Awards Received,Start Year,Background,Attendees,Support from Leeds Inhabitants,Organizer Association,Themes Covered,Hiatus/Return,Number of Attendees in 2013,Goals and Aims,Focus/Theme,Related Events,1999,2000,Date of First Event,Volunteer Organizers,Support from Stakeholders,Controversies/Opposition,Attendees at Specific Years,Ban Status,Mr Gay Europe,Current Title Holder,Significant Achievements/Contributions,Year Started,Format,Significant Events,Broadcasting Platforms,Representation,Gaps in Occurrence,Affiliation,Representation Opportunities,Notable Winners,Representation at Mr. Gay World,Focus/Purpose,Cancellations/Alterations,Founding Artist Director,Collaborating Organizations,Gai Jatra Gay March,Nepal Pride Parade,Nepal Pride Parade (Online),Key Activities,Operations Location,Significant Participants,Historical Information,Participants/Supporters,Founder,Notable Appearances,Unique Selling Proposition,Significant Partnerships/Expansions,Support from Warsaw Inhabitants,Significant Performers,1990,2012,Organizations involved,Screening Venues,Co-founders,Renaming Year,Last Parade Year,Previous Name,Transition to Annual Occurrence,Venues,Notable Highlights,Former Name,Founded,Collaborations,Organizers,Genres of Films,Selection Process,Growth in Attendance,Organizing Bodies,Founding Purpose,Sápmi Pride,Criteria for Film Selection,Jury Composition,Prize Amount,Evolution of the Award,Typical Activities,------------------------------------------,Transgender Day of Remembrance,Significant Historical Details,Managing Organization,Affiliations,Local Authority Support,Slogan,Vienna Pride,Host Cities,WorldPride,Organizations,trigger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,Law and Justice,Law and Justice,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equality Parade
EuroGames,,,"Sports-for-all, inclusive to all identities",,,,,,,,,,,,,,,,,,,,,,,Two days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,European Gay and Lesbian Sport Federation,"Everyone, regardless of identity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EuroGames
European Lesbian* Conference,Vienna,,,,,,,,,,,2017,,,,,,,"Ewa Dziedzic, Mariella Muller, Michaela Tulipan, Karima Zahi, Kika Fumero, Martha Fernández Herráiz",,,,,,,,,,,,Independent from ILGA,"Silvia Casalino, Anastasia Danilova, Mariella Müller, Alice Coffin, Olena Shevchenko, Maria von Känel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Empowerment, visibility of lesbian issues, networking, addressing lesbian needs and oppressions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,European Lesbian_ Conference
EuroPride,Various cities,Annually,"LGBTI pride, human rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1992, 1994, 1996, 1997, 2000, 2001, 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EuroPride
Folsom Europe,"Berlin, Germany",Annually since 2003,BDSM and leather subculture street fair,,,,,,,,,,,,,,"Largest gay fetish event in Europe, established in 2003, brings the non-profit leather festival concept from San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folsom Europe
Gay Days at Walt Disney World,"Orlando, Florida",Annually since 1991,"LGBTQ+ individuals, families, and supporters visiting Walt Disney World",First Saturday in June,"Reclaiming childhood joys, growing presence of LGBT families and marriages",,N/A,,"3,000 (1991)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criticism from religious groups, opposition from conservative organizations, such as the Southern Baptist Convention and Florida Family Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gay Days at Walt Disney World
Gay Film Nights,"Cluj-Napoca, Romania",Annually since 2004,LGBT culture and cinema,Various dates,,,Be An Angel,,,,,,,,,,,,,,,,,,,,,,,,,,"Best Short Film, Best Documentary, Best Feature Film, Public's Choice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free entry,"Miss Travesty Romania, Mister Gay Romania, Gay Prize Gala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gay Film Nights
Gay Games,"San Francisco, USA",,,,Overtook Olympics in size at 1994 event,"Promote acceptance of sexual diversity, inclusion, participation, personal growth",,,,,,,,1982,,,,,,,,,,,,,,,,,,"Tom Waddell, Brenda Young",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open to all without regard to sexual orientation,From many countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gay Games
GFEST - Gaywise FESTival,"London, UK",Annually,LGBT and queer arts,Varies each year,,,,Niranjan Kamatkar,,,,,,,"8,000",,"Premier LGBT annual cross-arts festival featuring LGBTQ artists promoting visual art, theatre, dance, and short films",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GFest – gayWise LGBT Arts Festival
Hamburg Pride,Hamburg,Annually since 1980,"LGBTQ+ community and allies, Pride Parade","July, annually since 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamburg Pride
Helsinki Pride,"Helsinki, Finland",,,,"One of Finland's biggest public events, tradition since 1975, held annually in Helsinki since 2006, growth in attendance numbers",,,,,,,,Last week of June,,,,,,,,,,,,,,,,,,,,,Tear gas attack disrupted parade in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sporting events, youth gatherings, rainbow fair, women's celebration, Pride parade, celebratory program, nightclub events","Established by Seta's ""Freedom Day"", hosted in different cities in the past, some cities hold their own pride events as well","100,000 attendees in 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helsinki Pride
Heritage of Pride (NYC Pride),New York City,,,,,,,,,,,,,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pride Week events, Pride festival, Pride Rally",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heritage of Pride
Hong Kong Lesbian & Gay Film Festival,Hong Kong,Annually since 1989,LGBT films across the world,September,,,,,,,,,,1989,,,,,,,,,"Edward Lam, Wouter Barendrecht, Ray Yeung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong Lesbian & Gay Film Festival
Hong Kong Pride Parade,Hong Kong,Annually since 2008,Support of LGBT rights,"December 13, 2008 - Present","Advocating for LGBT rights, limited legal recognition of same-sex relationships, past route details, participation of anti-LGBT organizations",,,,,"Women Coalition of HKSAR, Rainbow of Hong Kong, Nu Tong Xue She, Gay Harmony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong Pride Parade
Houston Gay Pride Parade,Houston,Annually since 1979,Celebrating LGBTQ+ individuals and allies,4th Saturday of June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Pride
Rentboy.com,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecting male sex workers and masseurs with clients,Jeffrey Hurant (arrested),10,"International Escort Awards, Hustlaball, NYC Gay Pride March float",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hustlaball
IndigNation,,,,,,Singapore's annual LGBT pride season,,,,,,,,,,,,2005,,,Fridae.com,,,,,Month-long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gala screening, fundraising events","Wilde, Harvey Milk, Taking Woodstock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IndigNation
Indy Pride Festival,Indianapolis,Annually,,,"The largest LGBT pride event in Indiana, with a week of events leading up to the main Parade and Festival held on the 2nd Saturday in June. Celebrates gay pride and brings visibility to the community.",,,,"95,000",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indy Pride Festival
"International Day Against Homophobia, Biphobia, and Transphobia",,,,,,Raise awareness of LGBT rights violations and stimulate interest in LGBT rights work worldwide,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 17,132,Commemorate May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Day Against Homophobia, Transphobia and Biphobia"
International Day Against Homophobia,,,,,,Raise awareness of LGBT rights violations and stimulate interest in LGBT rights work worldwide,,,,,,,May 17,2004,,,,,,,,,,,,,,IDAHO Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Founded in 2004, first observed on May 17, 2005, commemorating the declassification of homosexuality as a mental disorder in 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Day Against Homophobia
Side by Side International LGBT Film Festival,Saint Petersburg,Annually since 2008,Explore LGBTQ+ issues through art cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manny de Guerre, Gulya Sultanova, Tanya Shmankevich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Gay and Lesbian Film Festival 芦Side by Side禄
International Mr. Leather,"Chicago, Illinois",Annually since 1979,Leathermen contest and conference,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Mister Leather
International Ms. Leather,California,Annually since 1987,"Leather subculture fetish convention for women, includes Miss Bootblack contest",1987 - Present,,,,"Audrey Joseph, Amy Marie Meeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Large Club of the Year (1988), Large Event of the Year (2009, 2013, 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Ms. Leather
KASHISH Mumbai International Queer Film Fest,"Mumbai, India",Annually since 2010,Screening LGBT films from India and worldwide,Since 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KASHISH Mumbai International Queer Film Festival
Kolkata Rainbow Pride Walk,,,,,"Oldest pride walk in India and South Asia, advocates for equality and solidarity regardless of differences",,Kolkata Rainbow Pride Festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,"First march organized on 2 July 1999, known as The Friendship Walk, strengthens voice for equality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Rainbow Pride Walk
Kreuzberg Pride,"Kreuzberg, Berlin",Annually,Celebrating LGBTQ+ community and allies,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kreuzberg Pride
Leeds Pride,"Leeds, West Yorkshire, England",Annually since 2006,,August 2006 - Present,"Supports LGBTQ+ community, Economic impact of £3.8 million, Rainbow decorations, Rainbow Plaques",,,Leeds City Council,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,500 (2006), 12,000 (2009), 40,000 (Year 10), 100,000 (2018)",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds Pride
"Lesbian and Gay City Festival, Berlin",Schöneberg,Annually since 1993,,,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regenbogenfonds e. V.,"World of Radio, World of Travel, Positive World, etc.","Hiatus in 2020, Return in 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesbian and Gay City Festival
Pride in Liverpool,"Tithebarn Street, Liverpool",Annually,,Closest weekend to 2 August,,,Liverpool City Region Pride Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parade, open air festival with stages and street entertainment, weekend-long events including sports, arts, and cultural activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000","Promote equality, raise awareness of discrimination faced by LGBT community, support LGBT arts and creativity, make Liverpool the most LGBT+ friendly region in the UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liverpool Pride
Long Beach Lesbian & Gay Pride,"Long Beach, California",Yearly,,,,"Celebrate Pride, increase awareness, promote self-worth, and facilitate cooperation within the community",LBLGP Inc.,,,,,,Next to last weekend in May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Beach Lesbian & Gay Pride
Madrid Pride,Madrid,Annually,"LGBTQ party, biggest in Europe, important in World",Weekend after June 28,"Europe's largest Pride event, contributes over €150 million to the city's economy, WorldPride host",Celebrate LGBTQ rights,,,1.5 million,"WorldPride Madrid, others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madrid Pride
Merlinka Festival,,Annually since 2009,LGBT-themed films worldwide,,,,,,,,,,,,,,,,,,,,,,,,,"Gay Lesbian Info Centre, Belgrade Youth Center",,,,,,,,"Belgrade, Sarajevo, Podgorica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merlinka Festival
Mezipatra Film Fest,,Annually in Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STUD Brno,,,,,"Prague, Brno, Ostrava, Olomouc, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGBTQ+ film festival,Prague Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mezipatra Gay and Lesbian Film Festival
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seminar, conference, competitions, exhibition","Supported by cultural figures, activities banned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minsk Gay Pride
Montenegro Pride,"Podgorica, Montenegro",Annually since 2013,LGBTIQ pride rally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 20, 2013",Volunteer and grassroots Committee,Various donors and sponsors,Criticisms from Orthodox Church,"2013: 2,000 participants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montenegro Pride
Moscow Pride,Moscow,Annually since 2006,LGBTQ+ community demonstration,,,,,"Nikolai Alekseev, Russian LGBT Human Rights Project Gayrussia.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Repeatedly banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moscow Pride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Johansson (Sweden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Gay Europe
Mr Gay Ireland,"Countrywide, Dublin",Annually,"Contest for gay men, community project to overcome stereotypes and HIV/AIDS",,,,Dublin Gay Theatre Festival,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Krzyzanowski,"Donated almost €50,000 to charitable causes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Gay Ireland
Mr Gay UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,Annual beauty contest for gay men,Renamed in 1984 to Mr Gay UK,"BBC, Channel 4, Five",Mr Gay Europe,"2009, 2010, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Gay UK
Mr Gay Wales,,,,,,,,,,,,,,,,2005,,,Christopher Jones (Winner 2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiff Mardi Gras celebrations,Represents Wales in Mr Gay Europe Contest and Mr Gay International Contest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Gay Wales
Mr Gay World South Africa,,,,,"Represents South Africa at Mr. Gay World, highly promoted role in the country",To present a professional competition for gay men in South Africa,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charl van den Berg, Francois Nel, Lance Weyer, Jason Rogers, Steve Williams, Werner de Waal",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Gay World South Africa
Nashville Pride,"Nashville, Tennessee",Annually,,,"Vanessa Carlton's coming out in 2010, increasing attendance records, impact on the LGBT community",,,,,,,,,,,,,,,,,"1988 - 75 participants, 2015 - 15,000-20,000, 2018 - 35,000, 2019 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Celebrating LGBT identity, providing resources, largest LGBT event in Tennessee","Canceled in 2020, delayed in 2021 due to COVID-19, held in September with restrictions, affected by weather conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nashville Pride
