Teams,Series Outcome,Notable Players,Significant Events,MVP,Start Date,Champion,Home Court Advantage,Games Played,Playoff Format,Finals MVP,Broadcasters,Runner-Up,Coach,Playoff Wins,End Date,Regular Season Record,Regular Season,Key Players,Regular Season Wins,Previous Finals,Key Events,Dates,Series Format,Home Court,Coaches,Outcome,Matchups,Offense,NBA Finals MVP,Playoff Performance,Historical Context,Regular Season Records,Key Moment,Format,Television Ratings,Noteworthy Detail,Length of Series,Venue of Games,Duration of Series,Games' Dates,Duration,Final Result,Series Length,Broadcasting Milestones,Notable Events,First Finals for Both Teams,Historic Game 7,Rookie Record,NBA Finals Appearance,Celtics' Performance,Hawks' Franchise Record,Longest Drought,Overtime Game in Finals,Lakers' Final Championship in 1972,Player Points Scored,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Average Margin of Victory,"The table contains information on the teams involved, the outcome of the series, key players, statistics such as the average margin of victory, and highlights significant events of the 1965 NBA World Championship Series where the Celtics triumphed over the Lakers with a 4-1 victory.",Historic Achievement,Overtime Games,Absence of Boston Celtics,Game Significance,Final Game,Statistics,Rebounds,Lakers Record,Knicks Record,Regular Season Performance,Rebounds & Assists,Home Games Venue,Scheduling Format,Notable Coaches,Suns Background,Celtics Background,Top Scorer,Notable Facts,"- Informally dubbed the ""George Washington series""",- Most recent title for a Western Conference team not in Texas or California,- Last NBA championship won by a team from the Northwest Division,Exceptional Individual Performance,Season Records,Notable Achievements,Playoff Qualification,Conclusion on Winning Team's Home Court,Documentary Title,Series Conclusion Date,Acquisitions,Playoff Run,Series Schedule,Game Highlights,Final Matchups,Offensive Statistics,Rebounding Statistics,Historical Significance,Schedule Rotation,Len Bias,Lakers' Achievement,Champions' Record,Celtics' Absence,Style of Play,Key Matchup,Key Statistics,Background,Road Game Record,Repeat Champions,Home-Court Advantage,Significant Changes,Records,Underdog Status,Key Statement,Record Achievement,Shortened Season,Twin Towers,Spurs Journey,Circumstances,Home Court Adv.,Lead-up Details,Notable Moment,Lakers' Performance,Year,Scoring Style,Championships,Significance,Previous Meeting,Achievements,Game Dates,Notable Stats,Avg. Point Diff.,Home-Court Adv.,Previous Matchup,Finals Rematch,Previous Appearances,Title Droughts,Head Coaches,LeBron James Stats,Injuries,Notable Statistics,Playoff Record,Notable Achievement,Notable Records,Championship Drought,Unique Stat,Coin Toss,Sponsor,Notable Background,trigger
Boston Celtics vs. Houston Rockets,Boston Celtics defeated Houston Rockets 4-2,Larry Bird,"Celtics' last championship until 2008, First use of ""NBA Finals"" branding, Last Finals before June, Switch to June-only games, Last Monday game until 1999, Final Memorial Day game until 1987, Last conclusion before June 10 until 2018",Larry Bird,,,,,,,"Dick Stockton, Tom Heinsohn, Brent Musburger, Pat O'Brien, Lesley Visser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986 NBA Finals
Los Angeles Lakers vs. Boston Celtics,Los Angeles Lakers defeated Boston Celtics 4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Johnson's baby sky hook in Game 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tenth meeting in the NBA Finals between Celtics and Lakers, first Finals series conducted entirely in June",First NBA Finals series on a Sunday-Tuesday-Thursday rotation,Selected by the Celtics but tragically died 48 hours after being drafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987 NBA Finals
Los Angeles Lakers vs. Detroit Pistons,Los Angeles Lakers defeated Detroit Pistons 4-3,"Isiah Thomas, James Worthy, Byron Scott",,,,Los Angeles Lakers,,,,James Worthy,,Detroit Pistons,,,,,,,,,,,,,"Pat Riley (LAL), Chuck Daly (DET)",,,,,,,,Isiah Thomas scoring an NBA Finals record 25 third-quarter points in Game 6 despite an ankle injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First team to repeat as champions in 19 years,Lakers captured their 5th championship in the last 9 seasons,First NBA Finals since 1983 without the Boston Celtics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 NBA Finals
Detroit Pistons vs Los Angeles Lakers,Detroit Pistons swept Los Angeles Lakers in a 4-0 series,"Magic Johnson, Isiah Thomas, Joe Dumars","Pistons swept all four playoff series, Lakers were injury-riddled",Not specified,,Detroit Pistons,,,,,,,,"Lakers swept first three series, Pistons beat Celtics, Bucks, and Bulls",,,"Lakers won division, Magic Johnson won 2nd MVP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pistons known as 'The Bad Boys' for physical play and demeanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989 NBA Finals
Detroit Pistons vs. Portland Trail Blazers,Detroit Pistons defeated Portland Trail Blazers to win the NBA championship,"Isiah Thomas, Joe Dumars, Bill Laimbeer (Pistons); Clyde Drexler, Terry Porter (Blazers)",Pistons became the third franchise in NBA history to win back-to-back championships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990 NBA Finals
Chicago Bulls vs. Los Angeles Lakers,Chicago Bulls defeated Los Angeles Lakers in a 4-1 series,"Jordan, Magic Johnson, James Worthy, Scottie Pippen","End of Lakers' Showtime era, beginning of Bulls' dynasty",Michael Jordan,,,Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 NBA Finals
Chicago Bulls vs Portland Trail Blazers,Chicago Bulls defeated Portland Trail Blazers in a 4-2 series,"Michael Jordan, Scottie Pippen, Clyde Drexler, Terry Porter",,Michael Jordan,"June 3, 1992",,,,,,,,,,,,,,,,,,Best-of-seven format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 NBA Finals
Chicago Bulls vs. Phoenix Suns,"Chicago Bulls defeated Phoenix Suns in Game 6, securing a third consecutive championship title","Michael Jordan, Scottie Pippen, Charles Barkley, Kevin Johnson","John Paxson's game-winning 3-pointer in Game 6, Bulls aiming for a 'three-peat', Jordan and Pippen's participation in the Dream Team, Bulls' comeback against the New York Knicks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Jordan (Bulls) vs. Charles Barkley (Suns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 NBA Finals
Houston Rockets vs New York Knicks,Houston Rockets defeated New York Knicks 4-3,"Hakeem Olajuwon, Patrick Ewing",,Hakeem Olajuwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Olajuwon outperformed Ewing, Ewing set a Finals record with 30 blocks","Rockets won their first NBA championship, Knicks looking for third trophy since 1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 NBA Finals
Orlando Magic vs. Houston Rockets,Houston Rockets swept Orlando Magic 4-0,"Shaquille O'Neal, Hakeem Olajuwon","Nick Anderson's missed free throws in Game 1, Kenny Smith's three-pointers, Rockets' multiple achievements",Hakeem Olajuwon,,,,,2-3-2 Finals format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockets won nine road games in the 1995 playoffs,First repeat champions to sweep the Finals,Rockets won without home-court advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 NBA Finals
Seattle SuperSonics vs Chicago Bulls,Chicago Bulls defeated Seattle SuperSonics in a 4-2 series,,,,,,,,,Michael Jordan,,,,,,,,,"Bulls won a league-high 72 games, SuperSonics had a record number of combined wins with 136",,,,,,,,,,,,,,,Best-of-seven series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bull's new core players included Dennis Rodman, team lost key members from previous championship seasons",Bulls broke regular season win record with 72 wins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 NBA Finals
Chicago Bulls vs Utah Jazz,Chicago Bulls defeated Utah Jazz 4-2,"Michael Jordan, John Stockton, Karl Malone","Bulls settled for a 69-13 record, Jazz emerged as a force in the West led by Stockton and Malone",,,,,,,,,,,,,,,,"Bulls won 69, Jazz won 64",,,,,,,,,,Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 NBA Finals
Chicago Bulls vs. Utah Jazz,Chicago Bulls defeated Utah Jazz in a 4-2 series,,,,,,,,,Michael Jordan,,,,,,Jazz had the best record despite both teams finishing with 62 wins,,,,Repeat of the previous year's Finals matchup,,,,,,,,,,Jazz overcame challenges from Rockets and Spurs,,,,,Highest Nielsen TV ratings in NBA history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulls considered underdogs heading into the series,Scottie Pippen expressed motivation as underdogs,"Bulls won their sixth championship in eight seasons, Jordan's sixth Finals MVP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 NBA Finals
San Antonio Spurs vs New York Knicks,San Antonio Spurs defeated New York Knicks 4-1,,,,,,,,,,,,,,,,,"David Robinson, Tim Duncan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to a labor dispute, season was 50 games/team",Pairing of David Robinson and Tim Duncan,"Top seed in the West, back-to-back sweeps",Spurs' first trip to the NBA Finals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 NBA Finals
Los Angeles Lakers vs. Indiana Pacers,Los Angeles Lakers defeated Indiana Pacers in a 4-2 series,"Shaquille O'Neal, Kobe Bryant, Phil Jackson",,Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best-of-seven series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Lakers had the home court advantage,"Lakers signed Phil Jackson as coach, built team around O'Neal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 NBA Finals
Los Angeles Lakers vs. Philadelphia 76ers,"Los Angeles Lakers defeated Philadelphia 76ers, 4-1",,"Lakers struggle early in the season, finish 56-26 and secure the number 2 seed in the West",Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Horry hits a crucial three-pointer in Game 3,"Despite being out-shot and out-rebounded, Lakers utilize three-point shooting effectively",,,,,,,,,,,,,,,,,,,,,,,,,,,2001 NBA Finals
Los Angeles Lakers vs. New Jersey Nets,Los Angeles Lakers swept New Jersey Nets 4-0,"Shaquille O'Neal, Phil Jackson, Kenyon Martin",,Shaquille O'Neal,,,,,,,NBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 NBA Finals
,Spurs 4-2,"Tim Duncan, David Robinson, Steve Kerr","Spurs' first season at SBC Center, retirements of Robinson and Kerr, successful season and playoffs leading to the Finals.",Tim Duncan,,San Antonio Spurs,,,,,"Brad Nessler, Bill Walton, Tom Tolbert",New Jersey Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,2003 NBA Finals
Los Angeles Lakers vs. Detroit Pistons,Detroit Pistons defeated Los Angeles Lakers in 5 games,"Kobe Bryant, Shaquille O'Neal, Bill Walton, Karl Malone","Pistons' victory as underdogs, Pistons owner William Davidson's double championship in one year, Lakers' previous championships, and offseason changes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 NBA Finals
San Antonio Spurs vs Detroit Pistons,San Antonio Spurs defeated Detroit Pistons in a 4-3 series,"Tim Duncan, David Robinson, Rasheed Wallace, Chauncey Billups","First NBA Finals to go to a Game 7 since 1994, first matchup of previous two NBA champions since 1987, clash of top defensive teams, Spurs won despite Pistons being defending champions, Spurs known for faster pace, Pistons for defense",Tim Duncan,,,San Antonio Spurs,,,,"ABC - Al Michaels, Hubie Brown; ESPN Radio - Jim Durham, Dr. Jack Ramsay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both teams performed well when scoring over 100 points,"San Antonio Spurs had won two championships, Detroit Pistons had won three",,,,,,,,,,,,,,,,,,,,,,,,2005 NBA Finals
Dallas Mavericks vs Miami Heat,Miami Heat defeated Dallas Mavericks in 4-2 series,,,Dwyane Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,"First Finals featuring two teams in their first finals, first finals with two teams who had never won an NBA Championship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First NBA Finals without the Lakers or Spurs in the 2000s, Heat's rise to prominence after drafting Dwyane Wade, Heat's first win against a team from Texas in the finals",,,,,,,,,,,,,,,,,,,,,,,2006 NBA Finals
San Antonio Spurs vs Cleveland Cavaliers,San Antonio Spurs defeated Cleveland Cavaliers in a 4-0 sweep,,,Tony Parker,"June 7, 2007",,San Antonio Spurs had the advantage,,"2-3-2 format for the Finals, 2-2-1-1-1 format for other playoff series",,,,,,,Cleveland Cavaliers won both games in the regular season series,,,,,,,,,,,,,,,,,,,Produced lowest ratings in NBA Finals history until 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 NBA Finals
Boston Celtics vs Los Angeles Lakers,Boston Celtics defeated Los Angeles Lakers 4-2,"Paul Pierce, Ray Allen, Kevin Garnett","Celtics formed ""Big 3"" with Pierce, Allen, and Garnett; Celtics won their first title since 1986",Paul Pierce,"June 5, 2008",,,6,,,,,,,"June 17, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 NBA Finals
Los Angeles Lakers vs. Orlando Magic,Lakers defeated Magic 4-1 to win the championship,"Kobe Bryant, Pau Gasol, Dwight Howard, Rashard Lewis",,,"June 4, 2009",,Los Angeles Lakers had the advantage,,2-3-2 rotation for the Finals,,U.S. television broadcast on ABC,,,,,,,,,,"Lakers' victories over Jazz, Rockets, and Nuggets; Magic's wins over 76ers, Celtics, and Cavaliers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 NBA Finals
Los Angeles Lakers vs Boston Celtics,Los Angeles Lakers defeated Boston Celtics 4-3,"Kobe Bryant, Pau Gasol, Ron Artest, Ray Allen, Derek Fisher","Lakers won their second consecutive NBA championship, Lakers had home-court advantage, Celtics defeated Orlando Magic and Cleveland, Lakers defeated Phoenix Suns and Utah Jazz",Kobe Bryant,,,,,,,ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 NBA Finals
Dallas Mavericks vs. Miami Heat,Dallas Mavericks defeated Miami Heat in six games,,,,,,,,,Dirk Nowitzki,,,,,,,,,,,,"May 31 - June 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rematch of the 2006 NBA Finals, won by Miami Heat in six games",Mavericks became first team to win Finals after losing Game 3,,,,,,,,,,,,,,,,,,,,,2011 NBA Finals
Miami Heat vs. Oklahoma City Thunder,Miami Heat defeated Oklahoma City Thunder 4-1,"LeBron James, Dwyane Wade, Chris Bosh",,LeBron James,,,,,,,,,,,,,,,Miami Heat finished with 46 victories before playoffs,"Miami Heat appeared previously in 2006 and 2011 Finals, Oklahoma City Thunder's first Finals appearance post-relocation in 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 NBA Finals
Miami Heat vs. San Antonio Spurs,"Miami Heat defeated San Antonio Spurs 4-3, winning second consecutive title",,,,,,,,,,,,,,,,,,,Spurs had won all previous four Finals appearances,,,,Miami Heat had home-court advantage based on regular season record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 6 to June 20, 2013","Heat's third consecutive Finals appearance, international players record, Tim Duncan's historic appearance",,,,,,,,,,,,,,,,,,,2013 NBA Finals
San Antonio Spurs vs. Miami Heat,San Antonio Spurs defeated Miami Heat in 5 games,"LeBron James, Dwyane Wade, Chris Bosh",,,"June 5, 2014",,,,2-2-1-1-1,Kawhi Leonard,,,,,"June 15, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spurs outscored Heat by 14.0 points per game,San Antonio Spurs had the advantage,Miami Heat won in 7 games in the previous season,Fifth rematch since the ABA-NBA merger in 1976,Miami Heat's fourth straight Finals appearance,,,,,,,,,,,,,,2014 NBA Finals
Golden State Warriors vs. Cleveland Cavaliers,Golden State Warriors defeated Cleveland Cavaliers in 6 games,"Stephen Curry, LeBron James",,,,,,,,Andre Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warriors won their first title in 40 years, Cavaliers since 1970",Both teams had first-year head coaches in the Finals,"Averaged 35.8 points, 13.3 rebounds, 8.8 assists","Kevin Love missed the series, Kyrie Irving missed last 5 games",,,,,,,,,,2015 NBA Finals
Cleveland Cavaliers vs Golden State Warriors,Cleveland Cavaliers defeated Golden State Warriors 4-3,,14th rematch of previous NBA Finals in history; first Finals since 2008 with number one seeds meeting; Cavaliers overcoming a 3-1 series deficit to win the championship; first Game 7 since 1978 won by the road team; new scheduling format implemented for the Finals to allow extra days off for traveling teams,LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavaliers became the fourth team to win the championship after losing the first two games; LeBron James won the Finals MVP unanimously with all 11 votes; Golden State recorded the largest combined margin of victory in NBA Finals history through two games,,,,,,,,,2016 NBA Finals
Golden State Warriors vs Cleveland Cavaliers,Golden State Warriors defeated Cleveland Cavaliers 4-1,,,Kevin Durant,,,,,,,,,,,,,Golden State Warriors: 67-15 record; Cleveland Cavaliers: 51-31 record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State started playoffs with a historic 12-0 record,Warriors' 15-0 start in the playoffs is the most consecutive wins in NBA history; 16-1 record is the best winning percentage in NBA playoff history,,,,,,,2017 NBA Finals
Golden State Warriors vs Cleveland Cavaliers,Golden State Warriors swept Cleveland Cavaliers 4-0,"LeBron James, Kevin Durant",,Kevin Durant,"May 31, 2018",,Golden State Warriors,,,,,,,,"June 8, 2018",,,,,,,,,,,,,,,,,"GSW 58-24, CLE 50-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Same teams met for championship 4 years in a row, one of the teams swept for first time since 2007",,,,,,2018 NBA Finals
Toronto Raptors vs Golden State Warriors,Toronto Raptors defeated Golden State Warriors with a 4-2 series win,"Kawhi Leonard, DeMarcus Cousins, LeBron James (prior Finals appearances)",,Kawhi Leonard,,,Toronto Raptors had the advantage to host more games due to a better regular season record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 NBA Finals
Los Angeles Lakers vs. Miami Heat,Los Angeles Lakers defeated Miami Heat 4-2,"LeBron James, Danny Green, Erik Spoelstra, Pat Riley","Lakers' 17th title, LeBron's 4th Finals MVP, Lakers president Jeanie Buss as first female owner to win title, first matchup between Lakers and Heat, play resuming in NBA Bubble at Walt Disney World due to COVID-19",LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 NBA Finals
Milwaukee Bucks vs Phoenix Suns,Milwaukee Bucks defeated Phoenix Suns 4-2,,,Giannis Antetokounmpo,"July 6, 2021",,Phoenix Suns took the lead 2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bucks won their first championship in 50 years,First Finals since 1971 without previous champions,Bucks won and selected Kareem Abdul-Jabbar in 1969,,,2021 NBA Finals
Golden State Warriors vs Boston Celtics,Golden State Warriors defeated Boston Celtics 4-2,,,Stephen Curry,"June 2, 2022",,Golden State Warriors,6,,,,,,,"June 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YouTube TV,"Rematch of the 1964 NBA Finals, Celtics made coaching changes during the 2021 offseason",2022 NBA Finals
