Ship Name,Lives Lost,Date Sunk,Responsible Party,Location,Full Name,Region,,Original Name,Birthplace,Borders,Origin,Name,Population,Casualties,Sinking Date,Construction,Role,Historical,Builder,Launch Date,Ship Type,Propulsion,Title,Etymology,Capital,Year Built,Family Background,Type,Sinking,Education,Historical Significance,Notable Event,Significance,Yard Number,Owner,Purpose,Fate,Notable Battles,Parents,Area,History,Promotions,Specifications,Torpedoed by,Dimensions,Ownership History,Divisions,Career,Ship Class,Language,Occupation,Geography,Built,UNESCO World Heritage Site,Death,Details,Troopship,Key Modifications,Service Years,War,Sunk by,Gross Register Tons,Length Overall,Length Between Perpendiculars,Beam,Holds,Key Event,Prisoners Aboard,Survivor Count,Construction Yard,Completion Date,Key Characteristics,Family Heritage,Military Education,Graduation Year,Command Style,Highest Point,Definition,Alternative,Most Populous City,Productivity,National Park,Types of Ceramics,Historical Development,Properties,Manufacturing Process,Use,Former Names,Disbandment,Relegations,Ownership,Name Change,League Standings,Maiden Voyage,Cause of Sinking,Impact,Geology,Size,Modern Use,Mythological Role,Sisters,Associated Instruments,Family Ties,Depictions,Residence,Nationality,Years in Office,Relationships,Political Ideology,International Status,Scandal,Defining Moment,Legacy,Ancestry,Linguistic Skills,Date of Incident,Final Fate,Extends,Includes,Overlaps with,Hebrew Meaning,Quote,Historical Context,Archaeological,Roman Conquest,Assimilation,Nickname,Birthdate,Early Life Incidents,Alliances,Victories,Nickname Origin,Birth Date,Marital Status,Career Milestones,HMS Aboukir,HMS Avenger (1695),HMS Avenger (1758),HMS Avenger (1845),HMS Avenger (1914),HMS Avenger (1940),HMS Avenger (R73),HMS Avenger (D185),HMS Avenger (F185),HMS Avenger (P198),HMS Barham,HMS Courageous,Pennant Number,Commission Date,Notable Missions,Captured Vessels,Reuse of vessels,Tonnage,Seized By,Royal Navy Commission Date,Commanding Officer,Notable Crew,Operations,HMS Formidable (1751),HMS Formidable (1777),HMS Formidable (1799),HMS Formidable (1825),HMS Ham (ex-French Formidable),Planned HMS Formidable (1825),HMS Galatea,HMS Hawke,Planned,HMS Penelope,* Inshore Squadron (1809),* Java (1811),* Java (1814),* Baltic (1855),* Mediterranean (1855-56),* Jutland (1916),* Aegean (1943),HMS Royal Oak (1664),HMS Royal Oak (1709),HMS Royal Oak (1769),HMS Royal Oak (1852),HMS Royal Oak (1892),HMS Royal Oak (08),HMS Royal Oak (1958),Gross Tonnage,First Owner,Armament,Involvement,Speed,Features,Built By,Passenger Capacity,Service History,Role in WWI,Tragic Event,Owners,Routes,Reign,Modernization,Philosophy,Policies,Recognition,Debt Issue,Removal,Newspaper,Establishment,Merger,Founders,Previous Owners,Current Owner,Publisher,Circulation,Administrative Capital,Bodies of Water,Landforms,Agriculture,Main Orange Producer,Landmark,Kingdoms,Subdivision,Counties,ISO Code,Flag,Origins,Notable King,Province Name,Modern Location,Initial Status,Establishment as Province,Significant,Family,Disability,Influence,Career Path,Oratory Skills,Profession,Achievements,Early Life,Personal Life,River Name,Alternative Names,Flow,Length,Importance,Evolution,Shifts,Usage,Official Name,Indigenous People,Historical Facts,Culture,Captain,Sinking Location,Survivors,Lifeboat Capacity,Number in Lifeboat,Rescued,Unique Survivor,Survivor's Account,City Name,Population (2020),Foundation,Sources of Income,Fortress,Architectural Style,Tourist Attractions,Term,Birth Year,Marriage,Children,Burial Place,Captured By,Year Scrapped,Completion,Operator,Capture Date,Capture Location,War Prize,Renamed To,Management,Convoys,Sister Ship,Key Battles,Program Inclusion,Post-Treaty Freedom,Displacement,Top Speed,Aircraft Capacity,Protection Level,Design Elements,Appearance,Association,Infrastructure,Commercial Status,University,Climate,Admiral,Born,Wars,Notable Achievements,Built for,Funnel,Passengers,Conversions,Captured by,Role in World War II,Unique Feature,Provinces,Geographic,Prehistoric,Caves,Open-air site,Natural Borders,Broader Regions,Major Cities,UNESCO Sites,Historical Rule,Middle Ages,Ottoman Rule,Habsburg Control,Austro-Hungarian,Treaty,Country,Description,Economy,Debut,Top Division Debut,Highest Rank,Kinboshi,Retirement,Post-Retirement,Succession of Elder Names,Judo Background,Promotion History,Titles,Metropolitan Area,Tourism,Cultural Landmarks,Affiliation,Leadership,NSDAP Involvement,Assassination,Shooter,Legal Action,Funeral,Propaganda Impact,Aftermath,Tractate Number,Chapters,Content,Gemara Sources,Main Topics,trigger
HMT Aragon,,,,,,,,RMS Aragon,,,,,,610 personnel aboard lost in the sinking incident,,"Built in Belfast, Ireland in 1905 by Harland and Wolff",,,,,,Initially equipped with conventional quadruple-expansion steam engines,,,,,,"Troop ship, Royal Mail Ship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,588 GRT",Royal Mail Steam Packet Company,Became Britain's first defensively armed merchant ship in 1913,"Served in the Gallipoli Campaign in 1915, sunk by a German submarine in the Mediterranean in 1917",15 knots,"Single large funnel, first-class dining saloon with ceiling paintings of Christopher Columbus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMT聽Aragon
,,,,,,,,RMS Cairo,,,,,,,,,,,,1907,,"Three steam turbines, three propeller shafts, up to 19 knots",,,,,,,,,,,,,,,,,,,,,,,"160.3 meters long, 18.4 meters abeam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield Shipbuilding and Engineering Company, Govan, Scotland","Up to 1,114 passengers (344 first class, 210 second class, 560 third class)","Egyptian Mail Steamship Company, Canadian Northern Steamship Company",Requisitioned as a troopship to transport Canadian troops to Europe,Sunk with a large loss of life while transporting Commonwealth troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMT聽Royal Edward
,"Over 5,000 including Dutch, British, Australian prisoners of war and Javanese slave laborers",,,,,,,,,,Built in 1913 by Robert Duncan & Co. of Glasgow,,,,,,,,,,,,,,,,,,Attacked and sunk by HMS Tradewind on 18 September 1944,,,,,,,,,,,,,,"Displaced 5,065 tons, 405 ft long, 53 ft wide, 27.2 ft deep, engines rated at 475 hp",,,"Originally SS Ardgorm, renamed multiple times till becoming Jun'yō Maru in 1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juny艒 Maru
,,,,,,,,,,,,,,431 killed among 950 Allied prisoners of war on board during sinking,,,,,"New York Shipbuilding Company, Camden",,,,,,,1919-1920,,,,,,,,,,Passenger-cargo ship,"Captured by Japanese in 1941, renamed Kachidoki Maru, sunk in 1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States Shipping Board, Los Angeles Steamship Company, Dollar Steamship Company, NYK Line, Imperial Japanese Army","United States to India, Los Angeles to Honolulu, California to South America, Japan to Taiwan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kachidoki Maru聽
Kamakura Maru,"2,035",World War II,Japanese Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamakura Maru
,,,,,Isma'il Pasha,,,,,,,,,,,,,,,,,,Khedive of Egypt and Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863 - 1879,He greatly modernized Egypt and Sudan during his reign,"Declared ""My country is no longer only in Africa; we are now part of Europe""",Placed the Khedivate of Egypt and Sudan in severe debt,Secured title of Khedive in 1867,Led to the sale of the country's shares in the Suez Canal Company,Removed from power in 1879 under British and French pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khedive Ismail
,,,,"Marseille, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Provence,1997,Le Provençal and Le Méridional,"Gaston Defferre, Jean Alfred Fraissinet","Groupe Hersant Média, Groupe Bernard Tapie (until 2013)",Groupe Bernard Tapie,"Hachette Filipacchi Medias, subsidiary of Lagardère","81,858 copies in 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Provence
,,,,,,Laconia,,,,"Messenia (west), Arcadia (north)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparta,"Myrtoan Sea (east), Laconian Gulf and Mediterranean Sea (south)","Cape Malea, Cape Tainaron, Mani Peninsula, Eurotas River, Taygetus Mountain, Parnon Mountain","Citrus groves, olive groves, pasture lands","Peloponnese, Greece",Stalactite cave Dirou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laconia
,,,,Southeast and east of Ireland,,,,,,,,,"2,630,720 (2016 census)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meath, Leinster, and Osraige",Ancient fifths merged into present-day province,Shired into a number of counties for administrative purposes,IE-L,Golden harp on a green background,Laigin tribe and meaning of Leinster,"Úgaine Mór, potentially the first historical king of Laigin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leinster
Lima Maru,"~2,750",8 February 1944,USS Snook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lima Maru聽
Lisbon Maru,800,1 October 1942,USS Grouper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisbon Maru
,,,,,,,,,,,,,,,,,,,,,,,,"Possibly named after Roman demigod Lusus, Celtic roots, or ancient people mentioned in literary works",Emerita Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lusitania,Portugal and western Spain,Part of Roman Republic province of Hispania Ulterior,In the Roman Empire in 27 BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lusitania
,,,,,Léon Gambetta,,,,Cahors,,,,,,,,Played a prominent role in the early government of the Republic,,,,,,,,,,,,,Studied at Faculty of Law in Paris,,Defended journalist Delescluze in 1868,,,,,,,,,,,,,,,,,,,"Lawyer, Republican Politician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proclaimed the French Third Republic in 1870,"Father was a Genoese grocer, Mother was French",Lost sight of right eye at age fifteen,Had a strong influence among students in Quartier Latin,"Called to the bar in 1859, admitted to Conférence Molé in 1861",Learned the art of public speaking at Conférence Molé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L茅on Gambetta
,,,,,Marina Mikhaylovna Raskova,,,,,,,,,,,,,,,,,,,,,,"Father: Mikhail Malinin (opera singer), Mother: teacher, Half-brother: Boris Malinin (shipbuilding scientist), Aunt: Tatyana Lyubatovich (Russian singer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professional air navigator, military instructor","First woman navigator in the Soviet Union, founding officer of various air regiments, commanding officer of the 587th Bomber Aviation Regiment","Originally wanted to be an opera singer, then turned to studying chemistry and engineering due to ear infection affecting her singing career, worked as a chemist in a dye factory","Married Sergey Raskov, had a daughter named Tanya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Raskova
Mayasan Maru,"3,536",17 November 1944,USS Picuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayasan Maru
,,,,,,,,,,,"Tell Atlas, Algeria",,,,,,,"Gulf of Utica formed 6,000 years ago",,,,,,,,,,,,,,,Major supplier of water for wheat crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medjerda,"Bagrada, Wadi Majardah, Mejerha",Northeast Algeria to Tunisia,450 km,Longest and most important river in Tunisia,Fluvial deposits from Medjerda filled Utica gulf,Medjerda shifted course after 1973 flood,Vital waterway for irrigation and agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medjerda
MV Mefküre,300+,5 August 1944,Soviet submarine Shch-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mefk眉re
Montevideo Maru,Many,1 July 1942,USS Sturgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montevideo Maru
Nikkin Maru,"3,200",30 June 1944,USS Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikkin Maru
,,,,,,,,,,"New Brunswick to the west, Bay of Fundy and Gulf of Maine to the west, Atlantic Ocean to the south and east",,,"969,383 according to the 2021 Census",,,,,,,,,,,,,,,,,,,,,,,,,,,"55,284 square kilometres, includes Cape Breton Island and 3,800 other coastal islands",,,,,,,,,,Predominantly English-speaking population,,"Mountainous area, connected to the rest of North America by the Isthmus of Chignecto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nova Scotia,Miꞌkmaq people inhabited the land before European exploration,"Founded as Acadia in 1605, British-French battles for control, settlement by Loyalists during American Revolutionary War","Strong influence of Scottish heritage, Latin roots in the name ""New Scotland""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nova Scotia
Pallada,Unknown,Unknown,Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pallada
Rakuyo Maru,"1,159",12 September 1944,USS Sealion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rakuyo Maru
,,,,,,,,,,,,,,,1 March 1942,,,,"Rijkee & Co, Rotterdam, Netherlands",,Dutch steamship,,,,,,,,,,,,,,KPM (Koninklijke Paketvaart Maatschappij),,,,,,,,,"I-59, Imperial Japanese Navy submarine",,,,,,,,,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marinus Cornelis Anthonie Boon,"Indian Ocean, west of Sumatra",135 people,28 people,80 people,2 survivors by Dutch freighter Palopo,Walter Gardiner Gibson,Told in a book in 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rooseboom
Ryusei Maru,"5,000",25 February 1944,USS Rasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryusei Maru
Sakito Maru,Unknown,1 March 1944,USS Trout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakito Maru
