Magnitude,Date and Time,Location,Date,Casualties,Geological Context,Epicenter Location,Impact,Time,Mercalli Intensity,Intensity,Epicenter,Affected Areas,Aftershocks,Tsunami,Damage,Fatalities,Tsunami Impact,Event,Duration,Fault Zones,Injuries,Other Names,Historical Earthquakes,Rupture Area,Tsunami Height,,Impacted Regions,Scientific Studies,Tectonic Context,Focal Mechanism,Plate Boundary,Aftershock Magnitude,Tsunamis,Affected Regions,Seismic Context,Tsunami Impacts,Plate Boundaries,Rupture Length,Impacts,Depth,Deaths,Tsunami Run-Up Height,Economic Losses,Infrastructure Impact,Tsunami Characteristics,Maximum Mercalli Intensity,Reported Deaths,Impact on Oil Storage,Aftershock Date,Tsunami Warnings,Unique Characteristics,Epicenters,Notable Impacts,Geographic Features,Populated Areas,Rupture Details,Foreshocks,Epicenter Distance,Tsunami Cause,Damage Assessment,Total Losses,Aftershock Zone Size,Impacts on Alaska,Impacts on Hawaii,Limited Data,Building Damage,Tsunami Location,Epicenter Distance from Santiago,Most Affected City,Tsunami Wave Height,Furthest impact,Death Toll Estimates,Monetary Loss Estimates,Sequence of Quakes,Notable Quakes,Impact on Infrastructure,Fault Rupture Length,Ground Failures,Damages to Anchorage,Uplift and Subsidence,Motion in Distant Areas,Structural Components,Tsunami Run-Up Heights,Observed Locations,Deaths Reported,Max. Mercalli Intensity,Major Impacts,Houses Destroyed/Damaged,Surface Rupture Zone,Fault Mechanism,Seismic Moment Release,Structural Damage,Tsunami Triggered,Tsunami Effects,Date of Occurrence,Area Affected,First Earthquake Date,Second Earthquake Date,Magnitude (1st Earthquake),Magnitude (2nd Earthquake),Tsunami (1st Earthquake),Tsunami (2nd Earthquake),Subduction Zones,Tsunami Details,Subduction Zone Characteristics,Recurrence Intervals,Building Collapses,Largest Aftershock,Aftershock Location,Tsunami Inundation Distance,Impact Areas,Rupture Stages,Historical Recurrence,Comparisons with 2005 Event,Hardest Hit Area,Effects,Regional Impact,Main Aftershocks,Tectonic Activity,Vulnerability Factors,Magnitude (1st earthquake),Magnitude (2nd earthquake),Intensity (1st earthquake),Intensity (2nd earthquake),Epicenter Coordinates,Response Measures,Distance from San José,Infrastructure Damage,Uplift at Waterfront,Reconstruction Efforts,Displaced,Response,Tsunami Generated,Intensity in Shikotan,Tokyo Intensity,Hokkaido Intensity,Subsidence,Tsunami Run-up Height,Fault Rupture,Felt Intensity,Runup Measurements,GPS Deformation Measurements,Nearby Features,Tectonic Features,Damages,Dates,Mainshock Magnitude,Subsequent Events Magnitudes,Epicenter Locations,Significance,Max Mercalli Intensity,Historical Context,Ground Failure Effects,Casulaties,Plate Interactions,Fault System,Foreshock,Rupture Type,Focal Depth,Fault Duration,Hypocenter Depth,Fault Type,Distance to Major Cities,Maximum Shindo Intensity,Tsunami Runups,Faulting Type,Rise in Sea Levels,Other affected countries,Precautionary measures,Impact on other countries,Intensity Levels,Affected Cities,Population Impact,Aftermath,Magnitudes,Nature of Earthquakes,Tsunami Alert,Convergence of Plates,Future Plate Splitting,Unique Features,1 April,3 April,16 March,Significant Comparisons,"December 9, 2016","December 17, 2016",Magnitude (Mw),Richter Scale,Impact on Mexico City,Tsunami Alerts,Historical Significance,Tectonic Plates,Type of Fault,Geological Impact,Max. Intensity,Characteristics,"July 28, 2021",Coordinates,12 September,13 September,20 September,trigger
"Mw 8.3, MJMA 8.1",,,"October 5, 1994",,,About 70 km east of Shikotan Island,,00:23:00 local time,,,,,,,,,,1994 Kuril Islands earthquake,,,,Hokkaido Toho-oki earthquake,,,,,,,,,,Mw 7.1 or Ms 7.7,,,,,,,,,,"More than 3 m in Yuzhno-Kurilsk bay, 5 m in Zelenyi Island, up to 10.4 m in Dimitrova Bay",,,"Peak-to-trough wave height of 3.46 m in Hanasaki, Japan",,At least 10,Tanks in Malokurilsk and Krabozavodsk damaged,"October 9, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSK VI~IX,Shindo 3,Highest intensity reached shindo 6,Significant north of the Kuril Islands due to earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Kuril Islands earthquake
8.0,"July 30, 05:11 UTC","Antofagasta Region, Chile",,,,,,,VII,,,,,"Moderate, casualties: 3 dead, 58-59 injured, 600 homeless",$1.791 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Antofagasta earthquake
8.2,"February 17, 14:59:30 local time","Near Biak Island, Indonesia",,"166 dead, 423 injured, 5,090 homeless",,,,,IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 meters,"Thrust in a very oblique subduction zone, 270 km rupture along New Guinea oceanic trench, nonuniform slip distribution with the largest slip of ~12 m near hypocentral depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Biak earthquake
Mw 7.7,,,"December 5, 1997",,,Near east coast of the Kamchatka Peninsula,,11:26 UTC,,,,,,"60 cm in Kahului, 47 cm in Hilo, 15 cm in Unalaska",,,,"1997 Kamchatka earthquake, 1997 Kronotsky earthquake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM V in Petropavlovsk-Kamchatskiy,8 meters along the coast near Little and Big Chazhma rivers,Significant before and after the earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 Kamchatka earthquake
8.1,,,"March 25, 1998",,,"Roughly 450 km north of George V Land, 700 km northwest of Balleny Islands in Antarctica",No reported shaking or damage due to remote location,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Complex intraplate earthquake within the Antarctic Plate, largest recorded earthquake in Antarctica",,"Antarctic Plate, Australian Plate, Pacific Plate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macquarie Triple Junction, Australia-Pacific pole of rotation, divergent boundary between Antarctic and Australian Plates","Carey Fracture Zone, Gambier Fracture Zone, Antarctic Plate Earthquake Seamount, east-west oriented dead normal faults",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 Balleny Islands earthquake
7.3 ML or 7.7 Mw,,,"September 21, 1999","2,415 killed, 11,305 injured",,"23.77° N latitude, 120.98° E longitude, 9.2 km southwest of Sun Moon Lake","Second-deadliest earthquake in Taiwan's history, significant economic repercussions, political impact, profound effect on the population",01:47:12 local time,,,,,"12,911 recorded in the month following the main tremor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT$300 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Jiji earthquake
,,,,Two fatalities,,,,,,,,,,,,,,,,,,,,,,,,,"Complex tectonics involving the South Bismarck Plate moving southeastward relative to the Pacific Plate, multiple smaller plates involved",,,,,,,,,,"Triggered landslides in southern New Ireland, damage in New Britain, Duke of York Island, western Bougainville, and Buka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 16 and 17,8.0 Mw,"7.8 Mw (thrust), 7.8 Mw (thrust)",Various locations off the coast of New Ireland Province and eastern New Britain,"Largest earthquake globally in 2000, occurred due to the collision between the Pacific Plate and the Australian Plate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 New Ireland earthquakes
8.4,"June 23, 20:33:15 UTC",,,,Subduction of Nazca Plate beneath South American Plate along Peru-Chile Trench,,,,,,,,,,,,,,,,,,,320 km x 100 km,,,,,,,,,,"Arequipa, Moquegua, Tacna",,"Generated tsunami in 1868 killing thousands along the South American coast, impact in Hawaii and New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIII,"Largest in Peru since 1970 Ancash earthquake, largest globally since 1965 Rat Islands earthquake, history of large earthquakes in the region","Landslides, collapsed banks, ground cracking, long-term landscape impact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 southern Peru earthquake
7.9 Mw,"November 3, 22:12:41 UTC","66 km ESE of Denali National Park, Alaska",,,,,"Largest recorded earthquake in US in 37 years, no fatalities, one injury",,,,"Susitna Glacier thrust, 25 km east of October 23 foreshock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No fatalities, one injury",Transform boundary to collision zone to destructive boundary,Denali-Totschunda fault system,"Magnitude 6.7 on Denali fault on October 23, regarded as a foreshock",Initial rupture on thrust fault segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Denali earthquake
8.3,,"Off the coast of Hokkaidō, Japan","September 26, 2003",Over 800 reported injuries,,,"Most powerful earthquake of 2003, extensive damage, road destruction in Hokkaidō, power outages, landslides, injuries, tsunami of 4 meters height",,,,,"Hokkaidō, Honshu, Tokyo",65 aftershocks reported near epicenter,,,,,,,,,,"Magnitude 9 in 1667, 8.2 in 1952, 8.3 in 1968, 7.1 in 2008, 1973 Nemuro earthquake",,4 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Tokachi earthquake
9.1–9.3 Mw,"26 December, 07:58:53 local time",,,,,,"Tsunami waves up to 30m high, 227,898 estimated deaths, major disruptions to coastal provinces",,,,"Off the west coast of northern Sumatra, Indonesia","Aceh, Sri Lanka, Tamil Nadu, Khao Lak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Between eight and ten minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Indian Ocean earthquake and tsunami
8.6,,"Off the west coast of Sumatra, Indonesia",28 March 2005,At least 915 killed,,,"Third most powerful earthquake in Indonesia since 1965, triggered limited tsunami, deaths on Nias island",,,,,,Eight aftershocks between 5.5 and 6.0 magnitude,,,,,,2 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 km,Subduction Zone,"200 km to Sibolga, 1,400 km to Jakarta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Nias–Simeulue earthquake
8.3,"November 15, 8:14:16 pm JST",,,,,,,,,,,,,,,,"Small tsunami affecting northern Japanese coast, damaging Crescent City harbor in California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VII,,,,"Issued in Japan for north coasts of Hokkaidō and Honshū, quickly evacuated towns, warnings issued for Alaska, Hawaii, British Columbia, Washington, Oregon, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JMA 2,Local tsunami in central Kuril Islands reached runups of 21.9 metres or higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Kuril Islands earthquake
8.1,,Southern Pacific Ocean adjacent to the Kermadec-Tonga subduction zone,29 September 2009,"Over 189 people killed, significant impact on children",,,,,VI,,,,,,,,"Substantial damage and loss of life in Samoa, American Samoa, and Tonga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal and megathrust faulting,"3-inch near the epicenter, waves measured up to 14 metres along the Samoan coast","American Samoa, Tonga, Fiji, New Zealand, Cook Islands, Tokelau, Niue","People moved to higher ground in Tokelau, Niue reported as reasonably safe","No major damage in Fiji, New Zealand, Rarotonga; no high waves reported from Vanuatu, Kiribati, New Caledonia, Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Samoa earthquake and tsunami
8.8 on the moment magnitude scale,"Saturday, 27 February at 03:34 local time",,,,,,,,,,,,,,,,"Devastation in coastal towns, port damage in Talcahuano",,,,,,,,,,"Strongly felt in six Chilean regions, population impact",,,,,,,,,,,,,,,,"Estimated insurance cost of 4-7 billion dollars, total economic losses of US$15–30 billion",,,,,,,"Issued in 53 countries, minor damage in California and Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VIII in Concepción, Arauco, and Coronel; MM IX in Concepción","Santiago, Buenos Aires, Córdoba, Mendoza, La Rioja, Ica","525 fatalities, 25 missing, 9% population losing homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Chile earthquake
9.0–9.1,11 March 14:46 JST,,,"19,747 deaths, 6,242 injured, 2,556 missing",,,,,,,"72 km east of Oshika Peninsula, Tōhoku region",,,,,,"Waves up to 40.5 meters in Miyako, traveled at 700 km/h in Sendai area",,Approximately 6 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fukushima Daiichi nuclear disaster, reactor meltdowns, radioactive water discharge, evacuation zones for residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 T艒hoku earthquake and tsunami
,11 April at 15:38 local time,,,,Indo-Australian Plate,Near Indonesian province of Aceh,Largest strike-slip earthquake ever recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6 and 8.2 Mw,"Intraplate, strike-slip","Initially issued, then cancelled",Indian and Australian Plates,Process started 8-10 million years ago,,,,,,,,,,,,,,,,,,,,,,,2012 Indian Ocean earthquakes
8.3,24 May 15:44:49 local time,,,,,,,,,Maximum recorded JMA intensity Shindo 3,Sea of Okhotsk,"Asian Russia, primarily Kamchatka Peninsula",Mw 6.7 aftershock producing supershear earthquake,,,,,,Shaking lasted for five minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deep-focus earthquake, felt in locations far from epicenter, speed of supershear earthquake 8 km/s",,,,,,,,,,,,,,,,,,,,,,2013 Okhotsk Sea earthquake
,,,,,,,,,,,,,,,,,,,,,,,,,,from prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interruption of electricity and water services, collapsed walls, escapes","Loader crushed by metal structure, fatalities later","Megathrust earthquake triggered large aftershocks, felt in other countries",,,,,,,,,,,,,,,,,,,2014 Iquique earthquake
8.3-8.4,,46 km offshore from Illapel,September 16,"15 deaths, 6 missing",Thrust faults along Nazca and S. American plates,,,,,,,"Coquimbo region, Buenos Aires, Argentina",7.0+,,,,,,3-5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,Electricity and water disrupted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larger than 1943 Ovalle Earthquake,,,,,,,,,,,,,,,,,,2015 Illapel earthquake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interaction between Australian and Pacific Plates, subduction zone","Convergence of Australian Woodlark, Solomon Sea, and Pacific Plates",,,,,,,,,,,,,,,,2016 Solomon Islands earthquakes
,,"Gulf of Tehuantepec, off the southern coast of Mexico",7 September,,Cocos Plate subducting below North American Plate,,,23:49 CDT,IX,,Approximately 87 km southwest of Pijijiapan,,,,,,,,,,,,,,1.75 meters above tide level,Gulf of Tehuantepec lies above the convergent boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,Evacuation after early warning system triggered,Issued for surrounding areas,Strongest earthquake recorded in Mexico in a century,,,,,,,,,,,2017 Chiapas earthquake
"Mww 8.2 (August 19), Mww 7.9 (September 6)","August 19 at 00:19:40 UTC, September 6 at 15:49 UTC","Close to the Fijian island Lakeba, 270 km from Levuka on Ovalau",,,,Below South Pacific Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600 km (August 19), 670 km (September 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pacific Plate, Indo-Australian Plate",Normal fault,"Formation of Vityaz Arc, Fiji fracture zone, New Hebrides Arc, North Fiji Basin",,,,,,,,2018 Fiji earthquake
Mw 8.0,,Northern Peru,"May 26, 2019","2 deaths, 30 injured",,,,02:41,,,,,,,,,,,,Intermediate-depth faulting,,,,,,,,,,,Nazca Plate subduction beneath South American Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VII,"Rupture 205 km by 105 km, average slip 6.7 meters, 47 cm subsidence",,,,,,2019 Peru earthquake
,,,,,"Occurred 32 km beneath seafloor, limited vertical uplift",,,,,,,,,,,,,,,,,,,,,"Sparsely-populated region, little vertical displacement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7th largest in US, strongest globally since 2018","No casualties, minor damage in Perryville",,,,2021 Chignik earthquake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2°37′30″S 100°50′28″E﻿ / -2.625°S 100.841°E﻿,2°07′48″S 99°37′37″E﻿ / -2.130°S 99.627°E﻿,Southern Sumatra,September 2007 Sumatra earthquakes
