Name,Occupation,Nationality,Birthplace,Sentencing,Crime Type,Alias,Number of Victims,Location,Date of Death,Arrest Date,Full Name,Nickname,Period,Circumstances of Death,Age Range of Victims,Accusations,Date of Birth,Significant Events,Victims,Sentence,Parents,Criminal Activities,Location of Death,Education,Date,Charges,Place of Birth,Event,Casualties,Perpetrator,Legal Outcome,Achievements,Modus Operandi,Crime,Legal Status,Details,Family Background,Aliases,Team,Draft History,Nicknames,Residence,Legal Proceedings,Key Details,Arrest Details,Trial Outcome,Accomplice,Personal Life,Family,Date of Conviction,Injuries,Affiliation,Incident Date,Children,Date of Arrest,Birthdate,Military Service,Outcome,Shooter,Terrorist Group,Trial Date,Role,Number of Life Sentences,Specific Attacks,Arrest and Sentencing,Prison Location,Current Status,Legal Issues,Alfredo Galán Sotillo,"This table succinctly presents the essential details about Alfredo Galán Sotillo, summarizing his criminal activities, the number of victims, the timeline, locations, and significant events associated with his capture and confession as the ""Playing Card Killer.""",Son 1,Son 2,Event Trigger,Attack Locations,Legal Consequences,Personal Background,Motivation,Siblings,League,Ponzi Scheme Amount,NASDAQ Position,Guilty Plea Date,Age at Crime,Sentence Length,Parole Eligibility,Current Incarceration Location,Criminal Accomplice,Noteworthy Events,Motive,Global Impact,Estimated Worth of Scheme,Duration of Scheme,Influential Connections,Number of Clients,Connection to Military,Nature of Scheme,High-Profile Investors,Actual Duration of Imprisonment,Capture Details,Notable Remarks,Number of Counts,Specific Details,Political Career,Notable Roles,Language Skills,Conviction,Prior Convictions,Psychological Profile,Childhood,Crimes Committed,Key Events,Supporters,Event Date,Type of Incident,Perpetrators,School Information,Victim Demographics,Weapon Used,Involvement of Other Students,Trials and Convictions,Events,Criminal History,First Wife,Notable Events,Number of Confirmed Murders,Methods of Killing,Current Team,Teams Played For,Debut Date,Loan Deal Date,Key Incidents,Notable Works,Awards,Crimes Commiited,Date of Capture,Characteristics,Methods,Observations,Release Date,Significant Legal Events,Role in Attack,Verdict,Rally Description,Convictions,Date of Sentencing,Latest Charge,Career Highlights,Trials,Country Moves,Number of Hostages,Duration of Hostage Crisis,Gunmen,Gunmen Background,Circumstances of Arrest,Contempt for Women,Sexual Abuse in Childhood,Criminal Record History,Murder Investigation Details,Mark Goudeau,Location of Imprisonment,Background Information,Olympics Participated,Criminal Activity,Time Period,Method of Inspiration,Prosecution Details,Significant Details,Important Dates,Murders,Unique Childhood Situation,Spouse,Civic Posts,Notable Achievements,Victim,Abductor,Captivity Duration,Captivity Location,Perpetrator's Wife,Additional Details,Research Interests,Key Contributions,Age at Death,Cause of Death,Conviction 1,Conviction 2,Current Location,Employment,Counties of Crimes,Conviction Counts,Position,Teams,Positions held,Date of Incident,Criminal Convictions,,Incarceration Location,Co-conspirator,Co-inmates,Accomplishments,Foundation of LTTE,Death Date,trigger
,Professional footballer,Argentine,,,,,,,,,Guillermo Gabriel Ocampo,,,,,,,"Debut against Flandria in Copa Argentina, brace scored in away victory against San Telmo, 100th career appearance versus Sacachispas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Andes (on loan from Almirante Brown),Almirante Brown,1 April 2015,17 February 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Ocampo
Harvey Louis Carignan,Serial killer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Convicted for the murders of Laura Showalter and Christine Norton, born in North Dakota in 1927, previously sentenced for a 1949 rape and murder in Anchorage, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvey Carignan
Henri Parot,,,Algiers,"Sentenced to 4,797 years for 26 murders and 166 attempted murders",,,,,,"April 2, 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETA member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Involved in the 1987 Zaragoza Barracks bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henri Parot
Herbert Fields,"Librettist, Screenwriter",,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lived as openly gay man, maintained a straight persona, associated with Broadway and Hollywood circles","Son of Lew Fields, Brother of Dorothy and Joseph Fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodgers and Hart musicals, Annie Get Your Gun, Redhead, The Wizard of Oz, B-movie screenplays",Tony Award for Best Musical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbert Fields
Heriberto Seda,Serial Killer,American,,,,The New York Zodiac,"At least 3 dead, 6 wounded",,,,,,,,,,,,,232 years imprisonment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 murders, 6 wounded",18 June 1996,"Obsessed with astrology and death, admirer of the San Francisco Zodiac Killer","Taunting messages, codes based on maritime signals flags, use of improvised firearm","Admired the San Francisco Zodiac Killer, police consulted astronomer, similarities with the original Zodiac Killer, letters claimed zodiac signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heriberto Seda
Hélio José Muniz Filho,Vigilante murderer,,"Camaragibe, Pernambuco","201 years in prison in Recife, Pernambuco",,Helinho,,,14 January 2001,,,,,Stabbed in the neck and arm by three inmates at Maxima Anibal Bruno Security Prison,,65,,,,,,,"Freitas Octavian Hospital, Recife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H茅lio Jos茅 Muniz Filho
,Member of ETA,Spanish,"Tafalla, Navarra, Spain",Imprisoned with parole postponed,,N/A,,,,,Inés del Río Prada,,,,,Sentenced to 3828 years for terrorism and 24 murders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,European Court of Human Rights orders immediate release and compensation appeal ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In茅s del R铆o Prada
Jamal Zougam,,,,,,,,,,,,,,,,,,,,"42,922 years",,,,,,"Multiple counts of murder, attempted murder, terrorism-related crimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Implicated in bombings,",Guilty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamal Zougam
,,,,,White supremacist terrorist attack,,,,,,,,,,,,,,"Murder of Heather Heyer, 35 injured",,,,,,,,,,,"James Alex Fields, Jr.","Convicted of first-degree murder, multiple counts of wounding, sentenced to life in prison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unite the Right rally organized by Jason Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Alex Fields Jr.
,Nursing assistant,Spanish,"Castellfollit de la Roca, Catalonia",127.5 years imprisonment,Serial Killer,,At least 11,Fundació La Caritat in Olot,,,Joan Vila Dilmé,,August 2009 to October 2010,,80-96 years old,,"September 26, 1965",,,,,,,,,Found guilty of murder by the Supreme Court of Spain,,,,,,,,,,,,,,,"The Caretaker of Olot, The Angel of Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joan Vila Dilm茅
Joel David Rifkin,Landscaper,American,"New York, United States",203 years in prison,Serial killer,,17 (suspected),,,"February 22, 1987",,,,,,,,,,,,,,"Nassau Community College, SUNY Brockport, SUNY Farmingdale (attended)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joel Rifkin
José Antonio Rodríguez Vega,Serial killer,Spanish,,,,,At least 16,"Santander, Cantabria",,19 May 1988,,El Mataviejas,August 1987 to April 1988,,61 to 93 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jos茅 Antonio Rodr铆guez Vega
Juana Barraza,"Professional wrestler, serial killer",Mexican,"Epazoyucan, Hidalgo, Mexico",,Murders of elderly women,,At least 16,,,,,La Mataviejitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juana Barraza
Keith Allen Raniere,"Cult leader, convicted sex trafficker",,,,,,,,,,,,,,,,,,,,James Raniere and Vera Oschypko,,,,,,"Brooklyn, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 26, 1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sex trafficking of children, conspiracy, forced labor conspiracy","October 27, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keith Raniere
Khalil Wheeler-Weaver,Serial Killer,American,,,"Murder, Sexual Assault",,,"Orange, New Jersey",,,,,August 2016 to November 2016,,,,,,"3 killed, 1 attempted",,,,,,,,,,,,Sentenced to 160 years in prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charged with the murder of Mawa Doumbia in March 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khalil Wheeler-Weaver
Lawrence Gerard Nassar,"Former osteopathic physician, convicted serial child molester",American,,[Not specified],,,,,,,,,,,,,[Not specified],,,,,"Sexual abuse of minors, child pornography, tampering with evidence",,,,"60 years in federal prison, 40 to 175 years in Michigan State prison, 40 to 125 years in Michigan State prison","Farmington Hills, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larry Nassar
Lee Robertson,Former footballer,Scottish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Started with Rangers, played for IK Start, Molde FK, FK Bodø/Glimt, brief St Johnstone trial, moved to Australia and back to Scotland",Seven-day trial at St Johnstone,"Norway, Australia, Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Robertson
,,,,,,,,,,,,,,,,,,,,,,,,,"April 4, 1991",,,,"3 hostages and 3 hostage-takers killed, 14 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over 40,Approximately 8 hours,"Loi Khac Nguyen, Pham Khac Nguyen, Long Khac Nguyen, Cuong Tran","Vietnamese immigrants, fled Vietnam in 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loi Khac Nguyen
Luis Alfredo Garavito Cubillos,"Serial killer, rapist, child molester, necrophile",Colombian,,,"Rape, torture, mutilation",La Bestia,"193 confirmed, possibly 221",,,22 April 1999,,,Autumn 1980 to 21 April 1999,,,,25 January 1957,,,"1,853 years and 9 days in jail","Manuel Antonio Garavito, Rosa Delia Cubillos",,,,,,"Génova, Quindío",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confession on 28 October 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Garavito
Luis Oscar Jiménez Herrera,,Mexican,Dysfunctional family,123 years in prison,Serial killer,The Tinaco Killer,16,,,,,Durango City,2013-2016,,,,,,,,,,,,,,,,,,,,,,,,"Father mistreated mother, developed contempt for women",,,,,,,,,,,,,,,,,,,,Mexican Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alleged,Yes,Minor crimes in Tamaulipas,"Ciudad Valles, San Luis Potosí, murder of María Atino García Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Oscar Jim茅nez Herrera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Death sentence, 1,634 years in prison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Goudeau
Martin John Bryant,Mass shooter,Australian,"Hobart, Tasmania",,Mass murder,N/A,35,,,,,,,,,,7 May 1967,,,"35 life sentences, 1,652 years without parole",Maurice and Carleen Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Risdon Prison, Hobart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Bryant
Michael John Devlin,"Manager, Funeral Home Worker",,,"74 life sentences, 2,020 years",,,,,,,,,,,,"Kidnapping, Child Sexual Abuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taken into custody on January 12, 2007, for the abduction of Ben Ownby and the discovery of Shawn Hornbeck in his apartment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Adopted into a large family with 3 brothers and 2 sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael J. Devlin
Michael Pugh,Bobsledder,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1980, 1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Pugh
,Former high school teacher,,,200 years in prison without possibility of release,,,,,14 January 2001,,Morton Robert Berger,,,,,,,,,,,,"Freitas Octavian Hospital, Recife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Possession of child pornography, member of porn-trading ring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morton Berger
Moses Sithole,"Serial killer, rapist",South African,"Vosloorus, Boksburg",,ABC Murders,,At least 37,,,,,,16 July 1994 to 6 November 1995,,19 to 45 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Sithole
Nathaniel B. L. Bar-Jonah,"Convicted child molester, suspected cannibal, suspected serial killer",American,,,,N/A,,,,,,,,,,,,,,Sentenced to 130 years in prison without parole,,"Kidnapping, aggravated assault, sexual assault on children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Bar-Jonah
Nathaniel White,,American,,,Serial killer,,Six,,,,,,,,14 to 29 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early 1990s,RoboCop 2 movie scene,Convicted and paroled after killing his victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathaniel White
Orville Lynn Majors,Licensed Practical Nurse,,,,Serial Killer,,,"Clinton, Indiana",,,,,1993 to 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convicted of murdering patients believed to be demanding or those adding to his workload in a hospital setting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orville Lynn Majors
Paulo Sérgio Guimarães da Silva,,Brazilian,,Sentenced to 180 years,Serial killer,The Cassino Maniac,7,"Praia do Cassino, Rio Grande do Sul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-1999, December 12, early March 1999, March 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo S茅rgio Guimar茫es da Silva
Pedro Rodrigues Filho,"Vigilante, Serial Killer",,"Santa Rita do Sapucaí, Brazil",,,Pedrinho Matador,,,,,,,,,,,,"Killed 71 people, including other criminals, while serving 42 years in prison, escaping after the death of his pregnant companion, torturing and killing in search of revenge.",,42 years in prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,"Skull injury from father's actions, first urge to kill at age 13, killing the deputy mayor at age 14, meeting Maria Aparecida Olympia, killing rivals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Rodrigues Filho
Perry Austin Armstrong,"Businessperson, Surveyor, Attorney, Illinois House Representative, Historian",,"Licking County, Ohio",,,,,,,,,-,,,,,,,,,,,,"Granville Academy, Illinois College",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 sons, 3 survived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Borbridge,"Town Clerk, Justice of the Peace, Swamp Land Commissioner","Delegate to River and Harbor Convention with Abraham Lincoln, Member of Illinois Constitutional Convention, Illinois House Representative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perry Armstrong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 10, 1991",,,,,Phillip sentenced to 431 years to life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaycee Lee Dugard,Phillip Garrido,Over 18 years,"1554 Walnut Avenue, Antioch, California",Nancy Garrido,Phillip person of interest in another case,,,,,,,,,,,,,,,,,,,,,,,Phillip Garrido
Raymond L. Rodriguez,Professor of biology,American,"Fresno, California",,,,,,,,,,,,,,1947,,,,,,,"Bachelor of Science in Biology from California State University, Fresno, PhD from UC Santa Cruz",,,,,,,,Holds several issued US patents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molecular biology, genomics, biotechnology","Helped lay foundation for biotechnology industry, involved in diversity programs for STEM disciplines",,,,,,,,,,,,,,,,,,,,,Raymond Rodriguez
,Used car salesman,,"Danvers, Massachusetts",146 years to life in prison,,Richard Alan Minsky,,,,"September 15, 1999",Richard Allen Minsky,,,,,,,,,,,,,,,"Rape, assault, battery, extortion, grand theft, larceny, lewd behavior, oral copulation, sexual assault, sodomy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Allen Minsky
Richard Francis Cottingham,"Serial killer, rapist",American,,,At least 11 people,,"New York, New Jersey","The Torso Killer, The Times Square Killer",,,,"Confessed to additional murders, currently incarcerated in South Woods State Prison, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Cottingham
Richard Benjamin Speck,Mass Murderer,,"Kirkwood, Illinois",,,,At least 8,,"December 5, 1991",,,,,,,,1941,,,,"Benjamin Franklin Speck, Mary Margaret Carbaugh",,,,,,,,,,,,,Murder of eight student nurses,,,,,,,,,Sentenced to death reduced to 100-300 years in prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Heart attack while incarcerated at Stateville Correctional Center,,,,,,,,,,,,,,,,,,,Richard Speck
Robert George Irwin,"Artist, Sculptor",,"Arroyo Seco Park near Pasadena, California",Life imprisonment through a plea bargain,,Mad Sculptor,,,Not specified,,,,,Stabbed in the neck and arm by three inmates at a mental institution,,Killed three people on Easter weekend in 1937,,,,,,,Mental institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert George Irwin
Robert Christian Hansen,Serial killer,,"Estherville, Iowa",461 years without parole,,Butcher Baker,,,2014,,,,,Died of natural causes due to health conditions,,"Abducted, raped, murdered",,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Hansen
Robert Lee Yates Jr,"Serial killer, soldier",American,"Spokane, Washington",Life with No Parole (commuted),,Bob,,,,,,,,,,,,,,,,"Murders of 11 women in Spokane, WA, 2 women in Pierce County, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/27/1952,"Enlisted US Army in 1977, served in Somalia/Haiti, Honorably Discharged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Death penalty, commuted to life",Inactive duty helicopter pilot,Washington State Penitentiary,,,,,,,,,,,,,,,,Robert Lee Yates
