Location,Date,Casualties,Cause of Explosion,Impacts,Response and Aftermath,Depot Details,Aftermath,Cause,Owner,Time,Additional Details,Aftermath and Response,Number of Injuries,Details,Impacts and Aftermath,Mine Details,Ship Details,Impacts and Response,Details of Incident,Cause of Accident,Impact,Injuries,Significance,Impacts/Aftermath,Factory Details,Operator,Details of Gunpowder Storage Facility,Area of Impact,Specific Details,Description,Type of Missile,"ARCO Chemical, Channelview, Texas",Industrial Context,Extent of Damage,Warning Signs Ignored,Companies Involved,Fines,Details of Explosion,Cause of Explosions,Area Impacted,Response Measures,Plant Details,2013,6 fatalities initially reported,Details of Buildings,Response by Consolidated Edison,NTSB Findings,Impact on Metro-North Railroad Tracks,Company,Response,"October 1, 2014",---------------,Factory completely destroyed,"Huge craters left behind, debris flying","Previous citations for outdated equipment, improperly stored explosives",Specific Details of the Incident,Confirmed Casualties,People in Mine at Time of Explosion,Conflicting Reports by Local Rebels,Call for Access by Ukrainian President,Vehicle Involved,Area of Explosion,Aftermath/Legal Proceedings,Response Time,Background,Facility Details,Fire Brigade Response,Official Actions,Property Damage,Homeless Population,Storage Details,Seismic Impact,Government Response,State of Emergency,Protests Against Government,Economic Crisis,Number of Floors,Safety Measures,Victims,Explosions,Investigation,Previous Incident,25 June 2020,30 June 2020,Time of Explosion,Gas Leak Details,Area of Incident,Colliery Details,Aftermath and Controversies,Event Site Details,Key Details of Incident,Cause of Derailment,Key Details,Gunpowder Store Details,Site Details,Gunpowder Theft Details,Historical Connections,Vehicles Involved,Statements by Officials,"June 1, 1974",Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,Area of Fire,Company Details,Aftermath and Responses,Blast Area Damage,Consequences,Identified Causes,Railway Details,Housing Complex Details,Related Incidents,Extent of Impact,Duration of Repairs,Responsible Party,Fines Imposed,Legal Actions,Fatalities,Main Cause,Monetary Damage,Responsible Parties,Legal Outcome,Significant Impacts/Aftermath,Rocket Details,School Details,Owner/Operator,Impacts or Aftermath,"May 4, 1988","**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",Founding Date,Founders,Headquarters,Primary Operations,Notable Achievements,Aftermath and Impact,Incident Details,Aftermath and Investigation,Number of Fatalities,Number of Buildings Damaged,Estimated Cost of Damage,Details of Vehicles Involved,"January 30, 1900",Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,Miners Underground,"January 28, 1986",Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,Building Details,Refinery Details,Aftermath and Consequences,Magnitude of Explosion,--------------,"April 17, 2013",trigger
"Astrakhan, Astrakhan Oblast, Russia","February 27, 2012","At least 10 dead, 12 injured, 5 missing",Natural gas explosion,,,"Nine-story apartment building collapsed, individuals trapped in rubble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Astrakhan gas explosion
"Riyadh, Saudi Arabia",1 November 2012,26 confirmed dead,"Truck carrying fuel crashed, leaked petrol ignited",,,,,,,,,"23 killed outright, 111-135 injured, speculation of terrorism dispelled, cost over 300 million riyals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Riyadh truck crash
"Federal Highway 85, Ecatepec de Morelos, Mexico","May 7, 2013","27 dead, 31 injured",Gas tanker truck collision and explosion,45 homes and 16 vehicles damaged,Federal government lowered cargo weight limits in response,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Ecatepec de Morelos gas tanker explosion
Pakistan (en route to Gujrat),25 May 2013,"17 dead, 7 injured",Gas cylinder explosion in a school minivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Pakistan gas bus explosion
"Divadelní Street, Prague, Czech Republic","April 29, 2013",43 injured,Natural gas leak,"Shock wave damaged windows in nearby buildings, 43 people injured (one seriously), no deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Prague explosion
"Rosario, Argentina","August 6, 2013","22 dead, 60 injured",Gas leak,,"Several organizations, six months for reconstruction, Litoral Gas employee suspected, judiciary investigation",,,,,9:30am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Rosario gas explosion
,,,,Aftermath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uncertain, possible bomb attack","Bomb residue not detected, fire traveled through building levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Serendra explosion
"East Harlem, Manhattan, New York City","March 12, 2014","8 dead, 70+ injured",Gas leak suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644 & 1646 Park Avenue,"Received gas leak call, crews sent",Blamed failures by Con Edison & city,"Service suspension, debris on tracks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 East Harlem gas explosion
"Nagaram, East Godavari district, Andhra Pradesh, India",27 June 2014,"23 killed, around 40 injured",Blast in Gas Authority of India Limited underground gas Pipeline,"Loss of lives, destruction of crops and wildlife in over 10 acres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil and Natural Gas Corporation (ONGC),Injured shifted to nearby hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 GAIL pipeline explosion
,,,,Response and Aftermath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 tonnes of highly explosive chemicals and weapons being dismantled stored at the site,------------------------------------------------,October 3 declared national day of mourning,"Workers presumed dead, 3 injured from glass and shrapnel","Previous blasts in 2007 and 2010, notifications to owners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Gorni Lom explosions
"Cianjhen and Lingya districts, Kaohsiung, Taiwan","July 31, 2014","32 killed, 321 injured",Series of gas explosions following reports of gas leaks,"6 km of road damaged, cars and motorcycles blown into the air, gas, electricity, and water supplies cut to households","Firefighters, emergency workers injured, arrival of Taiwanese army, packed hospitals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Kaohsiung gas explosions
"Zhongrong Metal Production Company, Kunshan, Jiangsu, China","August 2, 2014","146 killed, 114 injured",Dust explosion ignited by metal polishing dust,,,,"Over 180 wounded treated at hospitals, investigation into the cause of the explosion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Explosion occurred at 7:37 a.m. with more than 260 people present due to weekend overtime, 44 died at the scene, 31 died at hospitals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Kunshan explosion
"Selantik, Pantu at Sri Aman Division, Sarawak, Malaysia",22 November 2014,"4 dead, 30 injured",Spark from a faulty fan leading to tunnel explosion,,,,,,,,,,,,,"Operating since 2006, 119 workers, nationalities of workers (North Korea, Myanmar, Indonesia, China, and Bangladesh)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Selantik coal mine explosion
"121 Second Avenue, East Village, Manhattan, New York City","March 26, 2015","2 dead, 19 injured",,Destruction of three adjacent buildings,,,,Illegal gas tap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 East Village gas explosion
"Port of Tianjin, China",12 August 2015,"173 dead, 8 missing, 798 non-fatal",Overheated container of dry nitrocellulose,,,"Ruihai Logistics - privately held, handles hazardous chemicals, warehouses for hazardous goods, safety regulations not followed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Tianjin explosions
"Zasyadko coal mine, rebel-held Eastern Ukraine",4 March 2015,,Gas Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 dead,230,Local rebels claimed higher death toll,Petro Poroshenko called for access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Zasyadko mine disaster
"Dangyang, Hubei, China",11 August 2016,"21 dead, 5 injured",High-pressure steam pipe burst during debugging,"Power plant closure, nearby companies shut down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Dangyang explosion
"Naivasha, Kenya",11 December 2016,"43 dead, 50+ injured",Explosive chemicals truck losing control and exploding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Canter with Ugandan registration carrying industrial chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Naivasha Traffic Fireball
"San Pablito Market, Tultepec, Mexico","December 20, 2016","At least 42 killed, dozens injured",Ignition of fireworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Major destruction in the market area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 San Pablito Market fireworks explosion
"Ahmedpur East, Pakistan","June 25, 2017","219 dead, 34 injured",Tanker truck explosion due to fuel leakage ignition,,,,,,,,,,,,,,,,"Tanker truck carrying 50,000 litres of fuel overturned on N-5 National Highway, villagers looted fuel leading to explosion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Bahawalpur explosion
"Y-block of Defence, Lahore, Punjab, Pakistan",23 February 2017,10,Gas leak from cooking cylinder,,,,,,,,,,,"Blast in commercial market in affluent area, confusion initially thought to be a terror attack, skepticism over official explanation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Lahore explosion
"Hinckley Road, Leicester",25 February 2018,"5 killed, 5 injured",Intentionally set fire for insurance claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Major incident, culprits convicted and sentenced to life imprisonment, fraudulent insurance claim details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Leicester explosion
"Magnitogorsk, Chelyabinsk Oblast, Russia","December 31, 2018","39 dead, 17 injured",Gas explosion,,,,"Apartment block, 623 units, 12 staircases, collapse on 7th staircase, 48 units destroyed/damaged, 110 residents affected, building evacuated, risk of further collapses, rescue efforts, President Putin visit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Magnitogorsk building collapse
"115 block of North Duke Street, Durham, North Carolina","April 10, 2019","2 dead, 25 injured (including 9 firefighters)",,"Buildings destroyed, damage widespread","Lawsuits filed, evacuation efforts",,,Gas leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Durham gas explosion
"Hub, Balochistan, Pakistan",21 January 2019,"26 dead, 16 injured",,,,,,,,,,,,,,,,,,Collision between passenger bus and tank truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Hub accident
"6 Rue de Trevise, 9th arrondissement, Paris, France",12 January 2019,"4 dead, 47 injured (including 2 firefighters, a Spanish tourist, and another woman)",Gas leak,,,,,,,,,"Fire destroyed windows, overturned cars, trapped individuals, political context, legal repercussions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Paris explosion
"Tlahuelilpan, Hidalgo, Mexico",18 January 2019,"137 dead, dozens injured",,,,,,Pipeline gasoline explosion due to fuel thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 hours,"Fuel theft has been a long-term issue in Mexico, worsened in the 2010s by organized crime involvement and corruption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Tlahuelilpan pipeline explosion
"Chenjiagang Chemical Industry Park, Xiangshui County, Yancheng, Jiangsu, China",21 March 2019,"78 killed, 617 injured",Chemical reaction or Fire,,"State Council involvement, Government investigation, Past incidents, Fines",,,,,,,,,,,,,,,,Severe casualties and injuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated by Tianjiayi Chemical plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Xiangshui chemical plant explosion
"Ahmedabad, Gujarat, India",4 November 2020,"12 deaths, 9 injuries",Blast at chemical factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60 firefighters, 24 fire engines deployed","Ex gratia of ₹4 lakh to families, investigation ordered by Chief Minister",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Ahmedabad chemical factory blast
"Port of Beirut, Lebanon",4 August 2020,"218 deaths, 7,000 injuries",Ammonium nitrate explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US$15 billion,"300,000","Improper storage for 6 years, originally from MV Rhosus",Magnitude 3.3 seismic event,"Declared state of emergency, ordered demolition of grain silos",Two-week state of emergency,Protests erupted in Lebanon,Economic crisis pre-event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Beirut explosion
"Yashashvi Rasayan Pvt. Ltd. chemical factory, Dahej, Gujarat, India",3 June 2020,"5 killed, 57 injured",,,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Dahej chemical plant explosion
"Watson Grinding and Manufacturing, Houston, Texas, United States","January 24, 2020","3 deaths, 18 minor injuries reported, significant property damage","Suspected gas leak from a 2,000-US-gallon propylene tank",,,,,,,,,,,,"Debris scattered up to half a mile, 200 nearby houses and businesses damaged, multiple lawsuits, bankruptcy filed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Houston explosion
"Icheon, South Korea",29 April 2020,"39 dead, 10 injured",,,,,,Carbon monoxide poisoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 above-ground, 2 underground",Absence of sprinklers,Irregular or subcontract workers,At least 10,Ongoing to determine safety violations,Fire at a refrigerated warehouse in Icheon in 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Icheon fire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Half of the city experienced a power outage due to the explosion,15 women and 4 men killed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Iran explosions
"Baitus Salat Jame mosque, Narayanganj District, Bangladesh",4 September 2020,"31 dead, dozens injured",Gas leak from underground pipeline leading to explosion of air conditioning units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30 pm local time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Narayanganj explosion
"Villa El Salvador, Lima, Peru","January 23, 2020","1 dead, several injured","Gas leak from truck transporting LPG, resulting in explosion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truck from Transgas company suffered accident, valve break leading to gas leak, truck driver unsuccessfully tried to repair and close valve, resulting deflagration and fires in the area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Villa El Salvador explosion
"Volgograd, Russia","August 10, 2020",13 injuries,Gas station fire leading to explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Volgograd explosion
"Balongan oil refinery, Indramayu, West Java, Indonesia",29 March 2021,"1 dead, 5 seriously injured, 15 slightly injured, 3 missing",Large explosion and fire,"Shutdown of operations, no expected fuel supply disruptions, Greenpeace calls for investigation","Firefighting operations, investigation initiated",,,,Pertamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Balongan refinery explosion
"Nkoantoma, Bata, Equatorial Guinea",7 March 2021,"107 dead, 613 injured",Negligently stored explosives on military base detonated,Significant infrastructural damage throughout the city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Bata explosions
"Cameron, Texas","February 23, 2021",None,18-wheel truck hits BNSF train carrying chemicals,"Evacuation of nearby homes, structure burned","Fire extinguished, investigation conducted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 Cameron, Texas explosion"
"Chempark, Leverkusen, Germany","July 27, 2021","7 dead, 31 injured",Fire in storage tanks for solvents,"Toxic fallout expected (dioxin, PCB, furan), warnings to residents issued","Casualties were workers at the site, ongoing air pollution monitoring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Leverkusen explosion
"Calle de Toledo, Madrid, Spain",20 January 2021,"4 killed, 10 wounded",Gas leak in the street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Madrid explosion
"Ravanusa, Italy","December 11, 2021","9 dead, 2 injured, 100 displaced",Gas leak explosion,"4 buildings collapsed, 3 damaged, 11 missing","Search and rescue operations, victims found over days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Ravanusa explosion
"Yanhu Community, Checheng Road Subdistrict, Zhangwan District, Shiyan, Hubei",13 June 2021,"25 deaths, 138 injuries",Gas line explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Market, building collapsed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Shiyan pipeline explosion
"Tarkwa-Bogoso-Ayamfuri road, Western Region, Ghana","January 20, 2022","13 dead, 200 injured",Truck with mining explosives collided with motorcycle,"Apiate village leveled, 500 buildings damaged, 100 road vehicles destroyed, 380 residents left without shelter","Emergency services yet to reach scene, conflicting reports on escort vehicles, 45 received in-patient treatment","Truck operated by Maxam transporting 10 tons of mining explosives, Kinross Gold-owned Chirano Gold Mine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Bogoso explosion
"Abbeystead, Lancashire, England","May 23, 1984","16 killed, several severely injured",Methane gas explosion in waterworks valve house,,,,,,,,,,,"Methane seeped from coal deposits, built up in pipeline, sudden water pressure ejected gas, official inquiry, part of Lancashire conjunctive use scheme by NWWA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbeystead disaster
"Allerton Bywater, England","March 10, 1930","5 miners, 1 pit pony killed",Coal dust and firedamp ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Airedale Collieries Ltd., Old East District, Silkstone Seam, 4-foot-9-inch thick seam, shot hole details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allerton Bywater colliery explosion
