Date,Location,Injuries,Fatalities,Deaths,Aftermath,Cause of Stampede,Cause,Event Name,Context,Arrests,Attendees,Estimated Deaths,Cause of Disaster,Casualties,Background,Court Proceedings,Largest Victim Countries,Official Government Report,Festival Cancellation,Security Actions,Additional Context,Event Trigger,Hospitals,Background Context,Event Details,Festival Details,Event Context,Concert Details,Estimated Injuries,Details,Investigations,Commission Findings,Recommendations/Actions Taken,Legal Consequences,Specific Event Trigger,Factors Contributing,Government Actions,Relief Measures,Time,Number of Pilgrims,Previous Incidents,Responsible Parties,Security Arrangements,Demographics,Official Response,Stampede Cause,Response,Bridge Details,Conflicting Reports,Party,Accusations,Investigation Outcome,Gate Closures,Witness Accounts,Government Response,Causes,Key Individuals/Organizations,Financial Aid Provided,Trigger Event,Official Reports,Relief Distribution Details,Security Measures,Causes of Stampede,Legal Actions,Coordinates,Concert Organizer,Streaming Service,Event Description,Children Killed,Venue Name,Notes,Additional Details,Notable Individuals,Sporting Event,Subsequent Actions,Venue Capacity,Venue Details,Main Cause of Stampede,Aftermath/Commemorations,COVID-19 Enforcement,Nightclub Raid Details,Stampede Details,Notable Awards/Recognitions,Chief Minister's Compensation Announcement,Expected Attendees,Resumption of Pilgrimage,Official Death Toll,Notable Incidents,Football Match Details,Police Involvement,Key People,Attendance,Perpetrator,Motive,Event,Eyewitness Accounts,Government Investigation,Official Condolences,Compensation,Age Range of Victims,Safety Actions,trigger
24 July 2010,"Duisburg, Germany",500+,,21,,,,,"Part of RUHR.2010 campaign, part of European Capitals of Culture",,"200,000 - 1.4 million",,,,,Reopened 18 April 2017,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Parade disaster
20 October 1982,"Moscow, Russia",,66,,"Number of fatalities officially disclosed 7 years later, Russia's worst sporting disaster, similar to Ibrox disaster",,,Luzhniki disaster,,,,,,,,,,,,,,,,"1982–83 UEFA Cup match between FC Spartak Moscow and HFC Haarlem, snowy weather, 16,500 tickets sold out of 82,000 available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deadly human crush, mostly adolescents, occurred at Grand Sports Arena of the Central Lenin Stadium",,,,,,,,,,,,,,,,,,,,Luzhniki disaster
25 Jan 2005,"Wai, Satara",,,291,,Rush started after pilgrims slipped on steps,,,,,,,,,,N/A,,,,,,,,,,Annual pilgrimage and festival with ritual sacrifices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandher Devi temple stampede
3 August 2008,"Himachal Pradesh, India",150,146,,,Rain shelter collapse mistaken as landslide triggering panic and stampede,,2008 Naina Devi Temple Stampede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bharat Award for Gaurav Singh Saini,"Rs. 100,000 for deceased, Rs. 50,000 for injured","50,000",Resumed on 4 August 2008,,,,,,,,,,,,,,,,Naina Devi stampede
9 November 2019,Caracas,"Victims suffered asphyxiation, polytrauma",,,,Stampede began before free concert by Neutro Shorty,,,,,,,,"4 teenagers killed, over 50 injured",,,,,,Limited police presence supplemented by park rangers,,,"Pérez de León Hospital, Centro Diagnóstico Integral de Los Dos Caminos, Domingo Luciani Hospital",,,,,"Concert called Banderas Blancas, overcrowded with largely teenagers, chaos ensued after people climbed park fence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutro Shorty concert stampede
"May 30, 1999",Minsk,,53,,,Sudden thunderstorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,Nyamiha disaster
13 January 1991,"Orkney, South Africa",,42,,,,Fans trampled or crushed against riot-control fences due to brawl between supporters,Oppenheimer Stadium disaster (Orkney Disaster),,,,,,,,,,,,,,,,"Preseason ""friendly"" match between Kaizer Chiefs and Orlando Pirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Panic ensued after objecting to referee's decision, overcrowding of stadium",,,,,,,,,,,,,,Orkney Stadium Disaster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxford Circus panic
4 February 2006,"Pasig, Metro Manila, Philippines",~400,73,,"Investigation, changes in crowd control measures, increased safety protocols, no criminal charges were filed against organizers",,"Crowd pushing and shoving, barrier collapse",PhilSports Stadium Stampede,,,,,,,,,,,,,,,,,"30,000 gathered for Wowowee show's first anniversary, overcrowding led to stampede, popular prizes offered including vehicles and cash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PhilSports Arena Stampede
22 November 2010,"Phnom Penh, Cambodia",755,,347,,Overcrowding on a bridge leading to panic and crushing,,,,,Around 4 million,,,,,,,,,,,Khmer Water Festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phnom Penh stampede
1 February 2012,"Port Said, Egypt",500+,74,,"Domestic league shutdown, civil unrest, strikes, riots, arrests, court proceedings, impact on Egyptian national team and league","Undercover police attacked Ahly fans with clubs, stones, bottles, and fireworks leading to stampede, deaths, and injuries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Match: Al Masry vs Ahly,"Wielded stadium gates, trapping fans",,,,,,,,,,,,Port Said Stadium riot
4 March 2010,"Kunda, Uttar Pradesh, India",74,63,,,"Unfinished temple gate fell causing panic among crowd, leading to stampede. Some crushed beneath gate, others trampled.",,,,,,,,,,,,,,,Incident occurred during temple event to receive free items. Increased attendance due to announcement of distributing utensils with lunch. Reports of fear of electrocution causing panic in crowd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh stampede
7 January 2020,"Kerman, Iran",Over 200,,At least 56,,Stampede during Soleimani's burial procession,,,"Stampede resulted in the delay of Soleimani's burial, occurred amidst tensions following US-Iran conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Qasem Soleimani, mourners",Millions,,,,,,,,,,Qasem Soleimani funeral Stampede
2 June 2017,"Pasay, Metro Manila, Philippines",Dozens,,Dozens,"Investigation, confirmation of motive, perpetrator suicide, police response and aftermath","Gunman causing panic, stampede, and setting fire to casino tables and chairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessie Javier Carlos,Financially motivated attack,,,,,,,,Resorts World Manila attack
"September 19, 1902","Birmingham, Alabama, USA",,115,,,,"Congregation mistook ""fight"" for ""fire,"" leading to panic and rush to exit, resulting in fatalities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stampede at Shiloh Baptist Church,,,,,,,Shiloh Baptist Church stampede
20 Feb 2003,"West Warwick, Rhode Island, United States",230,100,,"Many survivors developing post-traumatic stress disorder, fourth-deadliest nightclub fire in U.S. history, second-deadliest in New England",,"Pyrotechnics igniting flammable acoustic foam, causing flashover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Station nightclub fire
19 February 1849,"Theatre Royal, Dunlop Street, Glasgow",Dozens,65,,,,Stampede during fire at theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theatre Royal disaster
1 January 2022,"Vaishno Devi Temple, Katra",16,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Witnesses described the large crowd inside the temple corridor, the commotion before the stampede, falling due to the crowd surge, and the sudden aggression leading to the stampede","Three-member inquiry panel, report due within a week",Condolences from Prime Minister Modi,₹15 lakh ex-gratia for each victim's family,,,Vaishno Devi Temple stampede
16 June 1883,"Sunderland, England",,183,,"Installation of safety measures, identification of bolt as a safety hazard",Surge towards exit,,,,,,,,,,,,,,,,,,,Children's variety show by Mr. and Mrs. Fay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-14 years old,Caretaker diverted children to safety,Victoria Hall disaster
24 Jan 2022,"Yaoundé, Cameroon",38,8,,Quarter-final match relocated to Ahmadou Ahidjo Stadium,,,2021 Africa Cup of Nations stampede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaound茅 football crush
