Dates,Location,Official Name,Popular Name,Sports,Athletes,Number of Nations,Commonly Known As,Unique Circumstances,Events,Standout Performances,Participating Countries,Disciplines,Number of Athletes,Debuting Nations,Top Country - Medals,Total Events,Medal Standings - Gold,Medal Standings - Total,Bidding Process,Year,Future Games,Nations,Significance,Host City Selection,Bid Winner,Final Contenders,Previous Hosts,Nations Represented,New Sports,Medal Standings,Participating Nations,Boycotts,New Olympic Sport,Second Place,Language,Motto,Countries,New Events,Logo,Official Decision,Announcement,Nations Participated,Medal Distribution,Standout Performer,Main Venue,Number of Sports,Hosting Proposal,Notable Achievements,Medal Format,Reasons,Duration,Bids Received,Reason for Relocation,Notable Features,Sanctioned Nations,Opening Ceremony Date,Host City,Hosted Prior,Standout Performers,Bidding Cities,Total Cost,Revenue,Profit/Loss,Financial Details,Events & Sports,Art Competitions,Sports Venues Used,Cost Control Measures,IOC Vote,Infrastructure,Broadcasting,Filmmaker,Political Influence,Exclusion of Jews,Ticket Revenues,Winter Debuting Nations,Returning Nations,Reasons for Nickname,Standout Performance,Northernmost City,Consecutive EU Games,World Records,Medal Leaders,Significant Debut,Women Participants,Equestrian Events,Southern Hemisphere,Seasons,Southernmost City,Special Circumstances,Future Hosts,Significant Events,First Olympics in Asia,South Africa Exclusion,Technological Advances,Documentary Film,Name,Track Innovation,Timekeeping,Medal Achievements,Torch Relay,Bid Selection,South Africa,Notable Changes,Common Name,Munich Massacre,Nazi Regime,Symbol/Logo,Mascot,Theme Color,Fanfare Composer,Medal Leader,Olympic Park,Competition Sites,Stadium Design,Bid Winners,Competing Cities,Decision Announcement,Host Selection,Significant Boycotts,Host for Paralympics,Subsequent Games,Number of Nations Represented,Reason for Boycott,First-Time Nations,Most Medals - Gold,Most Medals - Total,Debutant Nations,Reasons for Boycott,Financial Success,Future Olympic Hosting,Debut Nations,Volunteers,Host Rank,Media Coverage,National Olympic Committees,Notable Performances,Legacy,Host Country,First Summer Olympics in,IOC Decision,Debut of Nations,Notable Milestones,Previous Bid Loss,Host Decision,Number of Countries,Debutants,Olympic Truce,Olympic Debuts,Total Medals,Medal Table,Nearby Communities,Previous Bid Attempts,Host Selection Date,Beaten Bids,Japan's Olympic History,Successor Event,Nations Participating,New Sports Introduced,Third Place,Standout Athlete,Notable Record,Estimated Cost,IOC President,Successor,Future Host,Reception,Team Officials,Medal Events,Significant Fact,Medal Design,Impact,Feedback,Mascots,Voting Process,Hosting by,Viewership Statistics,Organizing Committee,Host Country Achievements,Opening Ceremony,Closing Ceremony,Sustainability,Notable Achievement,Praise,Number of Events,Key New Competitions,Venues,Cost,Broadcast Audience,Significant Detail,Significant Achievement,Debut Sports,Controversies,Concerns/Controversies,Number of Hostings,Paris2004 Significance,Hosted by,Followed by,Bid Withdrawals,Concurrent Hosting,Host Cities,Decision-Making Process,New Addition,Historical References,US Previous Olympic Hosts,Significance for LA,Previous Hostings,Key Changes,Selection Process,Charter Modification,trigger
13-24 February 1980,"Lake Placid, New York, United States",XIII Olympic Winter Games,Lake Placid 1980,6 sports,"1,072 athletes",,,"Olympic ice hockey ""Miracle on Ice""; criticized organization;  last games in a city with less than 15,000 inhabitants",,"Eric Heiden, American speed skater; American ice hockey team",,10 disciplines,,,,38 events,,,,,,,,,,,,,,,,,,,,,37 countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"People's Republic of China, Cyprus, Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Winter Olympics
"July 28 to August 12, 1984","Los Angeles, California, United States",Games of the XXIII Olympiad,Los Angeles 1984,,,140,,,,,140,,,,"United States (83 gold, 174 total), Romania (20 gold), West Germany (17 gold)",,,,,,,,,,,,Los Angeles - 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Response to American-led boycott of 1980 Summer Olympics,Generated profit of over US$250 million,Los Angeles to host 2028 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984 Summer Olympics
8-19 February 1984,"Sarajevo, Bosnia and Herzegovina, Yugoslavia",XIV Olympic Winter Games,Sarajevo '84,6,,49,,,,"Marja-Liisa Hämäläinen (Finland), Jure Franko (Yugoslavia), East Germany",,10,,,,39,East Germany (9),East Germany (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egypt, British Virgin Islands, Monaco, Puerto Rico, Senegal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984 Winter Olympics
17 September to 2 October 1988,"Seoul, South Korea",Games of the XXIV Olympiad,Seoul 1988,,"8,391",,,"Last Olympics of the Cold War, end of Soviet Union and East Germany, reduction in boycotts",237,"Notable athletes include Lidia Skoblikova, Klavdiya Boyarskikh, Sixten Jernberg, Christine and Marielle Goitschel",,,,,"Soviet Union (55 gold, 132 total medals), closest results China 2008 (48 gold), USA 2016 (121 total medals)",,,,,,,159,,,,,,,,,,"Boycotted by North Korea, Cuba, Albania, Ethiopia, Seychelles, Nicaragua, Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,221","South Korea - 4th place (12 gold medals, 33 total medals)","11,331 media outlets covered the Games worldwide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Summer Olympics
"February 13 to 28, 1988","Calgary, Alberta, Canada",XV Olympic Winter Games,Calgary 1988,,"1,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,"Matti Nykänen (FIN), Yvonne van Gennip (NED)",Facilities continued use for training and events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Winter Olympics
25 July to 9 August 1992,"Barcelona, Catalonia, Spain",Games of the XXV Olympiad,,,,,Barcelona '92,,,,,,,,"Unified Team (45 gold, 112 total medals)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,Spain,"Barcelona selected over Amsterdam, Belgrade, Birmingham, Brisbane, and Paris to host",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Summer Olympics
8 to 23 February 1992,"Albertville, Auvergne-Rhône-Alpes, France",XVI Olympic Winter Games,Albertville '92,6,,64,,,,,64 countries,,,,,57 events,,,"Albertville won bid over Sofia, Falun, Lillehammer, Cortina d'Ampezzo, Anchorage, Berchtesgaden",,,,,,,,,,"Short track speed skating, freestyle skiing, women's biathlon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eight new nations participated,"Last Winter Olympics in same year as Summer Olympics, debut of Unified Team and Germany as a consolidated team, final Games with demonstration sports, last Games with outdoor speed skating rink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Winter Olympics
12 to 27 February 1994,"Lillehammer, Innlandet, Norway",XVII Olympic Winter Games,,,,,Lillehammer '94,,,,,,"1,737",,,,,,,,,,,,,,,,,,,,,,,,,"Two new distances in short track speed skating and aerials, indoor speed skating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1992 Winter Olympics to Albertville, France","Awarded on 15 September 1988 in Seoul, South Korea",67,"14 countries, including nine former Soviet republics",First Games to have the Olympic Truce in effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Winter Olympics
"July 19 to August 4, 1996","Atlanta, Georgia, United States",,,26 sports,"10,320 athletes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197 National Olympic Committees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach volleyball, mountain biking, softball, lightweight rowing, women's fencing, team rhythmic gymnastics, women's association football",101 medals for the United States,United States - 101 total medals (most gold and silver),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Summer Olympics
7-22 February 1998,"Nagano, Japan",XVIII Olympic Winter Games,Nagano 1998,7 sports,"2,176 athletes",,,NHL players first allowed in men's ice hockey,68 events,,,,,"Azerbaijan, Kenya, Macedonia, Uruguay, Venezuela","Germany (29 total medals, 12 gold)",,,,,,,,,,,,,,,,,,,Norway (25 total medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hakuba, Karuizawa, Nozawa Onsen, Yamanouchi","1940 Winter Olympics, 1972 Winter Olympics",15 June 1991,"Salt Lake City, Östersund, Jaca, Aosta","1964 Summer Olympics, 1972 Winter Olympics",1998 Winter Paralympics,72 nations,"Curling, Snowboarding, Women's Ice Hockey",Russia (18 total medals),Larisa Lazutina (Russian cross-country skier),Canada's most successful Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 Winter Olympics
15 September to 1 October 2000,"Sydney, New South Wales, Australia",,,,,,,,At least 300 events in official sports programme,,199 countries,,,,,,,,,,,,,,,,,,,,,,,,Predominantly English-speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A$6.6 billion,Juan Antonio Samaranch,Jacques Rogge,"Brisbane, Queensland for 2032 Summer Olympics",Universally acclaimed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 Summer Olympics
8-24 February 2002,"Salt Lake City, Utah, United States",XIX Olympic Winter Games,,,,78,Salt Lake 2002,,78,,,15,"2,399",,"Norway (13 gold, 25 total), Germany (36 total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Winter Olympics
13 to 29 August 2004,"Athens, Greece",Games of the XXVIII Olympiad,Athens 2004,28,"10,625",,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,501",301,Return of the Olympics to Athens since 1896,New obverse featuring Panathenaic Stadium,Improved infrastructure in Athens,"Hailed as ""unforgettable dream games""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Summer Olympics
10-26 February 2006,"Turin, Piedmont, Italy",XX Olympic Winter Games,Torino 2006,,,,,,,,,,,,,,,,,,,,,Turin chosen at the 109th IOC Session,,Sion and Turin,,,,,,,,,,Passion lives here,,,Mole Antonelliana building in ice crystals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neve (female snowball), Gliz (male ice cube)",Adoption of new election procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Winter Olympics
8 to 24 August 2008,"Beijing, China",Games of the XXIX Olympiad,Beijing 2008,28,,,,,302,,204 countries,,"10,942 representing 204 National Olympic Committees",,,,,,Awarded on 13 July 2001,,,,,,,,"Tokyo, Japan (1964), Seoul, South Korea (1988)",,,,,,,,,,,,"""Dancing Beijing"" featuring the Chinese character for capital",Beijing to host 2008 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,Watched by 3.5 billion people worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Summer Olympics
12-28 February 2010,"Vancouver, British Columbia, Canada",XXI Olympic Winter Games,Vancouver 2010,,"Approximately 2,600",,,,86 events,,,15 disciplines,,,,,,,,,,,,,,,,,,,82 nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Organizing Committee,"Canada won the most gold medals, hosting for the 3rd time","Governor General Michaëlle Jean, PM Stephen Harper, Jacques Rogge","Olympic flag raised in Vancouver, Canada's first gold as host",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Winter Olympics
27 July to 12 August 2012,"London, England, United Kingdom",,,,"10,768 representing 204 National Olympic Committees",,,,,,204 countries,,,,,,,,,,,,,"London won bid on 6 July 2005, defeating Moscow, New York City, Madrid, and Paris",,,,,,"United States (most gold, highest overall), China (2nd place), Great Britain (3rd place)",,,,,,,,"Inclusion of women's boxing, all sports with female competitors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Significant redevelopment, emphasis on sustainability",Michael Phelps became most decorated Olympic athlete with 22 medals,"Received considerable praise for organization, volunteers, British military, public enthusiasm",,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Summer Olympics
7 to 23 February 2014,"Sochi, Krasnodar Krai, Russia",XXII Olympic Winter Games,,,,,Sochi 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 events in 15 disciplines,"Biathlon mixed relay, women's ski jumping, mixed-team figure skating, mixed-team luge, half-pipe skiing, ski and snowboard slopestyle, snowboard parallel slalom","Olympic Park in Imeretinsky Valley, Krasnaya Polyana","Originally budgeted at US$12 billion, final cost US$51 billion",Record 2.1 billion viewers worldwide,"First Olympics in a CIS state post-Soviet Union, most expensive Olympics in history",,,,,,,,,,,,,,,,,,,,,2014 Winter Olympics
"5 to 21 August 2016, with preliminary events from 3 August","Rio de Janeiro, Brazil",Games of the XXXI Olympiad,Rio 2016,,"11,238 from 207 nations, including Kosovo, South Sudan, and the Refugee Olympic Team",,,"First held in South America, first in a Portuguese-speaking country, held in winter season",,Not specified,,,,"Kosovo, South Sudan, Refugee Olympic Team","United States (46 gold, 121 total), Great Britain (27 gold), China (26 gold)",306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US team's 1,000th Summer Olympic gold medal, Great Britain's increased medal tally",,,,,,,,,,,,,,,,,,,,2016 Summer Olympics
9-25 February 2018,"Pyeongchang County, South Korea",,,,"2,914 representing 93 teams",,,,102 events,,93 countries,15 disciplines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Big air snowboarding, mass start speed skating, mixed doubles curling, mixed team alpine skiing","Russian doping scandal, suspension of Russian Olympic Committee",,,,,,,,,,,,,,,,,,2018 Winter Olympics
4-20 February 2022,"Beijing, China",,,,"2,871 representing 91 teams",,,,109 events,,91 countries,15 disciplines,,,"Norway (37 total medals, 16 gold), China (9 gold)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Human rights violations, Uyghur genocide, COVID-19 protocols",,,,,,,,,,,,,,,,,2022 Winter Olympics
26 July to 11 August 2024,"Paris, France",Games of the XXXIII Olympiad,Paris 2024,,,,,,,,,,,,,,,,"2015 initiated, involved five cities",,,,,,,Paris and Los Angeles,"Paris - 1900, 1924; London - multiple times",,,,,,,,,,,,,"Paris to host 2024 Games, Los Angeles to host 2028 Games","Made at the 131st IOC Session in Lima, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris will become the second city to host the Summer Olympics three times,Centenary of the Paris Games of 1924,France,2026 Winter Olympics in Italy,"Hamburg, Rome, Budapest",Proposal to elect 2024 and 2028 host cities approved,,,,,,,,,,,2024 Summer Olympics
6-22 February 2026,"Milan, Lombardy, and Cortina d'Ampezzo, Veneto",XXV Olympic Winter Games,Milano Cortina 2026,,,,,,,,,,,,,,,,,,,,"Fourth Olympic Games in Italy, first with multiple host cities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milan and Cortina d'Ampezzo,"Elected over Stockholm–Åre bid, 134th IOC Session in Lausanne, Switzerland on 24 June 2019",Proposal approved for ski mountaineering,"20th anniversary of 2006 Winter Olympics in Turin, 70th anniversary of 1956 Winter Olympics in Cortina d'Ampezzo",,,,,,,2026 Winter Olympics
"July 21 to August 6, 2028","Los Angeles, California",XXXIV Olympiad,,,,,,,,,,,,,,,,,"Joint award of 2024 and 2028 Games, Los Angeles selected for 2028 with additional funding",,,,,,,,,,,,,,,,,,,,,,"Paris and Los Angeles confirmed as hosts at 131st IOC Session in Lima, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Louis 1904, LA 1932, LA 1984, Atlanta 1996, Lake Placid 1932, Squaw Valley 1960, Lake Placid 1980, Salt Lake City 2002","Third three-time host city, praise for record-breaking facilities",,,,,2028 Summer Olympics
23 July to 8 August 2032,"Brisbane, Queensland, Australia",Games of the XXXV Olympiad,Brisbane 2032,,,,,,,,,,,,,,,,,,,,Second consecutive Summer Games in an English-speaking country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melbourne 1956, Sydney 2000","Selected through new bidding process, held entirely in host city's winter","Brisbane announced as preferred bid in February 2021, approval in June 2021, selection on 21 July 2021","Increased flexibility, possibility of multiple cities/regions/countries",2032 Summer Olympics
