Satellite Name,Launch Date,Launch Vehicle,Other Names,Launch Time (UTC),Manufacturer,Design Life,Orbit Details,Orbital Period,Inclination,Launch Site,Operator,Purpose,Current Status,Configuration,Orbit Perigee,Orbit Apogee,PRN Signal,Constellation Slot,Orbit Inclination,Mass at Launch,Orbit Period,Satellite Bus,Operational Status,Milstar Block I DFS-1,Milstar Block I DFS-2,Milstar Block II (first satellite),Expected Lifespan,Communication Payload,Propulsion System,Payload,Power Source,Notable Incidents,Mission,Mission Duration,Mission Description,Mission Designation,Weight,Program Manager,Mission Objectives,Dimensions,Launch Time,Secondary Payloads,Orbital Inclination,Orbit,Mass,Launch Outcome,Deployment Status,Mission Details,Orbit Location,Landing Location,Deployment Details,Landing Site,Landing Time (UTC),Type,Additional Details,Project Status,Related Incidents,Primary Contractor,Delta-v,Final Status,Design,Performance,Designers,Launch Location,Modifications,Wing Dimensions,Number of Spacecraft,Main Objective,Program Funding,Fourth Stage Developer,Technical Features,Primary Mission Outcome,Satellite Names,Funding,Development Funding Source,Key Technology Features,Funding Source,Unique Characteristic,Program Name,Announced by,Announcement Date,Advanced Weapon Concepts Studied,Organization overseeing development,Year of establishment of SDIO,Directed by,Technologies Studied,Research Investment Focus,Lead of Innovative Sciences and Technology Office,Research Funding Sources,Contributions to Science and Engineering,Conclusion by American Physical Society,Destruction Details,Development Contractors,Launch Weight,Destruction Method,Details,Liftoff Time (UTC),Primary Payload,Background Information,COSPAR Code,Specific Use,Record,Mission Type,Antennas,Antenna Diameter,Director,Liftoff Direction,Official Updates,International Desig.,Payloads,Orbit Type,Operational Handover,Imaging Capabilities,Carrier Rocket,Deployment Orbit,Features,Postponed Launch Date,Records Broken,Landing Date,Orbit Duration,Operator/Manufacturer,Space Segment,Control Segment,Terminal Segment,Expected Operational Life,Flight Number,Notable Incident,Mission Logo,Payloads onboard,Significant Achievements,Orbital Position,System Segments,Bandwidth,Procurement Details,Longitude,System Components,Procurement,Key Feature,Bus Type,Sensors,Key Features,Notable Capabilities,Orbital Location,International Partners,Longevity,Objectives,Onboard Payloads,Duration in Orbit,Controversy,Reason for Failure,Launch Sequence,Tail Number,Deorbit Purpose,Primary Function,Purpose/Usage,Misty (1st Satellite),Misty (2nd Satellite),Misty (3rd Satellite),Shuttle Used,Crew Change,Payload Description,Notable Outcome,Development Entity,trigger
USA 202,18 January 2009,Delta IV Heavy,"NRO Launch 26, NROL-26, Advanced Orion ELINT satellite",02:47:00,,,,,,Cape Canaveral Air Force Station,United States National Reconnaissance Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Classified spacecraft, expensive military satellite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-202
USA-203,24 March 2009,Delta II,"GPS IIR-20, GPS IIRM-7, GPS SVN-49",08:34:00,Lockheed Martin,10 years,"20,045 km (perigee), 20,335 km (apogee)",718.00 minutes,55.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-203
USA-204 (Wideband Global SATCOM 2),2009,Atlas V,,,,,,,,60° East in geostationary orbit,United States Air Force,,,,,,,,,"5,987 kg",,BSS-702,,,,,14 years,X-band and Ka-band transponders,"R-4D-15 apogee motor, XIPS-25 ion engines",,Solar arrays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-204
USA-205,5 May 2009,Delta II 7920-10C,"Space Tracking and Surveillance System-Advanced Technology Risk Reduction, Block 2010 Spacecraft Risk Reduction",20:24:25,,Not specified,Sun-synchronous orbit,,,Vandenberg Air Force Base,United States Missile Defense Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-205
USA-206,17 August 2009,Delta II,"GPS SVN-50, PRN-05, NAVSTAR 64, GPS IIR-21, GPS IIRM-8",10:35:00,Lockheed Martin,10 years,Semi-synchronous medium Earth orbit,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-206
USA-207,September 2009,Atlas V,"PAN, NEMESIS I, P360",,Lockheed Martin,,Multiple relocations to various orbital slots,,,,,Classified SIGINT Satellite,,,,,,,,,,,Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-047A,Intelligence gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-207
USA-211 / Wideband Global SATCOM 3,2009,Delta IV,,,,,,,,Not specified,United States Air Force,,,,,,,,,"5,987 kg",,BSS-702,Operational,,,,14 years,X-band and Ka-band transponders,"R-4D-15 apogee motor, XIPS-25 ion engines",,Solar arrays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-211
USA-212,22 April 2010,Atlas V,,,,,,,,Cape Canaveral Air Force Station,United States Air Force,,,,,,,,,,,,,,,,,,,"Various experiments for satellite sensors, subsystems, components",,"Originally intended for deployment from NASA Space Shuttle, transferred to Delta II and then Atlas V due to aerodynamic concerns during launch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-212
USA-213,28 May 2010,Delta IV-M+,"GPS SVN-62, GPS IIF SV-1, NAVSTAR 65",03:00:00,Boeing,12 years,Plane B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-213
USA-214,14 August 2010,Atlas V 531,Advanced Extremely High Frequency-1 (AEHF-1),11:07:00,Lockheed Martin Space,14 years,"Perigee: 221 km, Apogee: 50,179 km",,,,United States Air Force,,,,,,,,,"6,168 kg",,,Inoperable,,,,,,,Super high frequency and extremely high frequency communications payloads for multiple countries,,"Liquid Apogee Engine malfunction, raised perigee altitude using Reaction Engine Assembly thrusters",,,,,,,,,,,22.2°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-214
"USA-215 (NRO Launch 41, NROL-41)",21 September 2010,Atlas V,,,,,,,,Vandenberg Air Force Base,National Reconnaissance Office,,In orbit as of 14 February 2021,,"1,103 km","1,105 km",,,122.99°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-215
USA-221 (FalconSat-5),20 November 2010,Minotaur IV,-,-,United States Air Force Academy,-,"654 km (apogee), 633 km (perigee)",-,72°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-221
USA-223,21 November 2010,Delta IV Heavy,NRO Launch 32,22:58,United Launch Alliance,,,,,Cape Canaveral Air Force Station,United States National Reconnaissance Office (NRO),,,,,,,,,,,,,,,,,,,,,,Reconnaissance,,,,,,,,,,,Geosynchronous orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Largest spy satellite ever launched,Orion series; Magnum/Orion series,Large antennas for electronic signals intelligence,Approximately 100 meters,Bruce A. Carlson,East towards geosynchronous orbit,Discontinued at 23:05 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-223
USA-224 (NROL-49),20 January 2011,Delta IV Heavy,Fifteenth KH-11 satellite,21:10:30,Lockheed,,,,,,,,,,251 km,"1,023 km",,,97.9°,,,,In service (as of mission completion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-002A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-224
USA-225,6 February 2011,Minotaur I,"Rapid Pathfinder Prototype, NRO Launch 66",,,,,,,"Vandenberg Air Force Base, Space Launch Complex 8",United States National Reconnaissance Office,Technology demonstration and development,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 m x 0.5 m x 0.5 m,,,,,235 kg,"Scrubbed due to transmitter malfunction, successful launch on 6 February 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-225
,,Atlas V,,,,,,,,Cape Canaveral Air Force Station,,,,,,,,,,,,,Classified,,,,,,,,,,,15 months,,Part of the USA series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Various experiments and technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-226
USA-227,11 March 2011,Delta IV-M+,NRO Launch 27,23:38:00,,,,,,Cape Canaveral Air Force Station,United States National Reconnaissance Office,Third-generation Satellite Data System satellite for relaying reconnaissance data,,,,,,,,,,,,,,,,,,,,,Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geosynchronous Transfer Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-227
USA-229 (NRO Launch 34),15 April 2011,Atlas V 411,,04:24,,,"1,015 km (perigee), 1,207 km (apogee), 63.46° (inclination)",,,"SLC-3E, Vandenberg Air Force Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classified (Official updates discontinued post-launch),Signals intelligence (Naval Ocean Surveillance System satellites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-229
USA-230 (SBIRS GEO-1),7 May 2011,Atlas V 401,N/A,,Lockheed Martin Space,,,,,Cape Canaveral Air Force Station,United States Air Force,Missile detection and infrared monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-230
USA-231 (ORS-1),29 June 2011,Minotaur I,,,Operationally Responsive Space Office (ORS),,,,,"Wallops Flight Facility, Virginia",,Reconnaissance satellite,,,,,,,,,,,,,,,,,,SYERS 2A sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USAF's 1st Space Operations Squadron,Optical and infrared camera (SYERS 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-231
"USA-232, GPS IIF-2, GPS SVN-63",16 July 2011,Delta IV,,06:41:00,Boeing,15 years,,729.16 minutes,55.0°,,,,In service (as of 2019),,"20,452 km","20,463 km",PRN 01,"Plane D, Slot 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-232
USA-233,2012,N/A,,,,,,,,N/A,United States Air Force,,,,,,,,,"5,987 kg",,BSS-702,,,,,14 years,X-band and Ka-band transponders,"R-4D-15 apogee motor, XIPS-25 ion engines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-233
USA-234,3 April 2012,Delta IV,"NRO Launch 25, NROL-25",23:12:57,,,"1,096 km (perigee), 1,079 km (apogee), 123° inclination",,,Vandenberg Air Force Base,National Reconnaissance Office,,,Delta IV Medium+,,,,,,,,,,,,,,,,,,,"Radar imaging satellite, part of Future Imagery Architecture program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Launch Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-234
USA-235 (Advanced Extremely High Frequency 2),4 May 2012,Atlas V 531,AEHF-2,,Lockheed Martin Space,14 years,,,,"Space Launch Complex 41, Cape Canaveral",United States Air Force,Military communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,168 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geostationary transfer orbit (Perigee: 225 km, Apogee: 50,031 km, Inclination: 20.6°)",Based on A2100 satellite bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-235
USA-239,4 October 2012,Delta IV,"GPS IIF-3, GPS SVN-65, Navstar-67",12:10:00,Boeing,15 years,"20,231 km (perigee), 20,132 km (apogee)",717.96 minutes,54.87°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-239
USA-240 (Orbital Test Vehicle 3),11 December 2012,Atlas V,OTV-3,,,,,,,Cape Canaveral,Air Force Space Command,,,,,,,,,,,,,,,,,,,,,,,,,Part of the USA series,,,Confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 October 2012,"Endurance record of 470 days in space, landing after almost 675 days",17 October 2014,Approximately 675 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-240
USA-241,19 March 2013,Atlas V,SBIRS GEO-2,TBD,,,,,,,,"Space-Based Infrared System, early warning system replacement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States military/Lockheed Martin Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-241
USA-242,15 May 2013,Atlas V 401,"GPS IIF-4, GPS IIF SV-5, Navstar-68, Vega",,Boeing,15 years,"20,459 km (altitude), 55° (inclination)",,,,,,,,,,PRN-27,,,"1,630 kg",,,Operational,,,,,,,,,,,,,,,,,,,,,,,,,,Slot 5 of plane C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-242
USA-243 (WGS-5),-,United Launch Alliance,-,-,Boeing Satellite Systems,14 years,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-243
USA-244 (Wideband Global SATCOM 6),27 August 2013,Delta IV,,,Boeing Satellite Systems,,,,,,United States Air Force,Military communications satellite,Operational,,,,,,,"5,987 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,135° West (geostationary orbit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wideband Global SATCOM constellation,Wideband Global SATCOM,Wideband Global SATCOM,14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-244
USA-245,28 August 2013,Delta IV Heavy,,18:03,,,,,,,National Reconnaissance Office (NRO),,,,,,,,,,,,,,,,,,,Last Block 4 KH-11 reconnaissance satellite,,,,,,,,,,,,,,,,,,High-resolution optical and infrared imagery for US intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delta 364,Stalked by Russian satellite Kosmos 2542 in 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-245
USA-246,18 September 2013,Atlas V 531,"Advanced Extremely High Frequency 3, AEHF-3",08:10:00,Lockheed Martin Space,14 years,"Perigee: 178 km, Apogee: 50,051 km, Inclination: 20.52°",,,Cape Canaveral Air Force Station,United States Air Force,"Military communications (super high frequency, extremely high frequency)",,,,,,,,"6,168 kg",,A2100,,,,,,,,,,,,,,,,,,,,,,,,,Successfully deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-246
"USA-247, NRO Launch 39, NROL-39",6 December 2013,"Atlas V, configuration 501",,07:14:30,,,,,,"Space Launch Complex 3E, Vandenberg Air Force Base",National Reconnaissance Office (NRO),,,,,,,,,,,,,,,,,,,,,,,,"Radar imaging satellite, part of Future Imagery Architecture program",,,,,,,"Twelve CubeSats, including five from NASA ELaNa II manifest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Depicted an octopus with the motto ""Nothing Is Beyond Our Reach""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-247
USA-248,21 February 2014,Delta IV,"GPS IIF-5, GPS SVN-64, NAVSTAR 69",01:59:00,Boeing,15 years,"20,175 km (perigee), 20,191 km (apogee)",717.99 minutes,54.96°,,,,"In service (since May 30, 2014)",,,,PRN 30,"Plane A, Slot 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-248
USA-251,17 May 2014,Delta IV,"GPS IIF-6, GPS SVN-67, NAVSTAR 70",00:03:00,Boeing,15 years,"20,443 km (perigee), 20,474 km (apogee)",729.22 minutes,55.04°,,,,"In service (since June 10, 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-251
USA-256,2 August 2014,Atlas V 401,"GPS IIF-7, GPS SVN-68, NAVSTAR 71",03:23:00,Boeing,12 years,,727.05 minutes,55.02°,,,,"In service (since September 17, 2014)",,"20,341 km","20,469 km",PRN 09,"Plane F, Slot 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-256
USA-258,29 October 2014,Atlas V,"GPS IIF-8, GPS SVN-69, NAVSTAR 72",17:21:00,Boeing,15 years,"20,455 km (perigee), 20,480 km (apogee)",729.56 minutes,55.00°,,,,"In service (since December 12, 2014)",,,,PRN 03,"Plane E, Slot 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-258
USA-260,25 March 2015,Delta IV,"GPS IIF-9, GPS SVN-71, NAVSTAR 73",18:36:00,Boeing,15 years,"20,445 km (perigee), 20,468 km (apogee)",729.14 minutes,55.00°,,,,"In service (since April 20, 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-260
"USA-261 (Orbital Test Vehicle 4, AFSPC-5)","May 20, 2015",Atlas V UdSSR rocket,-,,,,,,,,Air Force Space Command,"Classified mission, experimental hall-effect thruster, materials science payload (METIS)",,,,,,,,,,,,,,,,,,,,,,,,Part of the USA series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Experimental hall-effect thruster, METIS materials science payload","Longest orbital stay of 718 days, successful landing at Shuttle Landing Facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-261
USA-262,15 July 2015,Atlas V 401,"GPS IIF-10, GPS SVN-72, NAVSTAR 74",15:36:00,Boeing,15 years,"20,445 km (perigee), 20,450 km (apogee)",728.77 minutes,55.00°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-262
USA-263 (Wideband Global SATCOM 7),2015,,,,Boeing Satellite Systems,,,,,,United States Air Force,Military communications satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135° West (geostationary orbit),"Space Segment, Control Segment, Terminal Segment","Cross-band capability, multiple frequency bands","Long lead items ordered in August 2010, contract awarded in September 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-263
USA-265,31 October 2015,Atlas V 401,"GPS IIF-11, GPS SVN-73, NAVSTAR 75",16:13:00,Boeing,15 years,"20,444 km (perigee), 20,491 km (apogee)",729.58 minutes,54.99°,,,,"In service (since December 9, 2015)",,,,PRN 10,"Plane E, Slot 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-265
USA-266,5 February 2016,Atlas V 401,"GPS IIF-12, GPS SVN-70, NAVSTAR 76",13:38:00,,12 years,"20,181 km (perigee), 20,196 km (apogee)",717.9 minutes,55.01°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-266
USA-268,11 June 2016,Delta IV Heavy,NROL-37,17:51:00,,,,,,Space Launch Complex 37B,,Signals intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-268
USA-272 (Wideband Global SATCOM 8),15 December 2016,,,,Boeing Satellite Systems,,,,,,United States Air Force,Military communications enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geostationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135° West,"Space Segment, Control Segment, Terminal Segment",United States Air Force,Ability to cross-band between frequency bands,,,,,,,,,,,,,,,,,,,,,,,,,,USA-272
USA-273 (SBIRS GEO-3),20 January 2017,,-,,Lockheed Martin Space,,,,,,,"Missile early warning, missile defense, battlespace awareness, technical intelligence",,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2100M,Scanner and Step-starer,"Improved prediction accuracy, global strategic and tactical warfighter support","Enhanced flexibility and sensitivity, broader mission capabilities",,,,,,,,,,,,,,,,,,,,,,USA-273
USA-275 (Wideband Global SATCOM 9),2017,,,,Boeing Satellite Systems,,,,,,United States Air Force,Military Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135° West,"Canada, Denmark, Netherlands, Luxembourg, New Zealand, United States",14 years,,,,,,,,,,,,,,,,,,,USA-275
