Teams,Series Outcome,Notable Facts,Notable Players,Historical Context,,MVP,Individual Points,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Coach,trigger
"Miami Heat, Oklahoma City Thunder",Heat defeated Thunder 4-1,"Heat's second consecutive Finals appearance, Thunder's first Finals appearance since relocating from Seattle, Heat's victory over Thunder, LeBron James' Finals MVP performance","LeBron James, Dwyane Wade, Chris Bosh (Heat)","Heat's previous Finals appearances, Thunder's history as the Seattle SuperSonics, Heat's ""Big Three"" era, Thunder's young team in the Finals","Kevin Durant, Russell Westbrook, James Harden (Thunder)",LeBron James (Heat),,,,,,,,,,,,,,2012 NBA Finals
"Miami Heat, San Antonio Spurs",Heat defeated Spurs 4-3,"Heat's second consecutive title, Spurs' first Finals loss, Spurs' previous four Finals wins, Heat's home-court advantage, international players record, Tim Duncan's Finals appearance record","LeBron James, Dwyane Wade, Chris Bosh (Heat)","Heat's three consecutive Finals appearances, Spurs' multiple Finals appearances, David Stern's tenure as commissioner, format change after the Finals","Tim Duncan, Tony Parker, Manu Ginobili (Spurs)",LeBron James (Heat),,,,,,,,,,,,,,2013 NBA Finals
"San Antonio Spurs, Miami Heat",Spurs defeated Heat 4-1,"Spurs' fifth NBA championship, record point differential in Finals history, Leonard's dominant performance, rematch from previous season, 12th Finals rematch, Spurs' home-court advantage","Kawhi Leonard, LeBron James, Dwyane Wade (Heat)","Heat's fourth straight Finals appearance, Heat's quest for three-peat, Finals played in 2-2-1-1-1 format, Heat's struggles heading into the postseason","Tim Duncan, Tony Parker, Manu Ginobili (Spurs)",Kawhi Leonard (Spurs),,,,,,,,,,,,,,2014 NBA Finals
"Golden State Warriors, Cleveland Cavaliers",Warriors defeated Cavaliers 4-2,"Warriors' first title in 40 years, Cavaliers' title drought since inception, first Finals without Lakers, Spurs, or Heat since 1998, first-time head coaches for both teams, James' historic performance","Stephen Curry, LeBron James (Cavaliers)","Warriors' last title in 1975, Cavaliers' last title in 1971, James' fifth consecutive Finals appearance, first-year head coaches for both teams since 1947",Andre Iguodala (Warriors),Andre Iguodala (Warriors),,,,,,,,,,,,,,2015 NBA Finals
"Cleveland Cavaliers, Golden State Warriors",Cavaliers defeated Warriors 4-3,"Cavaliers' comeback from 3-1 deficit, LeBron's unanimous Finals MVP award, Warriors' record-setting regular season, first time a team overcame 3-1 deficit in Finals history","LeBron James, Kyrie Irving (Cavaliers)","First Finals rematch since 1998, Cavaliers' first championship, Warriors' quest for back-to-back titles, LeBron's return to Cleveland","Stephen Curry, Klay Thompson (Warriors)",LeBron James (Cavaliers),,,,,,,,,,,,,,2016 NBA Finals
"Golden State Warriors, Cleveland Cavaliers",Warriors defeated Cavaliers 4-1,"First time same teams met in Finals for third consecutive year, Warriors' 15-0 start in playoffs, Durant's unanimous Finals MVP award, Warriors' ""Superteam"" formation","Kevin Durant, Stephen Curry, LeBron James (Cavaliers)","Warriors' quest for redemption after 2016 Finals loss, Cavaliers seeking repeat championship, Warriors' record-breaking playoff performance","Klay Thompson, Draymond Green (Warriors)",Kevin Durant (Warriors),,,,,,,,,,,,,,2017 NBA Finals
"Golden State Warriors, Cleveland Cavaliers",Warriors swept Cavaliers 4-0,"Back-to-back championships for Warriors, first Finals sweep since 2007, LeBron James' ninth Finals appearance, first time same teams met in Finals four years in a row","Kevin Durant, LeBron James (Cavaliers)","Warriors' quest for back-to-back titles, Cavaliers' fourth consecutive Finals appearance, LeBron James' eighth consecutive Finals appearance","Stephen Curry, Klay Thompson (Warriors)",Kevin Durant (Warriors),,,,,,,,,,,,,,2018 NBA Finals
"Toronto Raptors, Golden State Warriors",Raptors defeated Warriors 4-2,"Raptors' first NBA championship, Leonard's second Finals MVP, first Finals appearance for Raptors, first Finals with games played outside the US","Kawhi Leonard (Raptors), Stephen Curry, Klay Thompson (Warriors)","Warriors' previous championships, Raptors' acquisition of Leonard, first Finals without LeBron James in eight years","Kyle Lowry, Pascal Siakam (Raptors)",Kawhi Leonard (Raptors),,,,,,,,,,,,,,2019 NBA Finals
"Los Angeles Lakers, Miami Heat",Lakers defeated Heat 4-2,"Lakers' 17th championship, James' fourth Finals MVP award, Lakers' first title in ten years, Heat as the third-lowest seed to reach Finals, first Finals matchup between Lakers and Heat","LeBron James, Danny Green (Lakers)","James' Finals MVP with three different teams, first female controlling owner to win NBA title, absence of Golden State Warriors in Finals, season suspension due to COVID-19 pandemic",Jimmy Butler (Heat),LeBron James (Lakers),,,,,,,,,,,,,,2020 NBA Finals
"Milwaukee Bucks, Phoenix Suns",Bucks defeated Suns 4-2,"Bucks' first NBA championship in 50 years, Suns' 2-0 series lead, Bucks' comeback to win four straight games, COVID-19 pandemic impact on schedule, fifth team to win after losing first two games","Giannis Antetokounmpo (Bucks), Chris Paul (Suns)","Bucks' 1971 championship, Suns' 1968 expansion team, coin toss for 1969 draft pick, first Finals without prior champions since 1971, no prior Finals experience for winning team since 2015",,Giannis Antetokounmpo (Bucks),,,,,,,,,,,,,,2021 NBA Finals
"Golden State Warriors, Boston Celtics",Warriors defeated Celtics 4-2,"Warriors' fourth championship in eight years, Curry's first Finals MVP award, Celtics' tied record with Lakers for most titles, series started on June 2 and concluded on June 16",Stephen Curry (Warriors),"Celtics' offseason changes, rematch of 1964 NBA Finals, return to normal June schedule after COVID-19 pandemic, Celtics' coaching changes",,Stephen Curry (Warriors),,,,,,,,,,,,,,2022 NBA Finals
