Event,Date,Location,Casualties,Victims Killed,Perpetrators,Related Context,Aftermath/Repercussions,Discovery Details,Condition of Bodies,Specific Findings,Perpetrator,Related Conflict,Survivors,Significance,trigger
Hà My Massacre,"February 25, 1968","Hà My village, South Vietnam",135 killed,"135 (women, children, elders)",South Korean Marines,"Retaliation for Vietcong mortar fire, destruction of evidence, resistance against Korean forces","Flattening of the village, increased VC activity, designation as Hero District of PAVN",,,,,,,,H脿 My massacre
Indonesian mass killings of 1965–1966,1965–1966,Indonesia,"500,000 to more than 1 million killed","Communist Party of Indonesia members, sympathizers, ethnic minorities","Indonesian armed forces, government, supported by Western countries","Anti-communist purge, coup attempt by 30 September Movement, Cold War impact","Fall of President Sukarno, rise of Suharto's authoritarian presidency, elimination of PKI, global Cold War implications",,,,,,,,Indonesian mass killings of 1965–1966
Inn Din massacre,"September 2, 2017","Inn Din, Rakhine State, Myanmar",Not specified,Not specified,"Myanmar Army, armed Rakhine locals","Mass execution of Rohingyas, admission of extrajudicial killings, persecution of Rohingya minority","Military admission of killings, ongoing persecution of Rohingyas, international condemnation",,,,,,,,Inn Din massacre
Jabidah massacre,"March 18, 1968","Corregidor Island, Philippines",11-68 killed,Not specified,Alleged Moro army recruits,"Alleged killing of Moro army recruits, spark of Moro insurgency, suppressed coverage","Call for Moro independence, key moment in Bangsamoro history",,,,,,,,Jabidah massacre
Jeju uprising,April 1948 - May 1949,"Jeju Island, South Korea","14,000-30,000 killed, 40,000 fled",Not specified,"Workers' Party of South Korea, South Korean government","Uprising against division of Korea, suppression by South Korean government, censored history","Extreme violence, atrocities, beginning of Korean War, government apology and reparations",,,,,,,,Jeju massacre
Jérémie Vespers,August-October 1964,"Jérémie, Haiti",27 killed,27 (ranging from 2 to 85 years old),Haitian Army,"Overthrow attempt against Duvalier regime, ""Jeune Haiti"" resistance group",,,,,,,,,J茅r茅mie Vespers
Kafr Qasim massacre,"October 29, 1956","Kafr Qasim, Israel",48 killed,"48 (including men, women, and children)",Israel Border Police,"Curfew violation, Sinai War, trial and pardons of perpetrators","Apology by President Peres, denial of official recognition in Knesset",,,,,,,,Kafr Qasim massacre
Kandahar massacre,"March 11, 2012","Panjwayi District, Kandahar Province, Afghanistan","16 killed, 6 wounded",16 civilians (including 9 children),Staff Sergeant Robert Bales (United States Army),"Murder of civilians in Panjwayi District, apology from U.S. and ISAF authorities","Bales sentenced to life in prison, condemnation by Afghan authorities, plea deal to avoid death penalty",,,,,,,,Kandahar massacre
Karantina massacre,"January 18, 1976","Karantina, East Beirut, Lebanon","Approximately 1,500",Mostly Muslims,"Lebanese Front militias (Kataeb Party, Guardians of the Cedars, NLP Tiger militia, Lebanese Youth Movement)","Lebanese Civil War, Palestinian Muslim district, involvement of various militias","Tel al-Zaatar massacre, Damour massacre as reprisal",,,,,,,,Karantina massacre
Kareeboomvloer massacre,"March 5, 2005","Kareeboomvloer farm, Hardap Region, Namibia",8 killed,8 (including pregnant woman and children),Sylvester and Gavin Beukes,"Biggest bloodbath in Namibian criminal history, mass murder on farm","Arrest and trial of perpetrators, accusations against farm owner's son",,,,,,,,Kareeboomvloer massacre
Kent State shootings,"May 4, 1970","Kent, Ohio","4 killed, 9 wounded",4 students,Ohio National Guard,"Anti-Vietnam War protest, National Guard presence, student casualties","Nationwide student strike, public outrage, impact on Vietnam War opposition",,,,,,,,Kent State massacre
Kerala massacre,"April 20, 1979","Kerala, Kunar Province, Afghanistan",640 males allegedly killed,Not specified,Afghan soldiers and policemen,"Alleged massacre of unarmed civilians, refuted by Russian media, rebel-government conflict","Allegations refuted, local initiative by government forces, impact on rebel-government dynamics",,,,,,,,Kerala massacre
Ketnar Bil massacre,"May 15, 1971","Ketnar Bil region, Barisal District, Bangladesh",Approximately 200 villagers killed,More than 200 villagers,Pakistan Occupation Army,"Massacre of unarmed Bengali Hindus, location description, involvement of local collaborators","Indiscriminate firing, setting fire to houses, establishment of permanent camp, local collaborators' complicity",,,,,,,,Ketnar Bil massacre
Kfar Etzion massacre,"May 13, 1948","Kfar Etzion, Israel",129 Haganah fighters and Jewish kibbutzniks,"15 on surrender, others hunted down",Arab Legion and local Arab men,"Battle before Israeli Declaration of Independence, controversy over responsibility","Looting and destruction of kibbutz, survivors transferred to Jordan, remains collected later",,,,,,,,Kfar Etzion massacre
Kharqamar incident,"May 26, 2019","North Waziristan, Pakistan","13 killed, 25+ injured",13 PTM supporters,"Pakistan Army, Pashtun Tahafuz Movement","Encounter during PTM protest, allegations of human rights abuses, conflicting reports on violence initiation","Arrests of PTM leaders, curfew imposition, opposition walkout in National Assembly",,,,,,,,Kharqamar incident
Khojaly massacre,"February 26, 1992","Khojaly, Nagorno-Karabakh","613 civilians claimed by Azerbaijani authorities, at least 200 confirmed by Human Rights Watch","106 women, 63 children","Local irregular Armenian forces, 366th CIS Guards Motor Rifle Regiment","Turning point in First Nagorno-Karabakh War, part of series of defining events in 1992","Increased tensions in Nagorno-Karabakh conflict, significant loss of civilian lives",,,,,,,,Khojaly Massacre
Kingsmill massacre,"January 5, 1976","Whitecross, County Armagh, Northern Ireland",10 killed,10 Protestant workmen,South Armagh Republican Action Force (Provisional IRA),"Retaliation for attacks on Catholic civilians, deadliest mass shooting of the Troubles","Increased security measures, deployment of extra troops and police, acknowledgement of SAS presence in Northern Ireland",,,,,,,,Kingsmill massacre
Kiryat Shmona massacre,"April 11, 1974","Kiryat Shmona, Israel","18 killed, 16 wounded",18 (including children),Popular Front for the Liberation of Palestine - General Command,"Attack on civilians, Palestinian militant activities in northern Israel","Subsequent attacks, increased security measures, impact on Israeli-Palestinian conflict",,,,,,,,Kiryat Shmona massacre
La Cantuta massacre,"July 18, 1992","Lima, Peru",10 killed,10 (including a university professor and students),Military death squad (Grupo Colina),"Abduction, torture, and killing of Shining Path members, part of Fujimori's human rights abuses","Fujimori's conviction, part of the crimes leading to his conviction",,,,,,,,La Cantuta massacre
La Vega raid,"January 8, 2021","La Vega Parish, Caracas, Venezuela",23 killed,23 civilians,"Venezuelan National Police, Special Action Forces, Venezuelan National Guard","Police raid targeting El Loco gang, control of La Vega Parish, human rights concerns","Lack of official statement, calls for investigation and disbandment of Special Action Forces",,,,,,,,La Vega raid
Lari massacre,1953,"Lari, Kenya",Not specified,Not specified,Mau Mau,"Mau Mau Uprising, propaganda, retaliatory attacks",Retaliatory killings by colonial troops,,,,,,,,Lari massacre
Las Tinajas massacre,"March 27, 2022","Las Tinajas, Michoacán, Mexico",20 killed,"20 (17 men, 3 women)","Jalisco New Generation Cartel, Familia Michoacana","Mexican drug war, gang conflict, illegal activities","Arrests made, ongoing investigation",,,,,,,,Las Tinajas massacre
Laxmanpur Bathe massacre,"December 1, 1997","Laxmanpur Bathe, Bihar, India",58 killed,58 Dalits (including children and pregnant women),Ranvir Sena,"Retaliation for Bara massacre, Ranvir Sena targeting Dalits, political and social implications","National outrage, condemnation, impact on caste relations in Bihar",,,,,,,,Laxmanpur Bathe massacre
Lekki toll gate shooting,"October 20, 2020","Lagos State, Nigeria",At least 12 protesters killed,At least 12 protesters,Nigerian Army,"End SARS protests, Amnesty International report, conflicting statements by officials","Denial of involvement, admission of deployment, subsequent investigations and testimonies",,,,,,,,Lekki massacre
Letipea massacre,"August 8, 1976","Letipea, Estonia (USSR)","7 killed, 18 wounded",6 civilians,Soviet border guards,"Conflict at picnic, mass shooting, suicide of shooter and commander","Memorial erected for victims, names added in 1996",,,,,,,,Letipea massacre
Palma Sola massacre,"December 28, 1962","Palma Sola, Dominican Republic",Not specified,Liborista movement members,Dominican authorities,"Massacre against Liborista movement, persecution of religious group","Suppression of movement, impact on religious freedom",,,,,,,,Liborista massacre
Lieyu massacre,"March 7, 1987","Donggang Bay, Lieyu Island, Kinmen, Fujian, Republic of China",19 killed,19 (including families of ethnically Chinese Vietnamese),ROC military,Preceding incident with mainland Chinese asylum seekers,,,,,,,,,Lieyu massacre
Lod Airport massacre,"May 30, 1972","Lod Airport, Tel Aviv, Israel","26 killed, 80 injured","26 (including 17 Christian pilgrims, a Canadian citizen, and 8 Israelis)","Japanese Red Army, Popular Front for the Liberation of Palestine – External Operations","Terrorist attack, surprise use of Japanese attackers, speculation on funding source","Capture of one attacker, impact on airport security measures, speculation on larger operation",,,,,,,,Lod Airport massacre
Loughinisland massacre,"June 18, 1994","Loughinisland, County Down, Northern Ireland","6 killed, 5 wounded",6 civilians,Ulster Volunteer Force (UVF),"Retaliation for UVF member killings, police investigation controversy, documentary films","Allegations of police collusion, Ombudsman reports, replacement of Ombudsman, new inquiry",,,,,,,,Loughinisland massacre
Luby's shooting,"October 16, 1991","Killeen, Texas","23 killed, 27 injured",Not specified,,"Deadliest mass shooting by a lone gunman in U.S. history, Virginia Tech shooting surpassed it later","Impact on gun control laws, psychological trauma on survivors and families",,,,George Hennard,,,,Luby's shooting
Lucanamarca massacre,"April 3, 1983","Lucanamarca, Peru",69 killed,"69 (including 18 children, 11 women)",Shining Path,"Retaliation for killing of Shining Path commander, first massacre by Shining Path against peasants",,,,,,,,,Lucanamarca massacre
Luxor massacre,"November 17, 1997","Deir el-Bahari, Luxor, Egypt",62 killed,"58 foreign nationals, 4 Egyptians",Al-Jama'a al-Islamiyya,"Attempt to undermine ""Nonviolence Initiative"", impact on Egyptian economy","Internal divisions among militants, declaration of ceasefire, denial of involvement by group",,,,,,,,Luxor massacre
Ma'alot massacre,May 1974,"Ma'alot, Israel","25 killed, 68 injured",25 hostages (including 22 children),Democratic Front for the Liberation of Palestine,"Two-day hostage-taking, demands for prisoner release, Sayeret Matkal storming","Increased security measures, impact on Israeli-Palestinian conflict",,,,,,,,Ma'alot massacre
Maguindanao massacre,"November 23, 2009","Ampatuan, Maguindanao, Philippines",58 killed,"58 (including journalists, politicians, aides)",Ampatuan political clan,"Political rivalry, election-related violence, deadliest event for journalists","International condemnation, trial and conviction of perpetrators",,,,,,,,Maguindanao massacre
Mahmudiyah rape and killings,"March 12, 2006","Al-Mahmudiyah, Iraq",5 killed,5 (including a 14-year-old girl),U.S. Army soldiers,"War crimes, gang-rape, murder of Iraqi family","Soldiers charged, convicted, sentenced to prison",,,,,,,,Mahmudiyah rape and killings
Malisbong Massacre,"September 24, 1974","Malisbong, Palimbang, Sultan Kudarat, Mindanao","1,500 killed","1,500 male Moros, 3,000 women and children",Philippine Military,"Mass murder of Muslim Moros, martial law under Ferdinand Marcos, rape, and destruction","Compensation for victims, recognition by the Philippine government",,,,,,,,Malisbong Massacre
Maraga massacre,"April 10, 1992","Maraga, Nagorno Karabakh","Over 100 killed, 53 taken hostage","Over 100 women, children, and elderly",Azerbaijani troops,"First Nagorno-Karabakh War, ethnic cleansing, retaliation for Khojaly massacre","Destruction of village, torture and killing of civilians, ongoing conflict ramifications",,,,,,,,Maraga massacre
"Maratha, Santalaris and Aloda massacre","August 14, 1974","Maratha, Santalaris, Aloda, Cyprus",126 killed,126 Turkish Cypriots,EOKA B (Greek Cypriot paramilitary group),"Turkish invasion of Cyprus, demographic composition of villages, events leading to massacre","Loss of almost entire population, few survivors left",,,,,,,,"Maratha, Santalaris and Aloda massacre"
Mardin engagement ceremony massacre,"May 4, 2009","Bilge village, Mazıdağı district, Mardin Province, Turkey","At least 44 killed, 6 injured","44 (including children, women, men, bride, groom, wedding cleric)",Mehmet Çelebi (village guard of Kurdish origin),"Feud between two families, internal conflict within Kurdish Çelebi clan","Shocked the nation, one of the worst attacks involving civilians in Turkey's modern history",,,,,,,,Mardin engagement ceremony massacre
Marichjhapi massacre,1979,"Marichjhapi island, Sundarbans, West Bengal",Not specified,Not specified,"Police, violent action, disease","Eviction of Bengali Hindu Dalit refugees, division of Bengal, refugee crisis, resistance to relocation","Death of refugees and policemen, controversy, impact on refugee resettlement policies",,,,,,,,Marichjhapi massacre
Huế massacre,January 1968,"Huế, Vietnam","2,800-6,000 civilians and POWs","Men, women, children, infants","Viet Cong, People's Army of Vietnam","Tet Offensive, Vietnam War, mass graves, torture, executions","Allegations of large-scale atrocity, press scrutiny, purge of social stratum",,,,,,,,Massacre at Huế
1948 Palestinian exodus from Lydda and Ramle,July 1948,"Lydda and Ramle, Palestine","50,000 to 70,000 expelled",Not specified,Israeli troops,"1948 Arab–Israeli War, UN Partition Plan, transformation of towns into Jewish areas","Creation of predominantly Jewish areas, expulsion of Palestinian Arabs, impact on Arab-Israeli conflict",,,,,,,,Massacre in Lydda
Matikhrü Massacre,"September 6, 1960","Matikhrü village, Nagaland, India",Not specified,Not specified,16th Punjab Regiment of the Indian Army,"Retaliation for Naga Home Guards attack, capture of Indian Air Force crew, atrocities against civilians","Burning of villages, torture, killings of innocent villagers, human rights violations",,,,,,,,Matikhr眉 Massacre
Mekong River massacre,"October 5, 2011","Mekong River, Golden Triangle region",13 crew members,13 crew members,Drug lord Naw Kham and subordinates,"Attack on Chinese cargo ships carrying amphetamine pills, deadliest attack on Chinese nationals abroad, joint river patrol agreement","Arrests, trials, and executions, anti-drug cooperation efforts, impact on drug trade in the region",,,,,,,,Mekong River massacre
Miami Showband killings,"July 31, 1975","Buskhill, County Down, Northern Ireland",5 killed,3 band members,Ulster Volunteer Force (UVF),"Loyalist paramilitary attack, involvement of British Army, Glenanne gang","Convictions of UDR soldiers, allegations of British intelligence involvement",,,,,,,,Miami Showband massacre
Milltown Cemetery attack,"March 16, 1988","Belfast, Northern Ireland","3 killed, 60+ wounded",3,Michael Stone (Ulster Defence Association member),"Attack during IRA funeral, shock worldwide, subsequent corporals killings","Arrest of Michael Stone, corporals killings, tensions in aftermath of IRA members' deaths",,,,,,,,Milltown massacre
Mo So Massacre,"December 24, 2021","Hpruso Township, Kayah State, Myanmar",Over 40 killed,Over 40 burned beyond recognition,Myanmar Army troops,"Engagement with Karenni Border Guard Force, international condemnation, missing Save the Children staff","Condemnation from UN, Save the Children, US Embassy, conflict escalation, missing locals reported",,,,,,,,Mo So massacre
Monrovia Church massacre,"July 29, 1990","Monrovia, Liberia",Approximately 600,"Civilians, primarily from Gio and Mano tribes",Government soldiers loyal to President Samuel Doe,"First Liberian Civil War, tribal conflict, rebel support","Atrocity during civil war, impact on tribal relations, historical significance",,,,,,,,Monrovia Church massacre
Mueda massacre,"June 16, 1960","Mueda, Mozambique",Disputed,Disputed,Portuguese colonial army,"Makonde nationalists demanding independence, violent response by Portuguese forces","Resentment leading to FRELIMO gaining momentum, site marked by commemorative statue",,,,,,,,Mueda massacre
Mukaradeeb wedding party massacre,"May 19, 2004","Mukaradeeb, Iraq",42 civilians killed,42 (including 11 women and 14 children),U.S. military,"Attack on wedding party, conflicting reports on the nature of the event","U.S. officials claimed it was a legitimate target, controversy over the incident",,,,,,,,Mukaradeeb wedding party massacre
Mungyeong Massacre,"December 24, 1949","Mungyeong, North Gyeongsang, South Korea",86-88 killed,86-88 (including 32 children),"2nd and 3rd platoon, 7th company, 3rd battalion, 25th Infantry Regiment, 3rd Infantry Division of the South Korean Army","Suspected communist supporters or collaborators, South Korean government blaming communist guerrillas, Truth and Reconciliation Commission findings","Statute of limitations preventing charges, victim compensation ruling by Supreme Court of South Korea",,,,,,,,Mungyeong massacre
Munich massacre,"September 5, 1972","Munich, West Germany","11 Israeli Olympic team members killed, 1 West German policeman killed","11 Israeli Olympic team members, 1 West German policeman","Black September, West German neo-Nazis","Palestinian terrorist attack during 1972 Summer Olympics, demands for prisoner release","Criticism of West German government, Operation Wrath of God, hostage exchange, international recognition",,,,,,,,Munich massacre
Mỹ Lai massacre,"March 16, 1968","Sơn Tịnh District, South Vietnam",347-504 killed,"Men, women, children, infants",U.S. Army soldiers,"Vietnam War, war crime, domestic opposition, cover-up attempts","Charges against soldiers, conviction of Lt. William Calley Jr., global outrage, impact on U.S. involvement in Vietnam War",,,,,,,,My Lai Massacre
Namyangju massacre,October 1950 - early 1951,"Namyangju, Gyeonggi-do, South Korea",460+ killed,460+ (including at least 23 children),"South Korean police, local militia forces","Summary executions, suspicion of sympathizing with North Korea, Goyang Geumjeong Cave massacre",Truth and Reconciliation Commission's demand for apology and memorial service for victims,,,,,,,,Namyangju massacre
Nanoor massacre,"July 27, 2000","Suchpur, Nanoor, Birbhum, West Bengal, India",11 killed,11 landless labourers,CPI activists,"Land dispute, political unrest, poverty in the region","Initial denial by CPI, media exposure, political controversy",,,,,,,,Nanoor massacre
Nduga massacre,"December 1, 2018","Nduga Regency, Papua, Indonesia",Not specified,Not specified,"Papuan armed separatists, West Papua National Liberation Army","Part of Papuan conflict, historical context of insurgency in Papua province","Indonesian authorities' response, acknowledgment of responsibility, ongoing conflict",,,,,,,,Nduga massacre
Nepalese royal massacre,"June 1, 2001","Narayanhiti Palace, Kathmandu, Nepal",10 killed,"10 (including King Birendra, Queen Aishwarya)",Crown Prince Dipendra,"Mass shooting during royal family gathering, succession crisis, Dipendra's coma and brief reign","Gyanendra becomes king, speculation on motive, impact on Nepalese monarchy",,,,,,,,Nepalese royal massacre
Ngarbuh massacre,"February 14, 2020","Ngarbuh, Cameroon",21,21 (including 13 children),"Cameroonian soldiers, armed Fulani militia",,"Denial of responsibility, independent investigation, impact on Anglophone Crisis",,,,,"Anglophone Crisis, conflicting reports",,,Ngarbuh massacre
No Gun Ri massacre,"July 26–29, 1950","Nogeun-ri, South Korea",Approximately 250-300 killed,Mostly women and children,U.S. 7th Cavalry Regiment,"Korean War, U.S. air attack, small- and heavy-weapons fire, conflicting reports","U.S. Army investigation, survivors' demands for apology and compensation, President Clinton's statement of regret",,,,,,,,No Gun Ri massacre
Novocherkassk massacre,"June 2, 1962","Novocherkassk, Russia","26 killed, 87 wounded",26,"Soviet army, KGB officials","Labor strike, discontent over production quotas and food prices, violent dispersal of protesters","Arrests, show trials, cover-ups, secret burials, investigation post-Soviet Union dissolution",,,,,,,,Novocherkassk massacre
Nuevo León mass graves,"June 25, 2010","Nuevo León, Mexico",Over 70,Not specified,Not specified,"Mass murder, bodies found in mass graves, victims shot, burned, and mutilated",,,,,,,,,Nuevo Le贸n mass graves
Fulani herders massacre,"March 23, 2019",Central Mali (Ogossagou and Welingara),160 killed,Fulani herders,Dogon hunters,"Crackdown on Islamic terror cells, land and water access conflicts, climate change impact","Protests, resignation of Prime Minister, dissolution of Dogon militia, UN investigation",,,,,,,,Ogossagou massacre
Omagh bombing,"August 15, 1998","Omagh, County Tyrone, Northern Ireland","29 killed, 220 injured","29 (including teenagers, children, pregnant woman)",Real Irish Republican Army,"Opposition to ceasefire, deadliest incident of the Troubles, impact on peace process","Enactment of anti-terrorism laws, ceasefire declaration, criticism of intelligence agencies",,,,,,,,Omagh bombing
Oran massacre of 1962,"July 5-7, 1962","Oran, Algeria",95-365,Pied-Noir and European expatriates,Algerian National Liberation Army,"Algerian War, Évian Accords, pieds-noirs' emigration, OAS rebellion","Speculation, impact on Algerian independence, historical controversy",,,,,,,,Oran massacre of 1962
Pulse nightclub shooting,"June 12, 2016","Orlando, Florida, United States","49 killed, 53 wounded",49,Omar Mateen (Islamic State sympathizer),"Terrorist attack, allegiance to ISIS leader, motive related to U.S. interventions in Iraq and Syria","Deadliest incident against LGBT people in U.S., deadliest terrorist attack since 9/11, impact on gun control and security measures",,,,,,,,Orlando massacre
Osaka school massacre,"June 8, 2001","Ikeda, Osaka Prefecture, Japan","8 killed, 15 wounded",8 students,Mamoru Takuma,Stabbing attack at Ikeda Elementary School by ex-convict with history of mental illness,"Perpetrator sentenced to death and executed, impact on school safety measures",,,,,,,,Osaka school massacre
Paris massacre of 1961,"October 17, 1961","Paris, France",200-300 Algerians killed,Not specified,"French National Police, Maurice Papon","Algerian War, pro-National Liberation Front demonstration, police brutality","Official acknowledgment of deaths, historical trials, commemorative plaques honoring victims",,,,,,,,Paris massacre of 1961
Passover massacre,"March 27, 2002","Netanya, Israel","30 killed, 140 injured",30 civilians,Hamas,"Deadliest attack during Second Intifada, suicide bombing during Passover seder","Increased security measures, impact on Israeli-Palestinian conflict",,,,,,,,Passover massacre
Phong Nhị and Phong Nhất massacre,"February 12, 1968","Điện Bàn District, Quảng Nam Province, South Vietnam",69 civilians found dead,Not specified,2nd Marine Brigade of the Republic of Korea Marines,"Vietnam War, relationship with U.S. Marines, Combined Action Program","Denial of involvement, evacuation of survivors, impact on local community",,,,,,,,Phong Nhi and Phong Nhat massacre
Pibor massacre,"December 23, 2011 - January 4, 2012","Pibor County, South Sudan",Approximately 900 (UN estimate),Not specified,"Murle, Lou Nuer, Nuer White Army","Cattle raiding, child abduction, ethnic conflict","High death toll, abduction of children, large-scale cattle theft",,,,,,,,Pibor massacre
Djugu massacre,"February 2, 2022","Djugu, Ituri Province, DRC",Over 60 civilians,Over 60 (Hema ethnic group),CODECO insurgents,"Attack on Plaine Savo camp, internally displaced people, machetes and edged weapons","Hospitalization of chief, African history, DRC-related article stubs",,,,,,,,Plaine Savo massacre
Portella della Ginestra massacre,"May 1, 1947","Piana degli Albanesi, Sicily, Italy","11 killed, 27 wounded",11,Salvatore Giuliano and gang,"May Day celebrations, leftist victory in Sicilian elections, fear of communist rule","Controversy over motives, interruption of tradition, political implications",,,,,,,,Portella della Ginestra massacre
Pinarcik massacre,"June 20, 1987","Pınarcık, Mardin Province, Turkey",32 killed,"32 (16 children, 8 women, 8 men)",ARGK units of PKK,"PKK attack on Kurdish villagers, conflicting narratives on motives","Escalation of violence, differing accounts from Turkish authorities and PKK publications",,,,,,,,P谋narc谋k massacre
Qibya massacre,October 1953,"Qibya, West Bank",At least 69 Palestinians killed,69 (two-thirds women and children),Israeli troops under Ariel Sharon,"Reprisal operation, response to cross-border raids, condemned internationally","Suspension of economic aid to Israel, condemnation by U.S. State Department and UN Security Council",,,,,,,,Qibya massacre
Queen Street massacre,"December 8, 1987","Melbourne, Victoria, Australia","8 killed, 5 injured",8 office workers,Frank Vitkovic,"Mass shooting, possible motives, Vitkovic's background, weapon used","Motives speculated, impact on victims and families",,,,,,,,Queen Street massacre
Rabaa massacre,"August 14, 2013","Cairo, Egypt","Conflicting reports: HRW - 904 killed, Health Ministry - 638 killed, National Council for Human Rights - 632 killed, Muslim Brotherhood - 2,600 claimed",Civilians and police officers,Egyptian police and army forces,"Raid on pro-Morsi protest camps, aftermath of 2013 coup, human rights violations","State of emergency, curfews, international condemnation, violent retaliation",,,,,,,,Rabaa massacre
Raboteau massacre,"April 22, 1994","Raboteau Gonaïves, Haiti",At least 23 killed,Residents of the neighborhood,Military and paramilitary forces,"Pro-Jean-Bertrand Aristide demonstrations, Haitian coup d'état","Trials of alleged perpetrators, overturned sentences by Supreme Court",,,,,,,,Raboteau massacre
Rawagede massacre,"December 9, 1947","Rawagede, Indonesia",431 killed,431 (mostly male villagers),Royal Netherlands East Indies Army,"Dutch-Indonesian conflict, Operation Product, negotiations on USS Renville","International pressure, war crime accusations, impact on Dutch-Indonesian relations",,,,,,,,Rawagede massacre
Remembrance Day bombing,"November 8, 1987","Enniskillen, County Fermanagh, Northern Ireland","11 killed, 63 injured",11 (many elderly),Provisional IRA,"Mistaken target, condemnation, Extradition Act, Loyalist paramilitary revenge attacks","Turning point in the Troubles, political efforts, impact on IRA and Sinn Féin",,,,,,,,Remembrance Day bombing
Rengat massacre,"January 5, 1949","Rengat, Riau, Indonesia",Estimates vary (120-2600),Not specified,Royal Netherlands East Indies Army,"Operation Kraai, looting, rape, summary executions","Varying death toll estimates, Dutch official statements, Indonesian sources with higher estimates",,,,,,,,Rengat massacre
Sabra and Shatila massacre,"September 16-18, 1982","Sabra and Shatila, Beirut, Lebanon","460-3,500",Mostly Palestinians and Lebanese Shiites,Lebanese Forces militia,"Retaliation for Bachir Gemayel's assassination, Israeli involvement, PLO withdrawal, violation of ceasefire","International condemnation, Israeli Kahan Commission, resignation of Ariel Sharon",,,,,,,,Sabra and Shatila massacre
Safsaf massacre,"October 29, 1948","Safsaf, Galilee",52-64 killed,Villagers,Israel Defense Forces,"Operation Hiram, allegations of rape, internal IDF inquiries","Classified reports, release of Nachmani diary",,,,,,,,Safsaf massacre
San Ysidro McDonald's massacre,"July 18, 1984","San Ysidro, San Diego, California","21 killed, 19 injured",21,James Huberty,"Deadliest mass shooting by lone gunman in U.S. history, mental health concerns","Impact on gun control laws, public safety measures",,,,,,,,San Ysidro McDonald's massacre
Sancheong and Hamyang massacre,"February 7, 1951","Sancheong and Hamyang, South Gyeongsang, South Korea",705 killed,"705 (85% women, children, elderly)",South Korean Army 11th Division,"Korean War, Geochang massacre, commanding general Choe Deok-sin","Discovery of massacre files, establishment of memorial park",,,,,,,,Sancheong and Hamyang massacre
Santa Cruz massacre,"November 12, 1991","Dili, East Timor",At least 250,Not specified,Indonesian troops,"Shooting of pro-independence demonstrators, part of East Timorese genocide","Increased tension, international attention on East Timor issue",,,,,,,,Santa Cruz massacre
Santa Rita massacre,"March 17, 1982","Santa Rita, Chalatenango, El Salvador",Not specified,"4 Dutch journalists, guerrillas from Farabundo Martí National Liberation Front",Atonal Battalion (Salvadoran Army),"Occurred during Salvadoran Civil War, journalists targeted, involvement of military and death squads","Democratization of El Salvador, impact on reporting and human rights awareness",,,,,,,,Santa Rita massacre
Batticaloa massacre,"September 9, 1990","Batticaloa District, Sri Lanka",At least 184,At least 184 (including infants),Sri Lankan Army,"Sri Lankan Tamil refugees, government investigations, lack of charges","Ethnic tensions, civil war, rebel groups advocating independence, political issues",,,,,,,,Sathurukondan massacre
Seoul National University Hospital massacre,"June 28, 1950","Seoul, South Korea",700-900 killed,"700-900 (including doctors, nurses, inpatient civilians, wounded soldiers)",Korean People's Army,"First Battle of Seoul, massacre during Korean War",,,,,,,,,Seoul National University Hospital massacre
Sharpeville massacre,"March 21, 1960","Sharpeville, Transvaal Province, South Africa","69 killed, 180 injured",69 (including 29 children),South African Police,"Protest against pass laws, conflicting reports on crowd behavior, police shooting","Public holiday in South Africa, commemoration of human rights, impact on apartheid movement",,,,,,,,Sharpeville massacre
Shell House massacre,"March 28, 1994","Johannesburg, South Africa",19 killed,19 protesters,ANC guards,"Rising tensions between ANC and IFP, power struggle post-apartheid","State of emergency, President Mandela's admission, Truth and Reconciliation Commission amnesty",,,,,,,,Shell House massacre
Shelling of Highway 1,"April 29 - May 2, 1972","Quảng Trị and Huế, South Vietnam",Not specified,Not specified,People's Army of Vietnam,"Easter Offensive of the Vietnam War, attack on South Vietnamese soldiers and civilians",Psychological and physical blow on South Vietnamese civilians and military,,,,,,,,Shelling of Highway 1
Sinchon Massacre,Oct-Dec 1950,"Sinchon, Korea","30,000-35,383",Not specified,"U.S. military, Korean security police, communists","Korean War, conflicting narratives on perpetrators","Establishment of Sinchon Museum, propaganda surrounding the event",,,,,,,,Sinchon Massacre
Sinjar massacre,August 2014,"Sinjar, Iraq",Thousands killed and abducted,Thousands of Yazidis,ISIL,"Genocide of Yazidis, military intervention against ISIL, Kurdish offensive","International response, breaking of ISIL supply lines, displacement of Yazidis",,,,,,,,Sinjar massacre
Sivas massacre,"July 2, 1993","Sivas, Turkey",37 killed,37 (mostly Alevi intellectuals),Sunni residents of Sivas,"Attack during Pir Sultan Abdal festival, targeting Alevi intellectuals, link to Salman Rushdie's novel","Deepened rift between religious and secular segments, arrests following the incident",,,,,,,,Sivas massacre
Sobane Da village attack,"June 10, 2019","Sobane Da, Mali",35 killed,35,Fulani militia group,"Historic dispute, spread of jihadism in Mali","Suspected terrorist attack, ethnic tensions",,,,,,,,Sobane Da massacre
Solhan and Tadaryat villages massacres,"June 4-5, 2021","Yagha Province, Burkina Faso",At least 174 killed,At least 174 (including 20 children),Insurgents,"Insurgents attacking Sahel Region, previous attacks in the region","Deadliest attacks in Burkina Faso in five years, survivors fleeing to Sebba, child soldiers involved in the attack",,,,,,,,Solhan and Tadaryat massacres
