Date,Location,Event Name,Fatalities,Injuries,Cause of Stampede,Aftermath,trigger
1 Feb 2012,"Port Said, Egypt",2012 Port Said Stadium Riot,74,500+,"Undercover police thugs storming stadium, attacking Ahly fans, trapping them inside, causing stampede","74 killed, 500+ injured, police wielding stadium gates, trapping fans, riots and civil unrest until 11 Feb, general strikes ending on 13 Feb, clashes in Cairo, Alexandria, and Suez, tear gas fired at protesters, 73 defendants charged, 26 acquitted, 47 convicted with various sentences, domestic league shut down for two years, affecting national team",Port Said Stadium riot
4 Mar 2010,"Kunda, Uttar Pradesh, India",Pratapgarh stampede,63,74,"Stampede at Ram Janki temple of Kripalu Maharaj ashram, 63 killed, 74 seriously injured","Incident occurred during distribution of free items on first anniversary of Kripalu Maharaj's wife's death, unfinished temple gate fell, potential panic among crowd, some crushed beneath gate, others trampled, gate may have been torn down by crowd, increased attendance due to announcement of utensil distribution, rumours of live electric wire causing panic, majority of victims were women and children, police actions exacerbated incident",Pratapgarh stampede
7 Jan 2020,"Kerman, Iran",Qasem Soleimani Burial Procession Stampede,56+,200+,"Stampede during burial procession of Qasem Soleimani, Iranian general","At least 56 mourners killed, over 200 injured, burial delayed due to crowds, body buried in Kerman, funeral described as one of the largest in Iran, burial followed Iran's attack on US bases in Iraq, funeral processions held in various cities in Iraq and Iran, millions of mourners in attendance, anti-US and anti-Israel sentiments expressed during processions",Qasem Soleimani funeral Stampede
2 Jun 2017,"Pasay, Metro Manila, Philippines",Resorts World Manila Stampede,Dozens,Dozens,"Gunman causing stampede and fire at casino, resulting in deaths and injuries","Dozens killed or injured, gunman caused stampede and fire, initial suspicions of terrorist attack, later confirmed as financially motivated robbery, gunman identified as Jessie Javier Carlos, attack resulted in stampede and smoke inhalation, gunman committed suicide, police confrontation, evidence pointed towards robbery motive",Resorts World Manila attack
19 Sep 1902,"Birmingham, Alabama",Shiloh Baptist Church Stampede,115,Unknown,Stampede during address by Booker T. Washington at Shiloh Baptist Church,"115 killed, cause triggered by mistaken word ""fire"" leading to panic, congregation rushed for exit, trampling and crushing occurred, victims fell from steps outside church, horror scene with screams, many fainted and crushed, brick walls outside church exacerbated situation",Shiloh Baptist Church stampede
20 Feb 2003,"West Warwick, Rhode Island, United States",The Station Nightclub Fire,100,230,"Human stampede during fire caused by pyrotechnics at Great White concert, 100 killed","100 fatalities, 230 injuries, pyrotechnics ignited flammable acoustic foam, rapid fire growth, intense black smoke, blocked egress, toxic smoke and heat, survivors developed PTSD, fourth-deadliest nightclub fire in U.S. history, second-deadliest in New England",The Station nightclub fire
19 Feb 1849,Glasgow,Theatre Royal Stampede,65,Dozens,"Human crush during fire at Theatre Royal, Dunlop Street, Glasgow","65 guests killed, dozens injured, panic during fire extinguishing, stampede at theatre doorway, building owned by John Henry Alexander, theatre had standard layout with upper gallery, boxes, pit, and lower gallery, fire caused by dropped lighted paper, victims mostly local working-class residents",Theatre Royal disaster
1 Jan 2022,"Vaishno Devi Temple, Katra, Jammu and Kashmir, India",Vaishno Devi Temple Stampede,12,16,"Stampede near Gate No. 3 at Vaishno Devi Temple, overcrowding during New Year prayers","12 killed, 16 injured, stampede during New Year prayers, hundreds packed inside temple corridor, roads leading to temple also packed, eyewitness accounts of commotion before stampede, government investigation launched, inquiry panel formed, PM Modi offers condolences, additional compensation announced for families of victims",Vaishno Devi Temple stampede
16 Jun 1883,"Sunderland, England",Victoria Hall Disaster,183,Unknown,Compressive asphyxia of 183 children aged 3-14 during children's variety show,"183 children killed, worst disaster of its kind in British history, caused by surge towards staircase for prizes, door at bottom of staircase bolted, caretaker diverted 600 children to safety, tragedy led to improved safety measures in public venues",Victoria Hall disaster
24 Jan 2022,"Yaoundé, Cameroon",Olembe Stadium Stampede,8,38,Crowd crush at south entrance of Olembe Stadium during Africa Cup of Nations football match,"8 killed, 38 injured, crush during entry to watch Cameroon vs. Comoros match, fans directed towards locked gate, surge of people trampled each other, 7 in critical condition, quarter-final match relocated to Ahmadou Ahidjo Stadium",Yaound茅 football crush
