Ship Name,Purpose,Responsible Party,Lives Lost,Date Sunk,Route,Passenger Capacity,Crew Size,Maiden Voyage Details,Location,Additional Details,Historical Significance,Owner,Population,Area,Full Name,Launch Date,Capital,Battle Honours,Role,Family Background,Reason for Name,Date of Birth,Date of Death,Key Achievements,Notable Landmarks,Fate,Original Name,Sinking Date,Significance,Type,Length,Birthplace,Sinking Details,Maiden Voyage Route,Service Period,Sinking Party,Gross Register Tons,Beam,Propulsion,Holds,Torpedoed By,POWs Aboard,Survivors,Construction Yard,Yard Number,Completion Date,Key Incident,Borders,Highest Point,Origin of Term,Definition,Examples,Historical Background,Manufacturing Process,Properties,Origins of the Word,Founded as U.S.D. Camaro Messina,Renamed to S.S.D. Città di Messina,Promoted to Serie D,Relegated to Eccellenza Sicily,Promoted to Eccellenza Sicily,Acquired by Rocco Arena,Name changed to Football Club Messina,Ended 2nd in Serie D Girone I,Won Serie D Girone I playoffs,Depth,Geology,Name,Parentage,Siblings,Attributes,Division,Boundaries,Hebrew Name,Meaning,Region,Divisions,Roman Conquest,Defeat of Cimbri and Teutons,Julius Caesar's Campaigns,End of Roman Control,Renaming History,Career,Notable Works,Number of Ships,Ship Class,Pennant Number,Commissioning Date,Notable Events,Key Captures,Commissioned Date,Commanding Officer,Notable Crew Members,Operations,HMS Formidable,HMS Ham,Construction Period,Ownership Changes,Capture by Japanese,Renaming,Routes Served,Title,Reign,Modernization Efforts,International Recognition,Financial Troubles,Removal from Power,Newspaper Name,Creation Year,Merger Details,Ownership,Publisher,Circulation,Administrative Capital,Neighboring Regions,Surrounding Bodies of Water,Notable Geographical Features,Main Mountain Ranges,Agricultural Characteristics,Tourist Attractions,River Name,Other Names,Origin,Historical Impact,Date of Construction,Passengers on Board,Location of Sinking,Number of Survivors,Former Names,Date of Capture,Capturing Party,Final Name,Class,Key Battles,Construction Details,Specifications,War,Battles Participated In,Siege Involved In,Original Purpose,Unique Features,Conversion during WWII,Seizure by,Renamed to,Service as,Decor Details,Professional Debut,Highest Rank,Notable Achievements,Career Path,USS Juneau (CL-52),USS Juneau (CLAA-119),USS Juneau (LPD-10),Victim,Assailant,Date of Assassination,Location of Assassination,Reason for Assassination,Outcome of the Assailant,Key Figures Present at Funeral,Key Propaganda Use,1,2-7,8,trigger
,,,,,,,,,,,,,,,Isma'il Pasha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khedive of Egypt and Sudan,1863-1879,"He modernized Egypt and Sudan, investing in industrial and economic development, urbanization, and expansion of boundaries in Africa",Secured Ottoman and international recognition for his title of Khedive,"Policies led to severe debt, sale of Suez Canal shares to British government",Removed from power in 1879 under British and French pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khedive Ismail
,,,,,,,,,"Marseille, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Provence,1997,Le Provençal and Le Méridional merged,"Initially jointly owned by Groupe Hersant Média and Groupe Bernard Tapie, later solely owned by Groupe Bernard Tapie",Hachette Filipacchi Medias (a subsidiary of Lagardère),"81,858 copies in 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Provence
,,,,,,,,,"Southeastern part of the Peloponnese peninsula, Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparta,"Messenia to the west, Arcadia to the north","Myrtoan Sea to the east, Laconian Gulf and Mediterranean Sea to the south","Cape Malea, Cape Tainaron, Mani Peninsula, islands of Kythira and Antikythera, Elafonisos","Taygetus (2,407m) in the west, Parnon (1,961m) in the northeast","Citrus groves, olive groves, pasture lands, largest orange production in the Peloponnese","Eurotas valley, Lakonia orange juice, Dirou stalactite cave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laconia
,,,,,,,,,Southeast and east of Ireland,,"Comprises the ancient Kingdoms of Meath, Leinster, and Osraige, merged fifths of Leinster and Meath, formed after the Norman invasion, shired into counties, no official function for local government, recognised subdivision of Ireland, ISO 3166-2 code IE-L, traditional flag features a golden harp on a green background, Gaelic Kingdom of Leinster before 1171, name derives from Laigin tribe, united by Úgaine Mór in the 7th century BC",,"2,630,720 residents according to the 2016 census",Not specified,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leinster
Lima Maru,Japanese troop transport,USS Snook,"Over 2,750 lives lost",8 February 1944,Moji to Takao,Not specified,Not specified,"Torpedoed and sunk by USS Snook during World War II, part of convoy MOTA-02, significant loss of life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lima Maru聽
Lisbon Maru,"Japanese cargo liner turned troopship, torpedoed while transporting POWs between Hong Kong and Japan",USS Grouper,Over 800 British lives lost,1 October 1942,,,,,,"Completed in 1920 at Yokohama, used by Nippon Yusen Kabushiki Kaisha, sunk after being torpedoed by USS Grouper, carried Japanese Army personnel and British/Canadian POWs, POWs held in dire conditions, some able to escape before sinking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisbon Maru
,,,,,,,,,Modern-day Portugal and a portion of western Spain,,"Ancient Iberian Roman province, named after the Lusitani people, initially part of Hispania Ulterior, became a province of the Roman Empire, war with Lusitanian tribes from 155 to 139 BC, created as a province in 27 BC, often used as an alternative name for Portugal, unclear etymology of the name, speculated Roman origins, connections to Roman demigod Lusus and Greek mythology",,Not specified,Not specified,,,Emerita Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lusitania
,,,,,,,,,,,,,,,Léon Gambetta,,,,French lawyer and politician,"Father was a Genoese grocer, mother was French, lost sight in right eye at age fifteen, inherited vigour and eloquence from father",,2 April 1838,31 December 1882,"Proclaimed the French Third Republic in 1870, played a prominent role in early government, known for public speaking skills, enemy of imperial government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L茅on Gambetta
,,,,,,,,,,,,,,,Marina Mikhaylovna Raskova,,,,Soviet Union's first female navigator,"Father was opera singer and singing instructor, mother was a teacher, aunt was a known Russian singer, half-brother was a shipbuilding scientist",,28 March 1912,4 January 1943,"Achieved diploma of professional air navigator, founded and commanded the 587th Bomber Aviation Regiment, led three female air regiments, over 30,000 sorties flown in WWII, produced at least 30 Heroes of the Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Raskova
Mayasan Maru,Japanese landing craft depot ship,USS Picuda,"3,536 lives lost",17 November 1944,East China Sea as part of Convoy Hi-81,Not specified,Not specified,"Sunk by USS Picuda, one of the highest maritime casualty counts of WWII, laid down in August 1941, launched in June 1942, completed and commissioned in December 1942, maiden voyage from Hiroshima to Rabaul in January 1943, involved in various trips until its sinking in November 1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayasan Maru
,,,,,,,,,"Northeast Algeria, flowing through Tunisia, emptying into the Gulf of Tunis and Lake of Tunis",,,,,,,,,,,,,,,,,,,,"Longest and most important river in Tunisia, major water supplier for wheat crops",,450 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medjerda River,"Wadi Majardah, Mejerha","Tell Atlas, part of the Atlas Mountains, northeastern Algeria","Formed Gulf of Utica, postglacial transgression 6,000 years ago, key waterway for irrigation and agriculture in Tunisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medjerda
MV Mefküre,Transporting Jewish Holocaust refugees,Soviet submarine,Over 300 lives lost,5 August 1944,Romania to Istanbul via the Black Sea,320 refugees,Not specified,,,"Sunk by Soviet submarine Shch-215 in the Black Sea, captain and six crew members escaped, only five refugees survived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mefk眉re
Montevideo Maru,Japanese auxiliary ship,USS Sturgeon,Hundreds of Australian POWs and civilians,1 July 1942,Unmarked route from Rabaul to Hainan,Not specified,Not specified,"Sunk by USS Sturgeon, worst maritime disaster in Australian history, used to transport Australian POWs and civilians from Rabaul, originally a passenger and cargo vessel, part of the Osaka Shosen Kaisha shipping line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montevideo Maru
Nikkin Maru,Japanese troop transport ship,USS Tang,"Approximately 3,200 lives lost",30 June 1944,Korea to Japan,Not specified,Not specified,"Sunk by USS Tang in the Yellow Sea off Mokpo, Korea, one of the worst maritime disasters in World War II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikkin Maru
,,,,,,,,,Eastern Canada,,"Latin for ""New Scotland"", one of the three Maritime provinces, one of the four Atlantic provinces, second-most densely populated and second-smallest province in Canada, includes Cape Breton Island and 3,800 other coastal islands, connected to North America by the Isthmus of Chignecto, borders the Bay of Fundy, Gulf of Maine, and Atlantic Ocean, separated from Prince Edward Island and Newfoundland by straits, inhabited by the Miꞌkmaq people, founded as Acadia in 1605 by France, key battleground between Britain and France, Loyalist settlement during the American Revolutionary War",,"969,383 residents according to the 2021 Census","55,284 square kilometers",,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nova Scotia
Pallada,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pallada
Rakuyo Maru,Passenger cargo ship,USS Sealion,"1,159 lives lost",12 September 1944,Singapore to Formosa,"1,317 Australian and British prisoners of war",Not specified,"Part of convoy HI-72, attacked by USS Growler, USS Pampanito, and USS Sealion, sunk by USS Sealion, survivors rescued by escort vessel, tragic loss of life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rakuyo Maru
Rooseboom,,Imperial Japanese Navy submarine I-59,,,Padang to Colombo in Ceylon,,,,,,,KPM of the Netherlands East Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,Around 500,Indian Ocean west of Sumatra,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rooseboom
Ryusei Maru,Japanese transport ship,USS Rasher,"Nearly 5,000 lives lost",25 February 1944,,,,,,"Sunk during World War II by USS Rasher, significant loss of life, specific details not provided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryusei Maru
Sakito Maru,Japanese merchant cruiser and troop transport,USS Trout,Not specified,1 March 1944,Not specified,Not specified,"Sunk during World War II, heavily armed merchant cruiser, part of Convoy Matsu-01, carrying Imperial Japanese Army's 18th Infantry Regiment, hit by torpedoes from USS Trout, caught fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakito Maru
,,,,,,,,,"Salzburg, Austria",,"Founded as an episcopal see in 696, seat of the archbishop in 798, main sources of income were salt extraction, trade, and gold-mining, center of the Counter-Reformation in the 17th century, UNESCO World Heritage Site, historic center renowned for Baroque architecture, three universities, traces of human settlements dating to Neolithic Age, Roman municipium in 45 AD, city named ""Salzburg"" by Saint Rupert in the 8th century",,"156,872 residents in 2020",,,,,,,,,,,,"Fortress of Hohensalzburg, one of the largest medieval fortresses in Europe, numerous Baroque churches, scenic Alpine surroundings, UNESCO World Heritage Site, historic center with well-preserved Baroque architecture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salzburg
,,,,,,,,,,,,,,,Sebastiano Venier,,,,Doge of Venice,"Son of Moisè Venier and Elena Donà, nephew of Zuan Francesco Venier, paternal grandson of Moisé Venier",,Around 1496,3 March 1578,"Venetian admiral at the Battle of Lepanto, procurator of St Mark's, commander at the Battle of Lepanto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastiano Venier
Seisho Maru,Cargo ship,U.S. Navy submarine Sunfish,,,Not specified,,,,,"Built as SS West Caruth for USSB, also known as SS Exmoor and SS Antonio Tripcovich, sold to Japanese owners in 1928, sunk during World War II by U.S. Navy submarine Sunfish in November 1944",,Mitsui Bussan Kaisho,,,,31 December 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seisho Maru
Savoia,,,,,,,,,,,,,,,,,,,,,,,,,,"Captured by Royal Navy in 1941, multiple name changes, sold and renamed several times, ultimately scrapped in 1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Empire Arun, Dryad, Shiranesan Maru, Dainichi Maru",14 February 1941,Royal Navy (HMS Hawkins),Scrapped in 1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiranesan Maru
Shōkaku,,,,,,,,,,,,,,,,,,,,,,,,,,Torpedoed and sunk by USS Cavalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shōkaku-class,"Pearl Harbor, Coral Sea, Santa Cruz Islands","Laid down on 12 December 1937 at Yokosuka Dockyard, launched on 1 June 1939, commissioned on 8 August 1941","Displacement: 32,000 long tons, Top Speed: 34 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sh艒kaku
,,,,,,,,,Algeria,,"Capital of the Sidi Bel Abbès wilaya, named after a Muslim marabout, commercial center of vineyards, market gardens, orchards, and grain fields, associated with the French Foreign Legion, location of the Algerian National Gendarmerie training center",,Not specified,Not specified,,,Sidi Bel Abbès,,,,,,,,"University, Wadi Sig River, Lake Sidi Mohamed Benali, Quartier Vienot, former city walls, boulevards and squares, Spanish appearance in the late 1890s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidi-Bel-Abb猫s
Suez Maru,Japanese passenger-cargo ship used as a hell ship,USS Bonefish,Approximately 548 lives lost,29 November 1943,"Ambon to Surabaya, torpedoed near Kangean Island east of Madoera Island",Not specified,Not specified,"Torpedoed by USS Bonefish, carrying 547 Allied prisoners of war, many drowned, rest shot by Japanese, around 250 men escaped and jumped into the water, all were killed by Japanese gunnery crew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suez Maru
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Revolutionary War,"Naval battles under Admiral d'Estaing, Siege of Savannah",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Suffren
Cap Finisterre,Transatlantic ocean liner,American submarine,Over 800 lives lost,1942,,,,"Maiden voyage from Hamburg to Buenos Aires on 21 November 1911, transferred to Japan as Taiyō Maru in 1920, transferred to the United States as USS Cap Finisterre in 1919, decommissioned in 1919, transferred to the United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiy艒 Maru聽
Taiyō Maru,Japanese transport ship,US submarine,688 lives lost,1944,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiy艒
Tamahoko Maru,Japanese passenger-cargo ship,USS Tang,560 lives lost,24 June 1944,Takao to Moji in convoy HO-02,"772 POWs, 500 Japanese soldiers",Not specified,,,"Torpedoed by USS Tang in the Koshiki Straits, 40 miles SW of Nagasaki, sank in less than 2 minutes, survivors picked up by Japanese escort and small whaling ship, 212 survivors brought to Nagasaki, remaining POWs spent the war in Fukuoka 14 prison camp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamahoko Maru
Tamatsu Maru,Japanese landing craft depot ship,USS Spadefish,"Between 4,406 and 4,755 lives lost",19 August 1944,"Moji to Manila, Pusan to the Philippines, Pusan to the Philippines, Pusan to the Philippines, Pusan to the Philippines",Not specified,Not specified,"Completed in January 1944, sunk by USS Spadefish, heavy loss of life, specific details of voyages provided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamatsu Maru
Tango Maru,Cargo ship,USS Rasher,"Approximately 3,000 lives lost","February 25, 1944",,,,,,"Sunk by USS Rasher while in service of the Imperial Steamship Co., carrying Javanese laborers and Allied POWs, 500 survivors out of 3,500 passengers and crew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tango Maru
Tatsuta Maru,Ocean liner,,,,Yokohama to San Francisco via Honolulu,"222 first-class, 96 second class, 504 third class",330,"Maiden voyage on 15 March 1930 from Yokohama to San Francisco, part of NYK's premier high-speed trans-Pacific Orient-California service, characterized as ""The Queen of the Sea""",,,,Nippon Yusen Kaisha,,,,12 April 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsuta Maru
MS Aramis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunk in the battle for convoy Hi-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built for France's Messageries Maritimes for the France-Southeast Asia colonial route,"Square-shaped funnels, Minoan decor",Converted to an armed merchant cruiser,Japan,Teia Maru,"Repatriation ship, transport between Singapore and Japan","Neo-Aegean design mixed with Art Deco, maiden voyage from Marseille to Kobe",,,,,,,,,,,,,,,,,,,Teia Maru
,,,,,,,,,"Tigray Region, Ethiopia",,"Historic region in Tigray Region, former provinces of Ethiopia, mountainous area, split over Dogua Tembien and Kola Tembien woredas, bordered by Semien Province and Abergele, original capital was Melfa, reached highpoint in Tsatsen mountains, holds prehistoric sites dating back to Middle Stone Age and Pastoral Neolithic",,Not specified,Not specified,,,"Melfa (former), Abiy Addi (current)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tembien
Toyama Maru,Japanese troop transport ship,USS Sturgeon,"5,400 lives lost",29 June 1944,"Nansei Shoto, off Taira Jima, Japan","Over 6,000 men of the Japanese 44th Independent Mixed Brigade",Not specified,"Torpedoed and sunk by USS Sturgeon during World War II, one of the worst maritime disasters in history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyama Maru
,,,,,,,,,Central Romania,,"Known for Carpathian landscape, rich history, contains Cluj-Napoca, Brașov, Sibiu, Târgu Mureș, Alba Iulia, Sighișoara, UNESCO World Heritage Sites such as Villages with fortified churches, Historic Centre of Sighișoara, Dacian Fortresses of the Orăștie Mountains, Roșia Montană Mining Cultural Landscape",,Not specified,Not specified,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transylvania
,,,,,,,,,Trentino-Alto Adige/Südtirol in Italy,,"Formerly part of Austria and Austria-Hungary, annexed by Italy in 1919, location of the Council of Trent in the 16th century, third largest city in the Alps, second largest in the Tyrol, educational, scientific, financial, and political center, picturesque Medieval and Renaissance historic center, awarded Alpine Town of the Year 2004, ranks highly for quality of life and business opportunities, one of Italy's wealthiest cities",,"120,709 residents",Not specified,,,Trento,,,,,,,,"Trento Cathedral, Castello del Buonconsiglio, University of Trento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trento
Tsushima Maru,Japanese passenger/cargo ship,USS Bowfin,"Approximately 1,729 lives lost","August 22, 1944","Okinawa to Kagoshima, Japan","Estimated 1,788 passengers",Not specified,"Sunk by USS Bowfin during World War II while carrying evacuees from Okinawa to Kagoshima, Japan, only 59 survivors, part of Convoy Namo 103, wreck located and identified in December 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsushima Maru
