Satellite Name,Launch Vehicle,Launch Site,Purpose,Manufacturer,Launch Date & Time,Orbit Details,Operator,Alternative Names,Deployment,Mass,Design Life,Operating Organization,Mission Purpose,Launch Date,Launch Dates,Launch Vehicles,Deployment Status,Previous Designation,Number of Satellites Launched,Operational Satellites,Failed Launch,Mission Name,Funding Source,Program Manager,Additional Payloads,Space Shuttle,Landing Date & Time,Payload,Cargo,Payload Deployment,Deployment Success,Landing Site,Flight Duration,Boat Name,Type,Builder,Designers,Construction Material,Performance,Modifications,Wingsail Details,Launch Location,Testing Locations,Significant Announcement,Satellite Names,Key Technology,Spacecraft,Special Features,Program Name,Nickname,Announcement Date,President,Organization,Establishment Year,Technologies Studied,Research Focus,Key Scientist,Conclusion,Mission Details,Current Orbit Details,Unique Feature,Mission Designation,Mission Objectives,Production Facility,Satellite Bus,Launch Vehicle Configuration,Construction Completion,Storage of Satellite,Launch Order,Atlas V Tail Number,Atlas V Configuration,trigger
USA-234,Delta IV Medium+,"Vandenberg Air Force Base, SLC-6",Reconnaissance satellite,,"3 April 2012, 23:12:57 UTC","1,096 km x 1,079 km orbit, 123° inclination",,"NRO Launch 25, NROL-25",,,,National Reconnaissance Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-234
USA-235,Atlas V 531,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Lockheed Martin Space,"4 May 2012, 18:24 UTC","Geostationary transfer orbit, 225 km perigee, 50,031 km apogee, 20.6° inclination",United States Air Force,AEHF-2,Successful,"6,168 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-235
USA-239,Delta IV,"Cape Canaveral Air Force Station, SLC-37B",Navigation satellite,Boeing,"4 October 2012, 12:10 UTC","Medium Earth Orbit, 20,231 km perigee, 20,132 km apogee, 54.87° inclination",United States Space Force,"GPS IIF-3, GPS SVN-65, Navstar-67",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-239
USA-240,Atlas V,Cape Canaveral,Experimental spaceplane,Boeing,11 December 2012,Low Earth Orbit,United States Air Force,Orbital Test Vehicle 3,Successful,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-240
USA-241 (SBIRS GEO-2),Atlas V,Cape Canaveral,Missile early warning and detection,Lockheed Martin Space,"19 March 2013, TBD UTC",-,United States Space Force,-,In service,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-241
USA-242,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"15 May 2013, 21:38 UTC","Semi-synchronous medium Earth orbit, 20,459 km altitude, 55° inclination",United States Space Force,"GPS IIF-4, GPS IIF SV-5, Navstar-68, Vega",Operational,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-242
USA-243,United Launch Alliance,-,Military communications satellite,Boeing Satellite Systems,-,-,United States Air Force,WGS-5,-,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-243
USA-244,Delta IV Medium+,"Cape Canaveral Air Force Station, SLC-37B",Military communications satellite,Boeing Satellite Systems,"24 August 2013, 00:29 UTC","Geostationary orbit, 135° West",United States Air Force,Wideband Global SATCOM 6,In service,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-244
USA-245,Delta IV Heavy,"Vandenberg Air Force Base, SLC-6",,,,,,,,,,National Reconnaissance Office,Reconnaissance satellite,28 August 2013,,,,NRO Launch 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-245
USA-246,Atlas V 531,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Lockheed Martin Space,"18 September 2013, 08:10:00 UTC","Geostationary transfer orbit, 225 km perigee, 50,051 km apogee, 20.52° inclination",United States Air Force,AEHF-3,Successful,"6,168 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-246
USA-247,Atlas V 501,"Vandenberg Air Force Base, SLC-3E",Reconnaissance satellite,,"6 December 2013, 07:14:30 UTC",,,"NRO Launch 39, NROL-39",,,,National Reconnaissance Office,"Radar imaging, part of Future Imagery Architecture program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Controversial octopus logo ""Nothing Is Beyond Our Reach""",,,,,,,,,,,USA-247
USA-248,Delta IV,"Cape Canaveral Air Force Station, SLC-37B",Navigation satellite,Boeing,"21 February 2014, 01:59 UTC","Medium Earth Orbit, 20,175 km perigee, 20,191 km apogee, 54.96° inclination",United States Space Force,"GPS IIF-5, GPS SVN-64, NAVSTAR 69",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-248
USA-251,Delta IV,"Cape Canaveral Air Force Station, SLC-37B",Navigation satellite,Boeing,"17 May 2014, 00:03 UTC","Medium Earth Orbit, 20,443 km perigee, 20,474 km apogee, 55.04° inclination",United States Space Force,"GPS IIF-6, GPS SVN-67, NAVSTAR 70",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-251
USA-256,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"2 August 2014, 03:23 UTC","Medium Earth Orbit, 20,341 km perigee, 20,469 km apogee, 727.05 minutes period, 55.02° inclination",United States Space Force,"GPS IIF-7, GPS SVN-68, NAVSTAR 71",In service,"1,630 kg",12 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-256
USA-258,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"29 October 2014, 17:21 UTC","Medium Earth Orbit, 20,455 km perigee, 20,480 km apogee, 729.56 minutes period, 55.00° inclination",United States Space Force,"GPS IIF-8, GPS SVN-69, NAVSTAR 72",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-258
USA-260,Delta IV,"Cape Canaveral Air Force Station, SLC-37B","Satellite navigation, part of the Global Positioning System",Boeing,"25 March 2015, 18:36 UTC","Medium Earth Orbit, 20,445 km perigee, 20,468 km apogee, 729.14 minutes period, 55.00° inclination",United States Space Force,"GPS IIF-9, GPS SVN-71, NAVSTAR 73",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-260
USA-261,Atlas V,Cape Canaveral,Classified,Boeing,"20 May 2015, 11:05 Eastern Time",,Air Force Space Command,"Orbital Test Vehicle 4, AFSPC-5",,,,,,,,,,,,,,,,,"ELaNa CubeSat rideshare mission, LightSail-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-37B,"Experimental hall-effect thruster testing, materials science payload (METIS)",,,,,,,,,USA-261
USA-262,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"15 July 2015, 15:36 UTC","Semi-synchronous orbit, 20,445 km perigee, 20,450 km apogee, 55.00° inclination",United States Space Force,"GPS IIF-10, GPS SVN-72, NAVSTAR 74",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-262
USA-263,-,-,Military communications satellite,Boeing Satellite Systems,2015,Geostationary orbit at 135° West,United States Air Force,Wideband Global SATCOM 7,In service,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-263
USA-265,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"31 October 2015, 16:13 UTC","Semi-synchronous orbit, 20,444 km perigee, 20,491 km apogee, 729.58 minutes period, 54.99° inclination",United States Space Force,"GPS IIF-11, GPS SVN-73, NAVSTAR 75",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-265
USA-266,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Navigation satellite,Boeing,"5 February 2016, 13:38 UTC","Semi-synchronous orbit, 20,181 km perigee, 20,196 km apogee, 55.01° inclination",United States Space Force,"GPS IIF-12, GPS SVN-70, NAVSTAR 76",In service,"1,630 kg",12 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-266
USA-268,Delta IV Heavy,Cape Canaveral Space Launch Complex 37B,Signals intelligence satellite,Classified,"11 June 2016, 17:51 UTC",-,National Reconnaissance Office,NROL-37,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-268
USA-272,-,-,Military communications satellite,Boeing Satellite Systems,2016,Geostationary orbit at 135° West,United States Air Force,Wideband Global SATCOM 8,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-272
USA-273,-,-,"Missile early warning, missile defense, battlespace awareness, technical intelligence",Lockheed Martin Space,-,-,United States Space Force,SBIRS GEO-3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-273
USA-275,-,-,Military communications satellite,Boeing Satellite Systems,2017,Geostationary orbit,United States Air Force,Wideband Global SATCOM 9,-,-,14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-275
USA-277,Falcon 9,Kennedy Space Center Launch Complex 39A,Classified,Boeing,"7 September 2017, -","Low Earth Orbit, 54.5° inclination",Air Force Space Command,Orbital Test Vehicle 5,Successful,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-277
USA-280,Falcon 9,Kennedy Space Center Launch Complex 39A,Classified,Northrop Grumman,8 January 2018,,National Reconnaissance Office,,"Lost during deployment, re-entered atmosphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-280
USA-282 (SBIRS GEO-4),,,"Missile early warning, missile defense, battlespace awareness, technical intelligence",Lockheed Martin Space,,,United States Air Force,SBIRS GEO-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunnyvale, California",A2100M,Atlas V 411 with strap-on booster,Before launch,Yes,SBIRS GEO-3 launched before SBIRS GEO-4,AV-076,411,USA-282
USA-288,Atlas V 551,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Lockheed Martin Space,"17 October 2018, 04:15 UTC","Geostationary transfer orbit, 202 km perigee, 22,578 km apogee, 25.9° inclination",United States Air Force,AEHF-4,Successful,"6,168 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-288
USA-289,Falcon 9,"Cape Canaveral Air Force Station, SLC-40",Navigation satellite,Lockheed Martin,"23 December 2018, 13:51 UTC","Semi-synchronous orbit, 20,158 km perigee, 20,222 km apogee, 55° inclination",United States Space Force,"GPS-III SV01, Vespucci",-,"4,400 kg",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-289
USA-291,-,-,Military communications satellite,Boeing Satellite Systems,2019,Geostationary orbit,United States Air Force,Wideband Global SATCOM 10,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-291
USA-292,Atlas V 551,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Lockheed Martin Space,"8 August 2019, 10:13 UTC","Geostationary transfer orbit, 12,543 km perigee, 30,672 km apogee, 9.95° inclination",United States Air Force,AEHF-5,Successful,"6,168 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-292
USA-293,Delta IV Medium,Cape Canaveral Space Launch Complex 37,Navigation satellite,Lockheed Martin,"22 August 2019, 13:06 UTC","Semi-synchronous orbit, 55.4° inclination, 20,157 km perigee, 20,221 km apogee",United States Space Force,"GPS-III SV02, Magellan",-,"3,680 kg",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-293
USA-35,"Delta II, flight number D184, 6925-9.5 configuration","Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell International,"14 February 1989, 18:30 UTC","Medium Earth Orbit, 19,858 km perigee, 20,270 km apogee, 713.2 minutes period, 55.1° inclination",U.S. Department of Defense,"Navstar 2-01, GPS II-1, GPS SVN-14",Decommissioned on 14 April 2000 due to reaction wheel failure,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-35
USA-38,"Delta II, flight number D185, 6925-9.5 configuration","Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell International,"10 June 1989, 22:19 UTC","Medium Earth Orbit, perigee of 19,967 km, apogee of 20,395 km, 717.92 minutes period, 54.5° inclination",U.S. Department of Defense,"GPS II-2, GPS SVN-13",Deactivated on 12 February 2004,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-38
USA-42,"Delta II, flight number D186, 6925 configuration","Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell International,"18 August 1989, 05:57:59 UTC","Medium Earth Orbit, 20,113 km perigee, 20,246 km apogee, 717.86 minutes period, 54.9° inclination",U.S. Department of Defense,"GPS II-3, GPS SVN-16",Ceased operations on 13 October 2000,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-42
USA-47,"Delta II, flight number D188, 6925 configuration","Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell International,"21 October 1989, 09:31:01 UTC","Medium Earth Orbit, 20,081 km perigee, 20,280 km apogee, 717.9 minutes period, 54.7° inclination",U.S. Department of Defense,"GPS II-4, GPS SVN-19",Ceased operations on 16 March 2001,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-47
USA-49,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell International,"11 December 1989, 18:10:01 UTC","Medium Earth Orbit, 20,009 km perigee, 20,357 km apogee, 54.9° inclination",U.S. Department of Defense,"GPS II-5, GPS SVN-17",Ceased operations on 23 February 2005,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-49
USA-5,Atlas E with SGS-2 upper stage,"Vandenberg Air Force Base, SLC-3W",Navigation satellite,Rockwell Space Systems,"8 September 1984, 21:41:00 UTC","Medium Earth Orbit, 19,962 km perigee, 20,403 km apogee, 63.20° inclination",U.S. Department of Defense,"Navstar 10, GPS I-10, GPS SVN-10",-,-,5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-5
USA-50,Delta II D191,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell International,"24 January 1990, 22:55:01 UTC","Medium Earth Orbit, 20,087 km perigee, 20,275 km apogee, 54.6° inclination",U.S. Department of Defense,"GPS II-6, GPS SVN-18",Retired,840 kg,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-50
Misty,"Space Shuttle Atlantis, NROL-15",N/A,,,,,,,,,,United States National Reconnaissance Office,"Stealthy reconnaissance satellites, likely photo reconnaissance","1 March 1990, 22 May 1999, June 2012",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-53
USA-54,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"26 March 1990, 02:45:01 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS II-7, GPS SVN-20",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-54
USA-63,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"2 August 1990, 05:39:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS II-8, GPS SVN-21",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-63
USA-64,"Delta II, flight number D199, 6925 configuration","Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"1 October 1990, 21:56:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS II-9, GPS SVN-15",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-64
USA-66,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"26 November 1990, 21:39:01 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-1, GPS II-10, GPS SVN-23",Decommissioned,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-66
USA-71,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"4 July 1991, 02:32:00 UTC","Medium Earth Orbit, 19,451 km perigee, 20,250 km apogee, 704.60 minutes period, 55.30° inclination",U.S. Department of Defense,"GPS IIA-2, GPS II-11, GPS SVN-24",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-71
USA-79,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"23 February 1992, 22:29:00 UTC","Medium Earth Orbit, 19,913 km perigee, 20,318 km apogee, 714.70 minutes period, 54.70° inclination",U.S. Department of Defense,"GPS IIA-3, GPS II-12, GPS SVN-25",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-79
STS-51-C,Space Shuttle Discovery,"Kennedy Space Center, Florida",,NASA,"24 January 1985, 19:50:00 UTC",,United States Department of Defense,,Successful,,,,"Classified, likely deployment of a Magnum SIGINT satellite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-8
USA-80,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"10 April 1992, 03:20:00 UTC","Medium Earth Orbit, 19,877 km perigee, 20,390 km apogee, 716.00 minutes period, 55.10° inclination",U.S. Department of Defense,"GPS IIA-4, GPS II-13, GPS SVN-28",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-80
USA-83,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"7 July 1992, 09:20:01 UTC","Medium Earth Orbit, 19,959 km perigee, 20,464 km apogee, 717.92 minutes period, 55.0° inclination",U.S. Department of Defense,"GPS IIA-5, GPS II-14, GPS SVN-26",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-83
USA-84,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"9 September 1992, 08:57:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-6, GPS II-15, GPS SVN-27",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-84
USA-85,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"22 November 1992, 23:54:00 UTC","Medium Earth Orbit, 20,074 km perigee, 20,251 km apogee, 717.96 minutes period, 54.8° inclination",U.S. Department of Defense,"GPS IIA-7, GPS II-16, GPS SVN-32",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-85
USA-87,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"18 December 1992, 22:16:00 UTC","Medium Earth Orbit, 20,137 km perigee, 20,541 km apogee, 720.00 minutes period, 54.74° inclination",U.S. Department of Defense,"GPS IIA-8, GPS II-17, GPS SVN-29",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-87
USA-88,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"3 February 1993, 02:55:00 UTC","Medium Earth Orbit, 20,007 km perigee, 20,341 km apogee, 717.9 minutes period, 54.8° inclination",U.S. Department of Defense,"GPS IIA-9, GPS II-18, GPS SVN-22",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-88
USA-90,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"30 March 1993, 03:09:00 UTC","Medium Earth Orbit, 20,076 km perigee, 20,287 km apogee, 717.96 minutes period, 54.9° inclination",U.S. Department of Defense,"GPS IIA-10, GPS II-19, GPS SVN-31",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-90
USA-91,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"13 May 1993, 00:07:00 UTC","Medium Earth Orbit, 20,033 km perigee, 20,334 km apogee, 717.88 minutes period, 54.9° inclination",U.S. Department of Defense,"GPS IIA-11, GPS II-20, GPS SVN-37",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-91
USA-92,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"26 June 1993, 13:27:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-12, GPS II-21, GPS SVN-39, NAVSTAR 39",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-92
USA-94,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"30 August 1993, 12:38:00 UTC","Medium Earth Orbit, 20,074 km perigee, 20,221 km apogee, 54.9° inclination",U.S. Department of Defense,"GPS IIA-13, GPS II-22, GPS SVN-35",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-94
USA-96,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"26 October 1993, 17:04:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-14, GPS II-23, GPS SVN-34",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-96
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-99
