Event,Date,Location,Cause of Death,Victim,Victim(s),trigger
Aviation Accident,"March 28, 1950","Ramsayville, Ontario",Plane crash,Laurence Adolph Steinhardt,,Laurence Steinhardt
Aviation Accident,"April 10, 2010","Smolensk, Russia",Plane crash,Lech Aleksander Kaczyński,,Lech Kaczy艅ski
Aviation Accident,"May 8, 2015","Gilgit, Pakistan",Helicopter crash,Leif Holger Larsen,,Leif Holger Larsen
Aviation Accident,"June 14, 1972","Near New Delhi, India",Plane crash,Leila Roque Diniz,,Leila Diniz
Aviation Accident,1943,Atlantic,Shot down,Leslie Howard,,Leslie Howard
Aviation Accident,N/A,N/A,N/A,Lester Leo Roloff,,Lester Roloff
Aviation Accident,"July 17, 2014",Ukraine,Shot down,Liam Patrick Davison,,Liam Davison
Aviation Accident,"September 13, 1971","Öndörkhaan, Mongolia",Plane crash,Lin Biao,,Lin Biao
Aviation Accident,N/A,N/A,Plane crash,Lincoln Beachey,,Lincoln J. Beachey
Aviation Accident,N/A,N/A,Plane crash,Lino Zanussi,,Lino Zanussi
Aviation Accident,N/A,N/A,N/A,N/A,,Lionel Poil芒ne
Aviation Accident,"September 6, 1927",Atlantic Ocean,Plane crash,Lloyd Wilson Bertaud,,Lloyd W. Bertaud
Aviation Accident,"July 4, 1922","Fuhlsbüttel, Germany",Plane crash,Lothar Siegfried Freiherr von Richthofen,,Lothar von Richthofen
Aviation Accident,"July 25, 2018",Paraguay,Plane crash,Luis Roberto Gneiting Dichtiar,,Luis Gneiting
Aviation Accident,N/A,N/A,Plane crash,Ferdinand Marie Léon Delagrange,,L茅on Delagrange
Aviation Accident,"June 18, 1911","Paris, France",Plane crash,Théodore Clovis Edmond Lemartin,,L茅on Lemartin
Aviation Accident,Barbezieux-Saint-Hilaire,"Bordeaux, France",Plane crash,Léon Letort,,L茅on Letort
Aviation Accident,1951,"Kern County, California",Plane crash,Ronald 'Mack' Hellings,,Mack Hellings
Aviation Accident,N/A,N/A,Plane crash,Madhavrao Jivajirao Scindia,,Madhavrao Scindia
Aviation Accident,N/A,N/A,N/A,"Manuel John ""Pete"" Fernandez, Jr.",,Manuel J. _Pete_ Fernandez
Aviation Accident,"March 27, 1981","Madrid, Spain",Plane crash,,"Manuel Scorza, Jorge Ibargüengoitia, Ángel Rama, Marta Traba, others",Manuel Scorza
Aviation Accident,"October 27, 1949","São Miguel Island, Azores",Plane crash,Marcellin Cerdan,,Marcel Cerdan
Aviation Accident,N/A,N/A,N/A,Marcel Dadi,,Marcel Dadi
Aviation Accident,"March 24, 2015",N/A,Plane crash,Maria Friderike Radner,,Maria Radner
Aviation Accident,"March 1, 1991",Saudi Arabia,Helicopter crash,Marie Therese Rossi-Cayton,,Marie Rossi
Aviation Accident,"September 11, 2001",New York City,Terrorist attack (plane crash),Mark Lawrence Bavis,,Mark Bavis
Aviation Accident,"September 11, 2001","Shanksville, Pennsylvania",Plane crash,Mark Kendall Bingham,,Mark Bingham
Aviation Accident,N/A,N/A,N/A,Marta Traba,,Marta Traba
Aviation Accident,N/A,N/A,N/A,"Mary Du Caurroy Russell, Duchess of Bedford",,"Mary  Russell, Duchess of Bedford"
Aviation Accident,"November 5, 2021","Piedade de Caratinga, Brazil",Plane crash,Marília Dias Mendonça,,Mar铆lia Mendon莽a
Aviation Accident,1988,"Lockerbie, Scotland",Bombing,Matthew Kevin Gannon,,Matthew Gannon
Aviation Accident,N/A,N/A,N/A,Matthew Charles Harding,,Matthew Harding
Aviation Accident,1921,N/A,Plane crash,Maurice Connolly,,Maurice Connolly
Aviation Accident,"August 17, 1978","Miserey, France",Balloon crash,"Maxie Anderson, Ben Abruzzo, Larry Newman",,Maxie Anderson
Aviation Accident,N/A,N/A,Plane crash,Mel Apt,,Mel Apt
Aviation Accident,2000,Missouri,Plane crash,Melvin Eugene Carnahan,,Mel Carnahan
Aviation Accident,"November 24, 2001","Bassersdorf, Switzerland",Plane crash,Melanie Thornton,,Melanie Thornton
Aviation Accident,1959,"Serengeti, Tanzania",Plane crash,"Michael Grzimek, Bernhard Grzimek",,Michael Grzimek
Aviation Accident,"November 15, 1967","California, USA",Plane crash,Michael James Adams,,Michael J. Adams
Aviation Accident,1996,"Off Long Island, NY",TWA Flight 800 crash,Michel Breistroff,,Michel Breistroff
Aviation Accident,N/A,N/A,N/A,"George Thomas ""Mickey"" Leland III",,Mickey Leland
Aviation Accident,N/A,N/A,N/A,Michael Stefanik,,Mike Stefanik
Aviation Accident,N/A,N/A,N/A,Michael Todd,,Mike Todd
Aviation Accident,"May 4, 1919",N/A,Plane crash,Milan Rastislav Štefánik,,Milan Rastislav 艩tef谩nik
Aviation Accident,"October 20, 1944","Lockheed Air Terminal, Burbank, California",Plane crash,Milo Garrett Burcham,,Milo Burcham
Aviation Accident,N/A,N/A,Plane crash,Mineichi Koga,,Mineichi Koga
Aviation Accident,March 1976,Japan,Suicide attack,Mitsuyasu Maeno,,Mitsuyasu Maeno
Aviation Accident,N/A,N/A,N/A,"Mordechai ""Modi"" Alon",,Modi Alon
Aviation Accident,1928,Pennsylvania,Plane crash,"Morris Maxey Titterington, Bernice Gamble Andrews",,Morris Maxey Titterington
Aviation Accident,N/A,N/A,N/A,Mohammed bin Awad bin Laden,,Muhammad bin Laden
Aviation Accident,1988,N/A,Plane crash,General Muhammad Zia-ul-Haq,,Muhammad Zia-ul-Haq
Aviation Accident,"October 29, 2006","Sokoto, Nigeria",Plane crash,"Muhammadu Maccido, Badamasi Maccido",,Muhammadu Maccido
Aviation Accident,March 1993,"Queenstown, Maryland",Plane crash,Scott Muntean,,Nancy Lynn
Aviation Accident,"September 5, 1986","Karachi, Pakistan",Shot during hijacking,Neerja Bhanot,,Neerja Bhanot
Aviation Accident,N/A,N/A,N/A,Nevill Vintcent,,Nevill Vintcent
Aviation Accident,1972,Alaska,Plane crash,Nicholas Joseph Begich Sr.,,Nick Begich
Aviation Accident,"August 16, 1987","Romulus, Michigan",Plane crash,"Nicolaas Peter Vanos, Carolyn Cohen",,Nick Vanos
Aviation Accident,World War II,Training flight,Training flight accident,Nile Clarke Kinnick Jr.,,Nile Kinnick
Aviation Accident,"March 16, 1969","Maracaibo, Zulia State, Venezuela",Plane crash into power lines,Néstor Isaías Chávez Silva,,N茅stor Ch谩vez
Aviation Accident,"March 24, 2015","Prads-Haute-Bléone, France",Deliberate crash by co-pilot,Oleg Bryjak,,Oleg Bryjak
Aviation Accident,"November 17, 2011","Perryville, Arkansas",Plane crash,"Olin Richard Branstetter, Paula Branstetter, Kurt Budke, Miranda Serna",,Olin Branstetter
Aviation Accident,"March 7, 2021","Touques, France",Helicopter crash,Olivier Dassault,,Olivier Dassault
Aviation Accident,N/A,N/A,N/A,Omar Efraín Torrijos Herrera,,Omar Torrijos
Aviation Accident,Late in the war,N/A,Plane crash,"Major General Orde Charles Wingate, DSO & Two Bars",,Orde Wingate
Aviation Accident,N/A,N/A,Plane crash,"Ormer Leslie ""Lock"" Locklear, Milton ""Skeets"" Elliott",,Ormer Locklear
Aviation Accident,N/A,N/A,N/A,Oscar M. Westover,,Oscar Westover
Aviation Accident,"December 10, 1967","Lake Monona, Wisconsin",Plane crash,Otis Ray Redding Jr.,,Otis Redding
Aviation Accident,N/A,N/A,N/A,Otto Kalvitsa,,Otto Kalvitsa
Aviation Accident,"August 9, 1896","Berlin, Germany",Neck injury from glider crash,Otto Lilienthal,,Otto Lilienthal
Aviation Accident,N/A,N/A,N/A,Pablo Santos,,Pablo Santos
Aviation Accident,"July 17, 1996","Off the coast of East Moriches, New York",Explosion of TWA Flight 800,Pamela Sue Rogers Lychner,,Pam Lychner
Aviation Accident,"December 20, 1995",N/A,Plane crash,"Paris Christos Kanellakis, Maria Teresa Otoya, Alexandra, Stephanos",,Paris Kanellakis
Aviation Accident,"March 5, 1963","Camden, Tennessee",Plane crash,Patsy Cline,,Patsy Cline
Aviation Accident,Pan Am Flight 103,"Lockerbie, Scotland",Plane crash,"Paul Avron Jeffreys, Rachel Jeffreys",,Paul Jeffreys
Aviation Accident,N/A,N/A,N/A,Paul Mantz,,Paul Mantz
Aviation Accident,"October 25, 2002","Eveleth, Minnesota",Plane crash,"Paul Wellstone, Sheila Wellstone, Marcia Wellstone",,Paul Wellstone
Aviation Accident,N/A,N/A,Plane crash,Payne Stewart,,Payne Stewart
Aviation Accident,"April 15, 1957","Mérida, Yucatán",Plane crash (engine failure),Pedro Infante Cruz,,Pedro Infante
Aviation Accident,"September 30, 1899","Stanford Hall, UK",Plane crash,Percy Sinclair Pilcher,,Percy Pilcher
Aviation Accident,N/A,N/A,N/A,Peter David Tomarken,,Peter Tomarken
Aviation Accident,N/A,N/A,N/A,Philip Donald Estridge,,Philip Don Estridge
Aviation Accident,1967,South Vietnam,Helicopter crash,Philippa Duke Schuyler,,Philippa Schuyler
Aviation Accident,N/A,N/A,N/A,Philippe Cousteau,,Philippe Cousteau
Aviation Accident,N/A,N/A,N/A,Ployer Peter Hill,,Ployer Peter Hill
Aviation Accident,World War II,N/A,Plane crash,Prince Christoph Ernst August of Hesse,,Prince Christoph of Hesse
Aviation Accident,"August 25, 1942",Scotland,Military air-crash,"Prince George, Duke of Kent",,"Prince George, Duke of Kent"
Aviation Accident,"January 26, 1947","Kastrup Airport, Copenhagen, Denmark",Plane crash,"Prince Gustaf Adolf, Duke of Västerbotten",,"Prince Gustaf Adolf, Duke of V盲sterbotten"
Aviation Accident,1972,England,Plane crash,Prince William of Gloucester,,Prince William of Gloucester
Aviation Accident,N/A,Ostend,Plane crash,"Princess Cecilie of Greece and Denmark, Prince Georg Donatus, Children",,Princess Cecilie of Greece and Denmark
Aviation Accident,N/A,N/A,Plane crash,Rafael Osuna Herrera,,Rafael Osuna
Aviation Accident,"November 17, 1910","Denver, Colorado",Plane crash,Ralph Greenley Johnstone,,Ralph Johnstone
Aviation Accident,N/A,N/A,N/A,Ralph Rainger,,Ralph Rainger
Aviation Accident,"March 17, 1957",Philippines,Plane crash,Ramon del Fierro Magsaysay Sr.,,Ramon Magsaysay
Aviation Accident,"October 24, 2004","Bull Mountain, Virginia",Plane crash,,"Randall Alexander Dorton, seven other passengers, two pilots",Randy Dorton
Aviation Accident,1982,Florida,Plane crash,Randall William Rhoads,,Randy Rhoads
Assassination,1987,Lebanon,Assassination,Rashid Abdul Hamid Karami,,Rashid Karami
Aviation Accident,N/A,N/A,Plane crash,Raymond Hiley Harries,,Raymond Harries
Aviation Accident,"October 22, 1909","Chalons, France",Plane crash,Raymonde de Laroche,,Raymonde de Laroche
Aviation Accident,"October 30, 1985",N/A,N/A,Prof. Dr. Reinhard Alfred Furrer,,Reinhard Furrer
Aviation Accident,N/A,N/A,N/A,Renny Ottolina,,Renny Ottolina
Aviation Accident,N/A,N/A,Plane crash,René Barrientos Ortuño,,Ren茅 Barrientos
Aviation Accident,"February 11, 2019","São Paulo, Brazil",Helicopter crash,Ricardo Eugênio Boechat,,Ricardo Boechat
Aviation Accident,N/A,California,Testing jet fighter crash,Richard Bong,,Richard  Bong
Aviation Accident,"June 9, 1916","Santa Rosa Island, Florida",Plane crash,Richard Caswell Saufley,,Richard C. Saufley
Aviation Accident,N/A,N/A,N/A,Brigadier General Richard Elmer Ellsworth,,Richard E. Ellsworth
Aviation Accident,N/A,N/A,N/A,Richard Eben Gray,,Richard E. Gray
Aviation Accident,N/A,N/A,Plane crash,Richard Lansing Conolly,,Richard L. Conolly
Aviation Accident,1940,N/A,Air crash,Richard Ormonde Shuttleworth,,Richard Ormonde Shuttleworth
Aviation Accident,1970,N/A,Plane crash,Rickey Dale Tolley,,Rick Tolley
Aviation Accident,"October 24, 2004",N/A,Plane crash,"Joseph Riddick ""Ricky"" Hendrick IV and 7 others",,Ricky Hendrick
Aviation Accident,N/A,N/A,N/A,Ricky Nelson,,Ricky Nelson
Aviation Accident,"February 3, 1959",Iowa,Plane crash,"Ritchie Valens, Buddy Holly, J. P. ""The Big Bopper"" Richardson, Roger Peterson",,Ritchie Valens
Aviation Accident,June 1928,Arctic,Disappearance,Roald Amundsen,,Roald Amundsen
Aviation Accident,"July 24, 1837","Vauxhall Gardens, England",Parachute malfunction,Robert Cocking,,Robert Cocking
Aviation Accident,N/A,"Fairfield, California",Plane crash,Robert Falligant Travis,,Robert F. Travis
Aviation Accident,"January 21, 1943","Near Ukiah, Mendocino County, California",Plane crash,Robert Henry English,,Robert Henry English
Aviation Accident,1948,N/A,Plane crash,Robert Kronfeld,,Robert Kronfeld
Aviation Accident,N/A,Nevada,Jet fighter-bomber crash,Robert M. Bond,,Robert M.  Bond
Aviation Accident,"March 22, 1996","Duluth, Minnesota",Plane crash,"Colonel Robert Franklyn ""Bob"" Overmyer",,Robert Overmyer
Aviation Accident,N/A,N/A,N/A,Robert Smithson,,Robert Smithson
Aviation Accident,"December 31, 1972",Nicaragua,Plane crash,Roberto Clemente,,Roberto Clemente
Aviation Accident,N/A,N/A,N/A,Rocco Francis Marchegiano,,Rocky Marciano
Aviation Accident,"May 11, 1996","Miami, Florida",Plane crash,Rodney Dwayne Culver,,Rodney Culver
Aviation Accident,1982,N/A,Hang-gliding accident,Rolls Gracie,,Rolls Gracie
Aviation Accident,1996,Croatia,Plane crash,Ronald Harmon Brown,,Ron Brown
Aviation Accident,N/A,N/A,N/A,"Harry Leroy ""Roy"" Halladay III",,Roy Halladay
Aviation Accident,"August 20, 2014","Huehuetenango, Guatemala",Helicopter crash,,"Rudy Israel Ortiz Ruiz, Brigade General Braulio René Mayen García",Rudy Ortiz
Aviation Accident,"May 29, 1988","Schertz, Texas",Plane crash,Salem bin Laden,,Salem bin Laden
Aviation Accident,"August 25, 1985","Auburn/Lewiston Municipal Airport, Maine",Plane crash,Samantha Reed Smith,,Samantha Smith
Aviation Accident,1986,Near Mozambican-South African border,Plane crash,Samora Moisés Machel,,Samora Machel
Aviation Accident,"August 7, 1913","Farnborough, England",Plane crash,Samuel Franklin Cody,,Samuel Cody
Aviation Accident,"June 23, 1980","New Delhi, India",Plane crash,Sanjay Gandhi,,Sanjay Gandhi
Aviation Accident,1999,Duluth International Airport,Plane crash,Scott Douglas Anderson,,Scott D. Anderson
Aviation Accident,"August 6, 1997",Antonio B. Won Pat International Airport,Plane crash,"Shin Ki-ha, his wife, political party members",,Shin Ki-ha
Aviation Accident,"July 17, 2014",Ukraine,Shot down,"Shubashini Jeyaratnam, husband, daughter",,Shuba Jay
Aviation Accident,N/A,N/A,Plane crash,Silvio Sergio Bonaccorsi Barbato,,Silvio Barbato
Aviation Accident,1919,France,Flying accident,Captain Sir John William Alcock,,Sir John Alcock
Aviation Accident,N/A,"Macon, Georgia",N/A,Sonny Carter,,Sonny Carter
Aviation Accident,1819,"Paris, France",Balloon crash,Sophie Blanchard,,Sophie Blanchard
Aviation Accident,"April 17, 2004",N/A,Plane crash,Soundarya,,Soundarya
Aviation Accident,"June 2, 1983",Greater Cincinnati Airport,Fire aboard Air Canada Flight 797,Stanley Allison Rogers,,Stan Rogers
Aviation Accident,"July 17, 1933","Kuhdamm, Germany",Plane crash due to weather conditions and engine defects,"Stasys Girėnas, Steponas Darius",,Stasys Gir臈nas
Aviation Accident,1933,"New York City to Kaunas, Lithuania",Plane crash,Steponas Darius,,Steponas Darius
Aviation Accident,"February 3, 2012","Boise, Idaho",Plane crash,Steven R. Appleton,,Steve Appleton
Aviation Accident,July 2003,N/A,Helicopter crash,Robert Steven Hislop,,Steve Hislop
Aviation Accident,N/A,N/A,Plane crash,"Sylvester Joseph ""Steve"" Wittman",,Steve Wittman
Aviation Accident,N/A,N/A,N/A,N/A,,Steven Hyde
Aviation Accident,N/A,N/A,N/A,Stephen Ray Vaughan,,Stevie Ray Vaughan
Aviation Accident,"August 18, 1945",N/A,Plane crash,Subhas Chandra Bose,,Subhas Chandra Bose
Aviation Accident,N/A,N/A,N/A,Theodore Christopher,,Ted Christopher
Aviation Accident,N/A,N/A,N/A,Theodore Fulton Stevens Sr.,,Ted Stevens
Aviation Accident,"January 19, 2017","Paraty, Rio de Janeiro",Air disaster,,"Teori Albino Zavascki, Carlos Alberto Fernandes Filgueiras, others",Teori Zavascki
Aviation Accident,N/A,N/A,Plane crash,Thaddeus Campbell Sweet,,Thaddeus C. Sweet
Aviation Accident,1928,Chesapeake Bay,Plane crash,Theodore Gordon Ellyson,,Theodore Gordon Ellyson
Aviation Accident,"January 14, 1986",Mali,Helicopter crash during sandstorm,"Thierry Sabine, Daniel Balavoine, François-Xavier Bagnoud, Nathalie Odent, Jean-Paul Lefur",,Thierry Sabine
Aviation Accident,"September 17, 1908","Fort Myer, Virginia",Plane crash,Thomas Etholen Selfridge,,Thomas Selfridge
Aviation Accident,"August 2, 1979","Akron-Canton Airport, Ohio",Plane crash,Thurman Munson,,Thurman Munson
Aviation Accident,"September 11, 2001","Stonycreek Township, Pennsylvania",Plane crash,Todd Morgan Beamer,,Todd Beamer
Aviation Accident,1941,Soviet Union,Suspicious circumstances,Toivo Antikainen,,Toivo Antikainen
Aviation Accident,"September 11, 2001","Stonycreek Township, Pennsylvania",Plane crash,Thomas Edward Burnett Jr.,,Tom Burnett
Aviation Accident,N/A,Chesapeake Bay,Plane crash,Thomas Everett Gastall,,Tom Gastall
Aviation Accident,N/A,N/A,N/A,Tomás Lluisma Cabili,,Tomas Cabili
Aviation Accident,World War II,N/A,Plane crash,Thomas Hitchcock Jr.,,"Tommy Hitchcock, Jr."
Aviation Accident,N/A,N/A,Bad weather,Tomáš Baťa,,Tom谩拧 Ba钮a
Aviation Accident,2000,"Harrison County, Kentucky",Plane crash,"Tony Lee Bettenhausen Jr., Shirley Bettenhausen, Russ Roberts, Larry Rangel",,"Tony Bettenhausen, Jr."
Aviation Accident,N/A,"Chicago, Illinois",Plane crash,Anthony David Lema,,Tony Lema
Aviation Accident,N/A,N/A,Plane crash,Troy Gentry,,Troy Gentry
Aviation Accident,N/A,N/A,N/A,Valentine Baker,,Valentine Baker
Aviation Accident,N/A,N/A,Helicopter crash,Victor Morrow,,Vic Morrow
Aviation Accident,"October 27, 2018","King Power Stadium, Leicester",Helicopter crash,Vichai Srivaddhanaprabha,,Vichai Srivaddhanaprabha
Aviation Accident,"August 22, 2009","Silverstone Motor Race Circuit, Northamptonshire, England",Plane crash,Vicki Cruse,,Vicki Cruse
Aviation Accident,N/A,N/A,N/A,Viktor Valentinovich Chistiakov,,Viktor Chistiakov
Aviation Accident,"October 5, 1930",France,Airship crash,Vincent Crane Richmond,,Vincent Crane Richmond
Aviation Accident,N/A,N/A,N/A,Vittorio Missoni,,Vittorio Missoni
Aviation Accident,"June 20, 2011","Besovets, near Petrozavodsk",Plane crash,Vladimir Leonidovich Pettay,,Vladimir Pettay
Aviation Accident,World War II,N/A,N/A,Walter Leslie Handley,,Wal Handley
Aviation Accident,"December 19, 1911","Mill Valley, California",Engine failure and glide to landing,Weldon Baxter Cooke,,Weldon B. Cooke
Aviation Accident,"June 24, 1975",N/A,Plane crash,Wendell Ladner,,Wendell Ladner
Aviation Accident,"November 13, 1956",Germany,Plane crash,Werner Haas,,Werner Haas
Aviation Accident,N/A,Breslau,Plane crash,Werner Mölders,,Werner M枚lders
Aviation Accident,N/A,N/A,Plane crash,Wilbur Shaw,,Wilbur Shaw
Aviation Accident,"August 15, 1935","Point Barrow, Alaska",Plane crash,"Wiley Post, Will Rogers",,Wiley Post
Aviation Accident,1935,Northern Alaska,Plane crash,"William Penn Adair Rogers, Wiley Post",,Will Rogers
Aviation Accident,"July 17, 2014",Eastern Ukraine,Shot down by Russian rebels,Willem Johannes Witteveen,,Willem Witteveen
Aviation Accident,N/A,N/A,N/A,William Adger Moffett,,William A. Moffett
Aviation Accident,"August 1, 1943","Lambert Field, St. Louis",Plane crash,Major William Bryan Robertson,,William B. Robertson
Aviation Accident,"August 1, 1943",Lambert St. Louis Airport,Plane crash (Waco CG-4 glider),,"William Dee Becker, William B. Robertson, and other St. Louis luminaries",William D. Becker
Aviation Accident,"February 27, 1941",Georgia,Plane crash,William Devereux Byron II,,William D. Byron
Aviation Accident,"October 29, 1953","Off the coast of Biak, Indonesia",Plane crash,William Kapell,,William Kapell
Aviation Accident,"December 20, 1929","Bolling Field, Washington, D.C.",Plane crash,William Kirk Kaynor,,William Kirk Kaynor
Aviation Accident,N/A,N/A,N/A,William Dodge Sample,,William Sample
Aviation Accident,"March 8, 1989",West Berlin,Fell from gas balloon,Winfried Freudenberg,,Winfried Freudenberg
Aviation Accident,"July 4, 1943",Gibraltar,Plane crash,Władysław Eugeniusz Sikorski,,W艂adys艂aw Sikorski
Aviation Accident,"September 2, 2009","Nallamala Forest, India",Helicopter crash,Yeduguri Sandinti Rajasekhara Reddy,,Y. S. Rajasekhara Reddy
Aviation Accident,"March 2, 1997","Near Kuala Lipis, Pahang",Helicopter crash,"Tan Sri Yahaya Ahmad, Rohana Othman, Major Azlizan Abdul Manas",,Yahaya Ahmad
Aviation Accident,"June 27, 1973",Venezuela,Plane crash,Ángel A. Rama,,脕ngel Rama
