Event Trigger,Parties Involved,Territories Involved,Outcome,Duration,Start Date,Total Military Casualties,End Date,Date,1978 South Lebanon conflict,Israeli occupation of southern Lebanon (Second phase),Israeli invasion of Lebanon (Third phase),Israeli occupation of southern Lebanon (Fourth phase),International incidents,Total Civilian Deaths,Impact on Population,Invasion of Georgia (U.S.),Invasion of Georgia (Country),Iraqi Invasion of Kuwait,Coalition Intervention,Naval Operations,Air Campaign,Liberation of Kuwait,Post-ceasefire,Spanish Occupation of the Netherlands,French Invasion of the Netherlands,German Occupation of the Netherlands,Formal Annexation Date,Recognition of Annexation,Impact on Population and Political Structure,Burgundian Occupation of Luxembourg,Spanish Occupation of Luxembourg,French Occupation of Luxembourg,German Occupation of Luxembourg,Nazi Occupation of Luxembourg,Allied Occupation of Luxembourg,Ukrainian State Occupation,Soviet Occupation of Western Ukraine,Nazi Occupation of Ukraine,Russian Occupation of Crimea,Donetsk and Luhansk Occupation,Axis Failure,Frontline Strength,Other Involved Country Losses,trigger
Nazi Occupation of Channel Islands,"Nazi Germany, British Crown Dependencies",Channel Islands,"Occupation during World War II, moderate approach initially, deteriorating conditions, forced labor, mass deportations, near starvation, liberation in 1945",,"June 30, 1940",,"May 9, 1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of the Channel Islands
"Argentine Occupation of Falkland Islands, South Georgia, and South Sandwich Islands","Argentina, United Kingdom","Falkland Islands, South Georgia, South Sandwich Islands","Short-lived occupation by Argentina, start of Falklands War, return to British control on June 14, 1982","April 2, 1982 - June 14, 1982","April 2, 1982",,"June 14, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of the Falkland Islands
Occupation of Gaza Strip by United Arab Republic,United Arab Republic (Egypt),Gaza Strip,"Occupation of Gaza Strip by Egyptian forces from 1949 to 1967, ended after Egypt's defeat to Israel in 1967, transition to Israeli occupation",1949 - 1967,1949,,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of the Gaza Strip by Egypt
Occupation of the Rhineland,"France, United States, United Kingdom, Belgium","Rhineland, Germany","Consequence of WWI armistice, demilitarized zone, security for France, guarantee for reparations, administration by Inter-Allied Rhineland High Commission, US occupation along Mosel river, ended prematurely in 1930","December 1, 1918 - June 30, 1930","December 1, 1918",,"June 30, 1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of the Rhineland
Occupation of the Ruhr,"France, Belgium, Germany","Ruhr region, Germany","Military occupation in response to German default on reparations, economic crisis in Germany, passive resistance by German civilians, Dawes Plan restructuring reparations, withdrawal of troops, contribution to German rearmament and rise of radical movements","January 11, 1923 - August 25, 1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of the Ruhr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Ukrainian State by German-installed government,Occupation of Western Ukraine by the Soviet Union,Occupation of Ukraine by Nazi Germany,Occupation of Crimea by Russia,Occupation of Donetsk and Luhansk by separatist entities,,,,Occupation of Ukraine
United States Occupation of Veracruz,"United States, Mexico","Veracruz, Mexico","Response to the Tampico Affair, part of the Mexican Revolution, strained US-Mexico relations, US victory, occupation lasted seven months",April 1914 - November 1914,April 1914,,November 1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Veracruz
Operation Barbarossa,,,,,,"1,000,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3.8 million,"4,973,820",Operation Barbarossa
Operation Boleas,"Southern African Development Community, South Africa, Lesotho opposition",Lesotho,"Intervention to quell a coup d'état, restoration of democracy and rule of law, accusations of regional hegemony by South Africa",September 1998 - May 1999,,"1,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operation Boleas
Operation Margarethe,"German Nazi troops, Hungarian government",Hungary,"Occupation of Hungary by German forces, installation of a pro-German government","March 19, 1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operation Margarethe
Operation Savannah,"South Africa, UNITA, FNLA, Zaire, MPLA, Cuba, Soviet Union, United States",Angola,"South African incursion to support UNITA, driven out by MPLA, Cuban, and Soviet forces, MPLA victory leading to independence and political control in Angola",1975–1976,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operation Savannah (Angola)
Operation Uphold Democracy,"United States, United Nations, Joint Special Operations Command, 3rd Special Forces Group, 10th Mountain Division",Haiti,"Military intervention to remove the military regime in Haiti, authorized by UN Resolution 940",July - September 1994,July 1994,,September 1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operation Uphold Democracy
Polish-Ukrainian War,"Second Polish Republic, Ukrainian State, Ukrainian People's Republic","Eastern Galicia, Chełm Land, Volhynia","Conflict over ethnic, cultural, and political differences, Polish re-occupation of disputed territory",November 1918 - July 1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polish–Ukrainian War
Red Army invasion of Azerbaijan,"Soviet Russia, Azerbaijan Democratic Republic, Azerbaijani Bolsheviks",Azerbaijan,"Installation of a new Soviet government, dissolution of Azerbaijan Democratic Republic",April 1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Army invasion of Azerbaijan
Russian Occupation of Eastern Galicia,"Russian Empire, Austria-Hungary",Eastern Galicia,"Integration with the Russian Empire, Russification of local Ukrainians, persecution of Jews and Greek Catholics",September 1914 - June 1915,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russian occupation of Eastern Galicia, 1914–1915"
Saar Protectorate Occupation,"French Fourth Republic, Allies, West Germany",Saarland,"French protectorate partitioned from Germany, industrial disarmament, return to West German control",1946 - 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saar Protectorate
Second Sino-Japanese War,"Republic of China, Empire of Japan, Soviet Union, United States",China,Chinese victory as part of the Allied victory in the Pacific War,1937 - 1945,,"14,000,000 total, 4,100,000 total killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Sino-Japanese War
Sino-Indian War,"China, India",Himalayan border,"Chinese invasion, Indian defensive Forward Policy, aggressive Chinese military action, Chinese victory",October-November 1962,,"1,383 killed, 1,696 missing, 548-1,047 wounded, 3,968 captured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sino-Indian war
Ethiopian Intervention in Somalia,"Ethiopia, Somali Transitional Federal Government, Puntland",Somalia,"Armed conflict involving Ethiopian and Somali forces against Somali Islamist groups, disputed number of troops involved, Ethiopian intervention in Somali Civil War",2006 - 2009,,"Estimates of over 9,000 to 12-15,000 Ethiopian troops, Somali Islamist groups",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia War (2006–2009)
Soviet invasion of Xinjiang,"Soviet Union, White Russian forces, Ma Zhongying's troops, Kuomintang",Xinjiang,Soviet intervention with White Russian forces in support of Sheng Shicai against Ma Zhongying during the Kumul Rebellion in Xinjiang,1934,,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet invasion of Xinjiang
Soviet Occupation of Bessarabia and Northern Bukovina,"Soviet Union, Romania","Bessarabia, Northern Bukovina, Hertsa, Danube islands","Incorporation of Bessarabia and Northern Bukovina into the Soviet Union, Romanian consent to retrocession and cession, Nazi Germany aware and willing to support","June 28 - July 3, 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet occupation of Bessarabia and Northern Bukovina
Soviet Occupation of Romania,"Soviet Union, Romania","Moldavia, Romania","Soviet military presence in Romania following World War II, occupation of Moldavia, legal basis provided by Paris Peace Treaties, celebrated as Liberation from Fascist Occupation Day",1944 - August 1958,1944,,August 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet occupation of Romania
Soviet Occupation of Baltic States,"Soviet Union, Baltic states","Estonia, Latvia, Lithuania","Occupation during World War II, reorganization into constituent republics of the USSR, declaration of independence in 1990",,1944,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet re-occupation of the Baltic states (1944)
Soviet-Japanese War,"Soviet Union, Mongolia","Manchukuo, Mengjiang, Korea, Karafuto, Chishima Islands","Defeat of Japan's Kwantung Army, Soviet invasion leading to Japanese surrender and end of World War II","August 9, 1945",,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soviet–Japanese War
Sugar Intervention,"United States, Cuba",Cuba,"United States Marine Corps stationed in Cuba, military insurgency against conservative Cuban president, liberal forces dispersed, peace agreements with conservatives, increase in banditry and insurgency, broadening social base of insurgents",1917 - 1922,1917,,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sugar Intervention
Syrian Occupation of Lebanon,"Syria, Lebanon",Lebanon,"Occupation during Lebanese Civil War, withdrawal after Cedar Revolution, assassination of Rafic Hariri",1976 - 2005,1976,,"April 30, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syrian occupation of Lebanon
UAE Deployment to Socotra,"United Arab Emirates, Yemen",Socotra,"Deployment of over a hundred UAE troops with artillery and armored vehicles to Socotra without coordination, leading to strained relations",,"April 30, 2018",,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeover of Socotra
Soviet-Ukrainian War,"Ukrainian People's Republic, Bolsheviks, Polish Republic",Ukraine,"Conflict between Ukrainian People's Republic and Bolsheviks, viewed as liberation by Bolsheviks and failed war of independence by Ukrainians",1917-1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ukrainian–Soviet War
United States-led Invasion of Afghanistan,"United States, United Kingdom, Canada, Australia, Northern Alliance, Taliban, Al-Qaeda",Afghanistan,"Toppling of the Taliban government, dismantling of al-Qaeda, denial of safe base of operations in Afghanistan",,Late 2001,,Ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States invasion of Afghanistan
War in Vietnam,"United Kingdom, France, Japan, Viet Minh",Southern Vietnam,"Conflict between Allied forces and Viet Minh for control of southern Vietnam after Japanese surrender, division of Indochina at the 16th parallel, British-Indian and French task force against Vietnamese communist movement, brief but significant initial conflict",1945-1946,1945,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,War in Vietnam (1945–1946)
Winter War,"Soviet Union, Finland","Finland, Karelian Isthmus, Ladoga Karelia, Kainuu, Lapland","Soviet invasion of Finland, Finnish resistance, cession of territory to the Soviet Union, Moscow Peace Treaty","Nov 30, 1939 - Mar 13, 1940",,Heavy losses on both sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter War
