Victim,Date of Abduction,Location,Outcome,Perpetrator,Duration of Captivity,Suspects/Individuals Involved,Ransom Demand,Charges,Sentencing,Michelle Knight,Amanda Berry,"Georgina ""Gina"" DeJesus",Trial Details,Verdict,Additional Individuals Involved,Nationality,Occupation,Legislative Response,Age,Victims,Locations,Duration of Killing Spree,Law Enforcement Agencies Involved,Confession,Conviction,Parole Release,Reopening of Murder Cases,Witnesses,Method of Escape,Recognition Received,Individuals Involved,Criminal,Accomplices/Individuals Involved,Suspect Age,Legal Proceedings,Additional Information,Possible Spellings,Meaning based on Hanja,Notable Individuals,Newton County John Does (Adam),Newton County John Does (Brad),Lori Lee Farmer,Doris Denise Milner,Michele Heather Guse,Perpetrator(s),Other Individuals Involved,Jane Nartare Beaumont,Arnna Kathleen Beaumont,Grant Ellis Beaumont,trigger
Jonelle Matthews,"December 20, 1984","Greeley, Colorado","Remains discovered in 2019, Pankey indicted in 2020, mistrial in 2021",Steven Pankey,,Steven Pankey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonelle Matthews
José Antonio Ortega Lara,"January 17, 1996",Burgos,"Rescued after 532 days of captivity, suffered physical and psychological effects of captivity",ETA,532 days,"ETA leaders Julian Achurra Egurola, José Luis Aguirre Lete, Erostegui José Luis Javier Ugarte, Josu Uribetxeberria Bolinaga, José Miguel Gaztelu Ochandorena",Transfer of ETA prisoners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jos茅 Antonio Ortega Lara
João Hélio Fernandes Vieites,"February 7, 2007","Oswaldo Cruz, Rio de Janeiro","Dragged from a car for 7 km after an armed carjacking, resulting in his tragic murder",Group of young males,N/A,Group of young males,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jo茫o H茅lio
Juan Manuel Fangio,"February 23, 1958","Havana, Cuba","Released unharmed after a few hours, reason for release unclear",Cuban rebels,A few hours,Cuban rebels,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Manuel Fangio
Judge Edward Aaron,"September 2, 1957","Birmingham, Alabama","Abducted, tortured, and left near death, perpetrators convicted and later pardoned by Governor George Wallace",Asa Earl Carter's independent Ku Klux Klan group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Edward Aaron
Kaede Ariyama,"November 17, 2004","Nara, Nara Prefecture","Kidnapped, sexually assaulted, and murdered by Kaoru Kobayashi",Kaoru Kobayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaede Ariyama
Kamiyah Teresiah Tasha Mobley,"July 10, 1998",Florida hospital,"Abducted at eight hours old, found alive in South Carolina in 2017, DNA testing revealed true identity, biological mother awarded $1.5 million",Gloria Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamiyah Mobley
Kara Rudd,1980s/1990s,"Longview, Washington","Abducted, sexually assaulted, and murdered by Joseph Robert Kondro, The Longview Serial Killer",Joseph Robert Kondro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kara Rudd
Katherine Beers,"December 28, 1992",New York,"Found alive after being held in an underground bunker, perpetrator sentenced to 15 years to life",John Esposito,16 days,John Esposito,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katie Beers
Kerry Whelan,May 1997,"Parramatta, Australia","Abducted and never found, last seen with Burrell, husband received $1 million ransom note",Bruce Allan Burrell,,"Bernie Whelan, Bruce Allan Burrell",$1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerry Whelan
Kim Dae-jung,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Dae-jung
Kimberly Noel Kardashian,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kardashian
Kriss Donald,"March 15, 2004",Glasgow,"Abducted, stabbed multiple times, set on fire and murdered by a gang of men of Pakistani origin","Daanish Zahid, Imran Shahid, Zeeshan Shahid, Mohammed Faisal Mustaq, Zahid Mohammed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kriss Donald
Krista Lea Harrison,"July 17, 1982","Marshallville, Ohio","Found murdered after being kidnapped, sexually assaulted, and strangled",Robert Anthony Buell,N/A,Robert Anthony Buell,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krista Harrison
Kylie Maria Antonia Maybury,"November 6, 1984","Melbourne, Victoria, Australia","Kidnapped, raped, and murdered on Melbourne Cup Day, perpetrator arrested and sentenced to life imprisonment",Gregory Keith Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kylie Maybury
Kyron Richard Horman,"June 4, 2010","Portland, Oregon","Disappeared from Skyline Elementary School after attending a science fair, investigation ongoing",Terri Horman,,"Terri Horman, Desiree Young, Kaine Horman, Terri Moulton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyron Horman
,1996,Belgium,"Arrested for kidnapping, torturing, and sexually abusing young girls, convicted of multiple charges including murder, sentenced to life imprisonment",,Varied,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Dutroux,"Michelle Martin, Michel Lelièvre, Michel Nihoul, Bernard Weinstein",,,,,,,,,,,,,,,,,Laetitia Delhez
Lauren Burk,"March 4, 2008","Auburn, Alabama",Murdered by Courtney Lockhart after being kidnapped at gunpoint,Courtney Lockhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauren Burk
Leanne Tiernan,"November 26, 2000","Leeds, West Yorkshire","Found murdered after abduction, perpetrator sentenced to life in prison",John Taylor,N/A,John Taylor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leanne Tiernan
Six-year-old boy,1989,"Movie theatre, Vancouver, Washington","Abduction attempt failed, leading to Dodd's arrest later that year",Westley Allan Dodd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Iseli
Lee Kim Lai,"April 25, 1978",Singapore,"Abducted and murdered for his service revolver, found with multiple stab wounds in an abandoned taxi","Ong Chin Hock, Yeo Ching Boon, Ong Hwee Kuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Kim Lai
Leiby Kletzky,"July 11, 2011","Brooklyn, New York","Found dismembered after being kidnapped, perpetrator sentenced to 40 years to life in prison",Levi Aron,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leiby Kletzky
N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leigh Matthews
Lesley Molseed,"October 5, 1975","West Yorkshire, England","Abducted and murdered while on an errand to the local shop, wrongful conviction of Stefan Kiszko, real perpetrator Ronald Castree convicted later",Stefan Kiszko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesley Molseed
Lesley Whittle,"January 14, 1975","Highley, Shropshire","Found murdered after being held captive, perpetrator sentenced to life imprisonment",Donald Neilson,52 days,N/A,"£50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesley Whittle
Leszli Kálli,"April 12, 1999",Colombia,"Held hostage after plane hijacking, released after slightly more than a year in captivity",Leftist guerrillas,373 days,Leftist guerrillas,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leszli K谩lli
Lisa Renée Irwin,"October 4, 2011","Kansas City, Missouri","Discovered missing from her home, last seen in bed, suspicious circumstances, ongoing investigation",Unidentified,,"Jeremy Irwin, Deborah Bradley, unidentified witnesses",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisa Irwin
Lynn Cecilia Eusan,1971,"Houston, Texas","Found dead in the back of a stranger's car, believed to be a murder, no one found guilty",Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynn Eusan
Madeleine Beth McCann,"May 3, 2007","Praia da Luz, Portugal","Disappeared from holiday apartment, whereabouts unknown, heavily reported missing-person case",Unidentified,N/A,"German prosecutors, Portuguese police, Scotland Yard",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madeleine McCann
Madyson Middleton,"July 25, 2015","Santa Cruz, California","Found murdered after abduction, suspect charged with murder, legal proceedings ongoing",Adrian Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Trial in progress,,,,,,,,,,,,,,,Madyson Middleton
Marcy Renee Conrad,"November 3, 1981","Milpitas, California","Raped and murdered by Broussard, body dumped in ravine, Broussard sentenced to 25 years to life",Anthony Jacques Broussard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcy Renee Conrad
Margaret Hassan,2004,Iraq,Murdered,Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margaret Hassan
Marie Wilks,"June 18, 1988","M50 motorway, Tewkesbury, Gloucestershire","Abducted and murdered after breaking down on the motorway, case remains unsolved",Unidentified,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie Wilks
Marion Crofts,"June 6, 1981","Aldershot, England","Raped and murdered, perpetrator found guilty 21 years later due to DNA testing",Tony Jasinskyj,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marion Crofts
Marise Ann Chiverella,"March 18, 1964","Hazleton, Pennsylvania",Unsolved murder case of a 9-year old girl solved in 2022 through investigative genetic genealogy,James Paul Forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marise Chiverella
Mark Anthony Tildesley,"June 1, 1984","Wokingham, Berkshire","Abducted, drugged, tortured, raped, and murdered, linked to Operation Orchid investigation",Sidney Cooke and London-based paedophile gang,N/A,"Sidney Cooke, Leslie Bailey",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Tildesley
Mary Quin,1998,Yemen,"Survived kidnapping in Yemen, provided information leading to Abu Hamza's extradition",Unidentified,N/A,Abu Hamza,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Quin
Mary-Ann Leneghan,"May 7, 2005","Reading, Berkshire","Stabbed to death in Prospect Park after being kidnapped, assaulted, and raped in a local hotel",Six men,N/A,"Adrian ""Redz"" Thomas, others",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary-Ann Leneghan
Masego Kgomo,"December 31, 2009","Soshanguve, South Africa","Found murdered after being kidnapped, perpetrator sentenced to life in prison for murder",Brian Mangwale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masego Kgomo
Megan Kanka,N/A,"Hamilton Township, Mercer County, New Jersey","Raped and murdered by neighbor, led to introduction of ""Megan's Law""",Jesse Timmendequas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timmendequas had previous convictions for sexually assaulting young girls, confessed to the crime",,,,,,,,,,,,,,Megan Kanka
Megumi Yokota,"November 15, 1977",Niigata Prefecture,"Abducted at age 13 while walking home from school, taken to North Korea, believed to have died in captivity",North Korean agent,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megumi Yokota
Melanie Carpenter,"January 6, 1995","Surrey, British Columbia","Abducted and murdered, suspect committed suicide before arrest, found dead in Fraser Canyon",Fernand Auger,,Fernand Auger,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie Carpenter
Melanie Hall,"June 9, 1996","Bath, England","Partial remains discovered on M5 motorway in South Gloucestershire on October 5, 2009",Unidentified,,Various individuals arrested and released,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie Hall
Michael Anthony Hughes,1989,"Choctaw, Oklahoma","Abducted from elementary school, claimed to be Floyd's son, later discovered to be kidnapped",Franklin Delano Floyd,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Anthony Hughes
Michaela Joy Garecht,"November 19, 1988","Hayward, California","Abducted at age 9, case remained unsolved for over 30 years, perpetrator charged in 2020",David Emery Misch,,"Loren Herzog, Phillip Garrido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michaela Garecht
Michelle Dorr,"May 31, 1986","Silver Spring, MD","Abducted, stabbed to death, perpetrator drank her blood, buried her in a park 12 miles away",Hadden Irving Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michelle Dorr
,,,,,,,,,,"Held captive in Castro's home until 2013, successfully escaped along with Amanda Berry, contacted police, Castro arrested and sentenced to life imprisonment plus 1,000 years in prison without parole.","Held captive in Castro's home until 2013, successfully escaped with her daughter, contacted police, Castro arrested and sentenced to life imprisonment plus 1,000 years in prison without parole.","Held captive in Castro's home until 2013, rescued by police along with Michelle Knight, Castro arrested and sentenced to life imprisonment plus 1,000 years in prison without parole.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michelle Knight
Miguel Ángel Blanco Garrido,"July 10, 1997","Ermua, Basque Country",Abducted and subsequently murdered by ETA after demands for prisoner transfers were not met,ETA,2 days,ETA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel 脕ngel Blanco
Moataz Wadnan,February 2018,Egypt,Arrested and disappeared in state custody after interviewing Hisham Geneina,State custody,N/A,"Hisham Geneina, Ezzat Ghoniem, Mustafa al-Assar, Hassan al-Banna Mubarak",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moataz Wadnan
Mordechai Vanunu,"September 30, 1986",Italy,"Abducted, drugged, and transported to Israel, convicted in a closed-door trial, imprisoned for 18 years",Mossad,N/A,Mossad,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordechai Vanunu
Morgan Chauntel Nick,"June 9, 1995","Alma, Arkansas","Abducted at a Little League Baseball game, last seen emptying sand from her shoes near her mother's car, never found since",Unidentified,N/A,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morgan Nick
Muriel McKay,"December 29, 1969","Wimbledon, London","Presumed murdered after abduction, mistaken for Rupert Murdoch's wife, two brothers convicted of murder and kidnapping","Arthur Hosein, Nizamodeen",,"Arthur Hosein, Nizamodeen",£1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muriel McKay
Na-young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Na-yeong,Varies,N/A,,,,,,,,,,,Na-young
Naga Vaishnavi,"January 30, 2010","Andhra Pradesh, India","Kidnapped and murdered, father died of a heart attack due to shock, perpetrators sentenced to life in prison",Unidentified,3 days,Three accused kidnappers,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naga Vaishnavi
Natascha Maria Kampusch,"March 2, 1998","Vienna, Austria","Abducted at age 10, held in secret cellar for over 8 years, escaped on August 23, 2006",Wolfgang Přiklopil,Over 8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natascha Kampusch
Nazanin Zaghari-Ratcliffe,"April 3, 2016",Iran,"Sentenced to 5 years in prison, released temporarily during COVID-19, additional year in prison",Iranian authorities,6 years,"Iranian authorities, UK government",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazanin Zaghari-Ratcliffe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Found murdered alongside other victims, remains unidentified","Found murdered alongside other victims, identified as John Ingram Brandenburg Jr. in 2021",,,,,,,,,Newton County John Does
Nissim Toledano,"December 13, 1992",Lod,"Found murdered two days after abduction, demanded release of Sheikh Ahmed Yassin, killed by captors",Hamas,2 days,"Mahmoud Issa, Majid Abu Qatish, Mahmoud Atwan, Musa al-Akari",Release of Sheikh Ahmed Yassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nissim Toledano
Noela Rukundo,January 2015,"Bujumbura, Burundi","Abducted by gunmen hired by her husband, released unharmed, confronted husband upon return",Balenga Kalala,2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noela Rukundo
Nurin Jazlin Binti Jazimin,"August 20, 2007","Section 1, Wangsa Maju, Kuala Lumpur","Found murdered after being abducted, body discovered in a gym bag with signs of torture",Unidentified,N/A,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nurin Jazlin Jazimin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gene Leroy Hart,Gene Leroy Hart,Gene Leroy Hart,,,,,,Oklahoma Girl Scout murders
Chief Samuel Oluyemisi Falae,September 2015,Nigeria,Released after being held captive,Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olu Falae
Oron Shaul,"July 20, 2014",Gaza,"Initially claimed to have captured, later confirmed dead by Israel",Hamas,N/A,Hamas,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oron Shaul
Pai Hsiao-yen,"April 14, 1997",Taiwan,"Found dead after being tortured, ransom demand of US$5,000,000, multiple suspects arrested",Multiple,N/A,"Chen Chien-hsing, Lin Chun-sheng, Kao Tien-meen, others","US$5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pai Hsiao-yen
Pam Basu,"September 8, 1992","Savage, Maryland","Murdered during a carjacking incident, dragged along roads, left dead at Wincopia Farms entrance",Rodney Eugene Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pam Basu
Patricia Jocelyn Alatorre,"July 1, 2020","Bakersfield, California","Abducted, raped, and killed after meeting the perpetrator through social media, body burned",Armando Cruz,N/A,Armando Cruz,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patricia Alatorre
Patricia Campbell Hearst,"February 4, 1974","Berkeley, California","Arrested after 19 months, convicted of bank robbery, sentenced to 35 years, later commuted and pardoned",Symbionese Liberation Army,19 months,Symbionese Liberation Army,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patty Hearst
Paul Taggart,October 2004,"Sadr City, Iraq","Released after three days of being held hostage in Sadr City, Iraq",Unidentified,3 days,Muqtada Al Sadr,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Taggart
Paul Emile François Henri Vanden Boeynants,"January 14, 1989","Brussels, Belgium","Released unharmed after undisclosed ransom payment, gang members caught and imprisoned",Haemers criminal gang,30 days,"Patrick Haemers, others",30 million Belgian francs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Vanden Boeynants
Peter Lorenz,"February 27, 1975",West Berlin,"Kidnapped three days before mayoral elections, released after demands met, lost election",2 June Movement,,"Verena Becker, Gabriele Kröcher-Tiedemann, Horst Mahler, Rolf Heissler",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Lorenz
Peter Hugh Pocklington,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Pocklington
Peter Jay Weinberger,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Weinberger
Pinhas Lavie,1972,"Israeli Embassy, Bangkok",One of six Foreign Ministry personnel held hostage at the Israeli Embassy in Bangkok by Palestinians from the Black September Organization.,Black September Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinhas Lavie
Polly Hannah Klaas,"October 1, 1993","Petaluma, California","Kidnapped at knifepoint during a slumber party, later strangled, perpetrator sentenced to death",Richard Allen Davis,N/A,Richard Allen Davis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polly Klaas
Rachael Anderson,"January 28, 2018","Columbus, Ohio","Kidnapped, raped, and murdered in her apartment by Anthony Pardon, discovered in closet",Anthony Pardon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachael Anderson
Richard Oetker,"December 14, 1976","Bielefeld, Germany","Released after being held captive in a crate, ransom of DM21 million paid, perpetrator arrested and sentenced to 15 years in prison",Dieter Zlof,47 hours,Dieter Zlof,DM21 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Oetker
Rory Carroll,"October 19, 2005",Baghdad,"Abducted in Baghdad after conducting an interview, released unharmed after a period of captivity",Unidentified,N/A,Moqtada al-Sadr,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rory Carroll
Rosemary Calandriello,"August 25, 1969","Atlantic Highlands, NJ","Abducted and murdered by Zarinsky, body never found, Zarinsky convicted of the crime",Robert Zarinsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemary Calandriello
Rosie Palmer,"June 30, 1994","Hartlepool, County Durham, England","Abducted, raped, and murdered after buying an ice pop, perpetrator convicted and sentenced to life imprisonment",Shaun Armstrong,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosie Palmer
Roy Tutill,"April 23, 1968","Surrey, England","Abducted, raped, and murdered on his way home from school, case unsolved for 33 years until perpetrator confessed after DNA evidence surfaced",Brian Lunn Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roy Tutill
Sabine Anne Renée Ghislaine Dardenne,"May 28, 1996",Belgium,"Survived abduction by Marc Dutroux, rescued by Belgian police after 80 days in captivity",Marc Dutroux,80 days,"Laetitia Delhez, Marc Dutroux",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabine Dardenne
Syed Saleem Shahzad,"May 29, 2011",North-east Pakistan,Found dead in a canal showing signs of torture a day after being kidnapped,Unidentified,1 day,Pakistan intelligence services,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saleem Shahzad
Samantha Josephson,"March 29, 2019","Columbia, South Carolina","Kidnapped and murdered after mistakenly entering the perpetrator's vehicle, sentenced to life in prison",Nathaniel Rowland,N/A,Nathaniel Rowland,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samantha Josephson
Samantha Bree Runnion,"July 15, 2002","Stanton, California","Found murdered after abduction, sexually assaulted and strangled, perpetrator sentenced to death",Alejandro Avila,1 day,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samantha Runnion
Sandra Renee Cantu,"March 27, 2009","Tracy, California","Found dead in a suitcase in a local irrigation pond, Melissa Huckaby arrested, sentenced to life without parole",Melissa Huckaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra Cantu
Fusako Sano,"November 13, 1990","Sanjō, Niigata Prefecture, Japan","Held in captivity for nine years and two months by Nobuyuki Satō, released on January 28, 2000",Nobuyuki Satō,9 years and 2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sano Fusako
Sarah Everard,"March 3, 2021","South London, England","Kidnapped, raped, and murdered by Metropolitan Police officer Wayne Couzens",Wayne Couzens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarah Everard
Sean Goldman,June 2004,Brazil,"Abducted by mother, returned to father after legal battles, mother passed away, custody dispute with stepfather","Bruna Bianchi, João Paulo Lins e Silva",5.5 years,"Bruna Bianchi, João Paulo Lins e Silva",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Goldman
Selsela Alikhil,"July 16, 2021","Islamabad, Pakistan","Found near F-9 Park after being beaten and tied up in a taxi, suffered injuries and torture marks",Unidentified,Several hours,"Pakistani Interior Minister Sheikh Rasheed Ahmad, Indian intelligence agency",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selsela Alikhil
Serhiy Anatolyovych Hayduk,"March 19, 2014",Sevastopol,"Held captive by pro-Russian forces during the Crimean crisis, released after one day of captivity",Pro-Russian forces,1 day,Pro-Russian forces,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serhiy Hayduk
Seya Sadewmi,"September 12, 2015",Sri Lanka,"Abducted, raped, and murdered, body found near a canal, perpetrator sentenced to death",Saman Jayalath,N/A,"Dinesh Priyashantha, Saman Jayalath",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seya Sadewmi
Shannon Louise Matthews,"February 19, 2008","Dewsbury, West Yorkshire","Found alive after 23 days, planned kidnapping for money, perpetrators convicted and sentenced to prison",,23 days,,,"Karen - child neglect, perverting the course of justice; Donovan - kidnapping, false imprisonment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karen Matthews, Michael Donovan","Craig Meehan, Michael Donovan",,,,Shannon Matthews
Rachel Timmerman,N/A,"Oxford Lake, Michigan","Found murdered in Oxford Lake, perpetrator convicted, daughter Shannon presumed deceased",Marvin Charles Gabrion,,"Shannon (missing), other potential victims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shannon Verhage
Shawn Hornbeck,"October 6, 2002","Richwoods, Missouri","Found alive on January 12, 2007, along with another teenage boy, kidnapped by Michael J. Devlin",Michael J. Devlin,Over 4 years,"Michael J. Devlin, Ben Ownby",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shawn Hornbeck
Sheree Joy Beasley,June 1991,"Melbourne, Victoria","Kidnapped, raped, and murdered by Lowe, body found in stormwater drain three months later",Robert Arthur Selby Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheree Beasley
Sidney L. Jaffe,1981,"Toronto, Canada to Florida, USA","Conviction overturned, paroled after two years, declined to appear at new trial, perpetrators extradited and convicted of kidnapping","Timm Johnsen, Daniel Kear",N/A,"Timm Johnsen, Daniel Kear",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Jaffe
Sophie Hook,"July 30, 1995","Llandudno, Wales","Found murdered after being abducted from her uncle's garden, perpetrator sentenced to life in prison",Howard Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sophie Hook
