Location,Bridge Name,Reason for Collapse,Date of Collapse,Number of Fatalities,Construction Period,Notable Incident,Designer,Notable Incidents,Historical Significance,Historical Background,Replacement Process,Purpose,Opening Date,Companies Involved,Legal Actions Taken,Length,Notable Features,Investigation Findings,Number of Lanes,Renovation Details,Designers,Individuals Involved,Oldest Arch Bridge,Ancient Timber Bridges,Collapse Date,Replacement Bridge,Total Length,Construction Details,Type of Bridge,Reason for Closure,Significance,Inauguration Date,Span Length,Population,Current Status,Casualties,Construction Cost,Previous Bridge,Reconstruction,Main Span Length,Purpose of the Bridge,Funding Allocation,Ramp Openings,Construction Year,Type of Construction,Historic Designation,Reason for Destruction,Initial Bridge Construction,Neolithic Bridge Designs,Etymology of the Word,Simplest Bridge Types,Oldest Timber Bridge,Roman Empire's Contribution,Town Name,Landmarks,Historical Residents,Notable Associations,Main Roadway,Managing Authority,Width,Clearance,Construction Start Date,Delay Reason,Supervising Consultant,Contractors,Funding Sources,Insurance Coverage,Construction Contracts,Specific Incident,Renaming,Notable Consultants,Design Influence,Design Features,Number of Injuries,Vehicles Crushed,Entities Involved,Design Error,Construction Material,Height of Towers,Clearance to Water,Construction Companies,Proposed Second Bridge,Design Type,Length of Central Section,Number of Spans,Height of Inclined Pylon,Coordinates,Reason for Previous Failure,Construction History,Previous Bridges,Reason for Replacement,Opening Dates,Closure of Old Spans,Approaches Completion Date,Original Twin Span Opening,Original Twin Span Details,Debris Utilization,Official Naming Ceremony,Owner,Toll Amount,Unique Features,Date of Fire Incident,Reason for Fire Incident,Height,Restoration Details,Construction Company,Original Bridge Details,Original Bridge Length,Original Construction Period,Length of the Bridge,Original Opening Date,Renaming Date,Closure Date of Original Bridge,Opening Date of Current Bridge,Cost,Tolls,Length of Longer Bridge,Southern Terminus,Northern Terminus,Guinness World Records,Number of Concrete Pilings,Features,Design,Maximum Authorized Speed,Official Name,Borough Name,Establishment Year,Incorporation Date,Incorporation Details,Native American History,Origin of Name,Date of Capture,Capturing Forces,Reason for Capture,Post-War Status,Freeways Involved,Reason for 1897 Collapse,Impact of Collapse,Subsequent Improvements,Replacement Span Name,Replacement Date,Player Name,Current Club,Previous Club,Debut Date,Contract Renewal Date,Loan Cancellation Date,Release Date,Nationality,Descent,Closure Date,Construction Purpose,Distance from Juba,Distance from Gulu,Population Estimate,Recent Developments,Bridge Type,Definition,Importance,Sustainability,Types,Highway Name,Scenic Designation,Responsible Parties,Ongoing Construction,Date of Collapses,Length of Bridge,Earliest Bridge Designs,Origin of the Word Bridge,Roman Empire Bridge,Initial Construction,Neolithic Innovations,"Etymology of ""Bridge""",Evolution of Bridge Design,Roman Empire Contribution,Key Information,Value,Construction Date,Responsible Party,Reconstruction Efforts,Clearance for Public Use,Closure Period,Repair and Reopening,Additional Details,Subsequent Actions,Toll Information,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremonies,Original Bridge,Nickname,Impact on the Town,Height Above Water,Daily Traffic Volume,Tower Heights,Weight Limits,Detailed Analysis,Meaning of Name,Notable Events,Architect,Notable Details,trigger
"Milwaukee, Wisconsin, United States",Daniel Hoan Memorial Bridge,,,,"1970-1972 (briefly), opened to traffic in 1977","Temporary closure on December 13, 2000, due to the bridge failure, removal of damaged section on December 28, 2000","Howard, Needles, Tammen & Bergendoff",,,,,,1977,,,,,,,,,,,,,,,,,"Failure of two of the three support beams causing the north-bound lanes to buckle and sag by 4 feet, leading to temporary closure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoan Bridge
"Western Washington, United States",Hood Canal Bridge,,,,,,William A. Bugge,"Two pontoons sank during fabrication, returned to bay due to severe sea conditions","Longest floating bridge in a saltwater tidal basin, third longest floating bridge overall",,,,1961,,,"7,869 feet","Second concrete floating bridge in Washington, vital link for local residents and travelers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hood Canal Floating Bridge 
"Kansas City, Missouri, United States",,Structural failure of two overhead walkways during a tea dance event,"July 17, 1981","114 fatalities, 216 injuries",,,,"Roof partially collapsed during construction, skywalk design flaws, collapse led to billions in insurance claims and legal investigations","Contributed to engineering ethics and safety reforms, deadliest structural failure in the U.S. since the Pemberton Mill collapse",,,,,"Hyatt Regency Hotel, engineering company involved in the design","Engineering company convicted of gross negligence, misconduct, and unprofessional conduct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyatt Regency walkway collapse
"Eastern end of Lake Pontchartrain, New Orleans to Slidell, Louisiana","I-10 Twin Span Bridge, Frank Davis ""Naturally N'Awlins"" Memorial Bridge",,,,Second half of the 2000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extensive damage by Hurricane Katrina in 2005,"Eastbound span: July 9, 2009; Second span: April 7, 2010","April 7, 2010","September 8, 2011","December 21, 1965","Constructed with 433 65-foot concrete segments, two lanes wide",Used to line the nearby lake bottom as an underwater reef,"August 1, 2014, honoring Frank Joseph Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-10 Twin Span Bridge
"Southeast of Webbers Falls, Oklahoma, United States",I-40 bridge,Collision of freight barges with a pier supporting the bridge,"May 26, 2002","14 fatalities, 11 injuries",Not specified,"Captain of the towboat losing consciousness, causing the collision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-40 bridge disaster
"Interstate 5, Skagit County, Mount Vernon, Burlington, Washington",Skagit River Bridge,"Oversize load striking support beams, immediate collapse of northernmost span","May 23, 2013",Not mentioned in the provided text,Built in 1955,Collapse of northernmost span into the Skagit River,Not mentioned in the provided text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I-5 Skagit River Bridge collapse
"Vancouver, British Columbia, Canada",Ironworkers Memorial Second Narrows Crossing,"Miscalculation by bridge engineers, collapse during construction","June 17, 1958",19 fatalities,1956-1960,,Swan Wooster Engineering Co. Ltd.,,,,,,,,,,,Temporary arm holding the fifth anchor span was too light to bear the weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironworkers Memorial Second Narrows Crossing
"Cooper River, Charleston, South Carolina",John P. Grace Memorial Bridge,,,,Seventeen months,,Shortridge Hardesty of Waddell & Hardesty,,,,,To cross the Cooper River and relieve traffic,"August 8, 1929",,,,,,Two 10 ft lanes,,,,,,,,,,,,,,,,,,Six million dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cooper River Bridge, Inc.",50 cents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John P. Grace Memorial Bridge
"Lucerne, central Switzerland",Kapellbrücke,,,,,,,,"Oldest wooden covered bridge in Europe, oldest surviving truss bridge in the world",,,,,,,,,,,,,,,,,,,,,,,,,,"Subsequently restored, serves as a symbol of the city and a tourist attraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contains interior paintings dating back to the 17th century, octagonal Wasserturm tower",18 August 1993,Fire incident destroyed two-thirds of interior paintings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapellbr眉cke 
"McKean County, Pennsylvania, United States",Kinzua Bridge,"Tornado strike in 2003, corroded anchor bolts failure",July 2003,,,,,,"""Eighth Wonder of the World"", tallest railroad bridge in the world for two years, National Register of Historic Places listing, National Historic Civil Engineering Landmark designation",,,,,,,"2,052 feet","Originally built in 1882, rebuilt in 1900 out of steel, commercial service until 1959, centerpiece of a state park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301 feet,"Restoration started in 2002, collapsed before completion in 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinzua Bridge
Palau,Koror–Babeldaob Bridge,"Middle hinge point sag, collapse due to creep and low modulus of elasticity",,,2002 (for the replacement bridge),,"Dyckerhoff & Widmann AG, Alfred A. Yee and Associates","Collapse in 1996, emergency aid provided by Japan",,,,,,,,,,,,,,,,,"September 26, 1996",,413 meters,,"Reinforced concrete, portal frame, cable-stayed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kajima Corporation of Japan,Balanced cantilever prestressed concrete box girder bridge,385.6 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koror-Babeldaob Bridge
"Kota, Rajasthan, India",Kota Bridge,Collapse of the under-construction west side of the bridge,24 December 2009,48 fatalities,"Agreement signed in 2006, construction started in 2007","Collapse of span P4-P3, Pilon P4, Pier P4, and cantilever portion",,,,,,,,"National Highways Authority of India, Hyundai Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kota Chambal Bridge
"Island of Borneo, Kalimantan Timur, Indonesia",Kutai Kartanegara Bridge,"Support cable snapped during maintenance, catastrophic failure",26 November 2011,At least 20 fatalities,,,,,,,,,,,,,,,,,,,,,,"Built in 2013, formally opened in December 2015",,,,,,,,,,,Rp 150 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutai Kartanegara Bridge
"Seattle metropolitan area, Washington, United States",Lacey V. Murrow Memorial Bridge,,,,1939-1940,,,,,"Proposal by Homer Hadley in 1921, lobbying by George Lightfoot, construction started in 1939",,,,,,,"Second-longest floating bridge in the world, National Historic Civil Engineering Landmark",,,,Homer Hadley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,620 ft",1940,1967,1989,1993,Approximately $9 million,Removed in 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey V. Murrow Memorial Bridge
"Southeastern Louisiana, United States",Lake Pontchartrain Causeway,,,,,,,,,"Idea dates back to the 19th century, modern causeway envisioned in 1948",,,,,,,,,,,,"Bernard de Marigny, Ernest M. Loëb Jr., James E. Walters Sr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83 miles,"Metairie, Louisiana","Mandeville, Louisiana",Longest continuous bridge over water until 2011,"9,500","Bascule bridge, navigation channel span, supported by concrete pilings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Pontchartrain Causeway
"Aalborg and Nørresundby, North Jutland, Denmark",Limfjord Railway Bridge,,,,"Inaugurated in 1938, replaced an earlier bridge from 1879","Damaged by a ship on March 28, 2012, repaired and reopened in April 2013",,,,"Opened in 1879, replaced in 1938, part of the Vendsyssel railway line",,,,,,403 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bascule bridge of steel truss design with nine spans,60 kilometers per hour,Jernbanebroen over Limfjorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limfjord Railway Bridge
"Monmouth County, New Jersey, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2010: 5,950, 2000: 6,170, 1990: 5,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little Silver,"1663 (King's land grant), settled in 1667","March 19, 1923","Act of the New Jersey Legislature, referendum held on April 28, 1923",Area inhabited by the Navesink Native Americans,"Named after the Parker brothers' father's estate in Portsmouth, Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little Silver
"Remagen, Germany","Ludendorff Bridge, Remagen Bridge",,"March 17, 1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enabled establishment of a bridgehead, shortened the war",,,,,"28 Army engineers killed, 63 injured, 18 missing presumed drowned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early March 1945,United States Army,"Critical remaining bridge across the Rhine, captured during Battle of Remagen","Not rebuilt, west bank towers converted into a museum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludendorff Bridge
"Oakland, California, United States",MacArthur Maze,,,,,,,,,,,"Hub for east-west and north-south traffic accessing San Francisco and Oakland, connections to other parts of the country",,,,,,,,,,,,,,,,,,,"Central location near the east end of the San Francisco-Oakland Bay Bridge, hub for local and long-distance traffic, next to the Port of Oakland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastshore Freeway, MacArthur Freeway, Nimitz Freeway, I-80, I-580, I-880, US 101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MacArthur Maze
"Yarkon River, Tel Aviv, Israel",Maccabiah bridge,"Negligent shortcuts in construction, lack of permits, non-compliance with government requirements","July 14, 1997","4 fatalities, more than 60 injuries",,,,,"Highlighted environmental problems in Israel, prompted clean-up efforts, memorial unveiled at the games",,,,,,"Convictions for recklessly causing death and injury, prison sentences, community service",,,,,,,"Engineer, chair of Tel Aviv Games Organising Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maccabiah bridge collapse
"Between Mysore and Maddur, Karnataka, India",Maddur Railway Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,"Single track railway bridge duplicated in 2014, two new concrete railway bridges constructed, old steel bridge placed out of use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,River in flood causing collapse,"Five fully loaded carriages fell into the river, approximately 150 fatalities","New bridges are 1,676 mm gauge, separated by about a meter, allowing increased axle loads and speeds, new bridges are more robust and allow for easier debris clearance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maddur railway bridge collapse
"Tláhuac, Mexico City, Mexico",Line 12 of the Mexico City Metro,"Deficiencies in construction, lack of functional studs, poor welds",3 May 2021,26 fatalities,,,,,"Deadliest accident in almost fifty years, significant impact on Metro system",,,,,"Empresas ICA, Alstom Mexicana, Grupo Carso","Charges filed against ten former officials, awaiting trial",,,Deficiencies in construction of the bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico City Metro overpass collapse
"Interstate 95 over the Mianus River, Cos Cob and Riverside, Connecticut",Mianus River Bridge,"Failure of two pin and hanger assemblies, corrosion from water buildup","June 28, 1983",3 fatalities,,Collapse of a 100-foot section of the northbound span into the Mianus River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael L. Morano Bridge,Not mentioned in the provided text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mianus River Bridge
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mungo Olayipo Oladapo Erogbogbo Bridge,Annecy (on loan from Aston Villa),Aston Villa,8 January 2021,6 July 2021,27 January 2022,10 June 2022,English,Nigerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mungo Bridge
"Turku, Finland",Myllysilta,,,,,,,,,,"Demolished in 2010, new bridge construction completed in 2011",Connects Turku's IV district to the VII district,19 September 2011,,,,,,Four westbound lanes,,,,,,,,,,,Structural failures of both piers,,,,,,,,Prestressed concrete box girder bridge built in 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 March 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myllysilta
"Nanfang'ao Fishing Port, Su'ao Township, Yilan County, Taiwan",Nanfang'ao Bridge,,1 October 2019,"6 fatalities, 12 injuries",1996-1998,"Collapse during the bridge on October 1, 2019, injuring over 20 people, with a video showing an oil tanker truck falling into the water and catching fire",MAA Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Replacement for the former lower bridge to allow large fishing vessels to pass through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nanfang'ao Bridge
"Southern South Sudan, Magwi County, Eastern Equatoria",,,,,,,,,,British punitive expedition against the Lango in 1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately 197 kilometers by road,Approximately 120 kilometers by road,"Around 45,000 in 2006, current population not publicly known","Upgraded to City Council status in 2013, new bank branch in 2014, power supply pledge in 2017, one-stop border post opened in 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nimule
"Nipigon, Ontario, Canada",Nipigon River Bridge,Not mentioned in the provided text,Not mentioned in the provided text,Not mentioned in the provided text,"1937 (original bridge), 1974 (replacement), mid-2000s (rehabilitation), 2015-2016 (demolition), 2013 (replacement project)",,,"Dismantling project won two awards at the 2016 World Demolition Awards, $106 million project to replace the bridge began in 2013, cable-stayed design for twin bridges first of its kind in Ontario, eastbound span completed in 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nipigon River Bridge
"Near Dimbokro, Ivory Coast",Nzi River Bridge,"Collapse of an approach span during a two-engined goods train crossing, potential destabilization by a bulldozer arm",6 September 2016,Not specified in the text,Built in 1910,"Interruption of rail link between Ivory Coast and Burkina Faso, estimated repair cost of £400 million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nzi River Bridge
"Palu, Central Sulawesi, Indonesia",Palu IV Bridge,Destroyed by the 2018 Sulawesi earthquake and tsunami,28 September 2018,Not mentioned in the provided text,Inaugurated in May 2006,Hit and destroyed by the 2018 Sulawesi earthquake and tsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government announced plans to rebuild with earthquake safety factors, supported by JICA with 2.5 billion yen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palu IV Bridge
"Situated to allow pedestrians to cross water, railways, or roads",,,,,,,,,,Ranges from stepping stones to elaborate steel structures,,"Enables pedestrians to cross wet, fragile, or marshy land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footbridge,Bridge designed solely for pedestrians,"Provides access to medical clinics, schools, businesses, and markets",Simple suspension bridge designs using local materials and labor,"Stepping stones, boardwalks, enclosed footbridges, greenbridges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedestrian bridge
"Big Sur region of California, United States",,,,,,,,,,"Proposed by Dr. John L. D. Roberts in 1894, remote region access",,,,,,71 miles,,,,,,,,,,,,,,,Considered one of the most scenic driving routes in the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Sur Coast Highway,"National Scenic Highway, California Scenic Highway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pfeiffer Canyon Bridge
"Borders of Arta and Ioannina prefectures, Greece",Plaka Bridge,Collapsed during floods,1 February 2015,Not mentioned in the provided text,,,,,,"Built in 1866, largest one-arch stone bridge in Greece and Balkans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebuilt in 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaka Bridge
"Victoria, British Columbia, Canada",Point Ellice Bridge,"Overloading of streetcar, poor maintenance, design flaws","May 26, 1896",55 fatalities,,,,,"One of the worst transit disasters in British Columbia, led to changes in railway operations and city maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consolidated Electric Railway Company, Victoria City Council",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point Ellice Bridge
