Aircraft,Event,Date,Location,Casualties,Cause of Crash,Registration,Route,Engine,Passenger Capacity,Design Features,Intended Market,Establishment of Georgian Air Force,First Combat Flight,Abolishment of Georgian Air Force,Re-establishment of Georgian Air Force,Modernization Efforts under Irakli Garibashvili,Establishment Date,Current Rank,Primary Mission,Wars with Pakistan,Major Operations,UN Peacekeeping Missions,Personnel Count (July 2017),Role of President,Chief of the Air Staff,Highest Rank Held,Possible Causes of Crash,trigger
Lockheed L-188 Electra,American Airlines Flight 320,"February 3, 1959","East River, New York",65 fatalities,"Pilot error, inexperience, poor weather conditions",Unknown,Chicago to New York City,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 320
Unknown,American Airlines Flight 383,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 383
Airbus A300B4-605R,American Airlines Flight 587,"November 12, 2001","Belle Harbor, Queens, New York City","260 passengers, 5 ground fatalities",First officer's overuse of rudder controls in response to wake turbulence,N14053,John F. Kennedy International Airport to Las Américas International Airport,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 587
Boeing 757-223,American Airlines Flight 77,"September 11, 2001","Arlington County, Virginia","64 passengers, 6 crew, 125 on ground","Hijacking, deliberate crash into the Pentagon",Unknown,Washington Dulles International Airport to Los Angeles International Airport,,,,,,,,,,,,,,,,,,,,,American Airlines Flight 77
Boeing 757-223,American Airlines Flight 965,"December 20, 1995","Buga, Colombia","151 passengers, 8 crew",Navigational errors by flight crew,N651AA,"Miami to Cali, Colombia",,,,,,,,,,,,,,,,,,,,,American Airlines Flight 965
ATR 72,American Eagle Flight 4184,"October 31, 1994","Roselawn, Indiana",68 fatalities,Loss of control due to severe icing conditions,N401AM,Indianapolis to Chicago,,,,,,,,,,,,,,,,,,,,,American Eagle Flight 4184
Lockheed L-188 Electra,American Flyers Airline Flight 280,"April 22, 1966","Ardmore, Oklahoma",83 fatalities,Pilot incapacitation due to coronary insufficiency during approach,N183H,Monterey Regional Airport to Columbus Airport via Ardmore Municipal Airport,,,,,,,,,,,,,,,,,,,,,American Flyers Flight 280
Boeing 727,Ariana Afghan Airlines Flight 701,"January 5, 1969",London Gatwick Airport,"48 passengers, 14 crew, 2 ground","Pilot error, failure to extend flaps, descended below glide slope, crashed into house",YA-FAR,Unknown,,,,,,,,,,,,,,,,,,,,,Ariana Afghan Airlines Flight 701
Airbus A320-200,Armavia Flight 967,"May 3, 2006","Sochi, Russia",113 fatalities,Crashed during go-around attempt,Unknown,"Zvartnots, Armenia to Sochi, Russia",,,,,,,,,,,,,,,,,,,,,Armavia Flight 967
McDonnell Douglas DC-8,Arrow Air Flight 1285,"December 12, 1985","Gander, Newfoundland","248 passengers, 8 crew","Ice contamination on wings, underestimated onboard weight",Unknown,"Cairo, Egypt to Fort Campbell, Kentucky via Cologne, West Germany, Gander, Newfoundland",,,,,,,,,,,,,,,,,,,,,Arrow Air Flight 1285
Boeing 737-5L9,Asiana Airlines Flight 733,"July 26, 1993","Hwawon area of Haenam County, South Jeolla Province",68 fatalities,"Pilot error, controlled flight into terrain",Unknown,Seoul-Gimpo to Mokpo Airport,,,,,,,,,,,,,,,,,,,,,Asiana Airlines Flight 733
McDonnell Douglas MD-83,Atlasjet Flight 4203,"November 30, 2007","Keçiborlu, Turkey","50 passengers, 7 crew","Crashed on approach to Isparta Süleyman Demirel Airport, all 57 occupants perished",TC-AKM,Istanbul to Isparta,,,,,,,,,,,,,,,,,,,,,Atlasjet Flight 4203
Curtiss C-46 Commando,Austral Líneas Aéreas Flight 205,"January 16, 1959","Mar del Plata, Argentina","51 fatalities, 1 survivor","Pilot error, poor weather conditions, non-functional radio beacon, poor visibility",LV-GED,Buenos Aires to Mar del Plata,,,,,,,,,,,,,,,,,,,,,Austral L铆neas A茅reas Flight 205
McDonnell Douglas DC-9-32,Austral Líneas Aéreas Flight 2553,"October 10, 1997","Estancia Magallanes, Nuevo Berlín, Uruguay","74 passengers, crew","Ice obstructing pitot tube, leading to low airspeed indication",LV-WEG,Posadas to Buenos Aires,,,,,,,,,,,,,,,,,,,,,Austral L铆neas A茅reas Flight 2553
DC-9-14,Avensa Flight 358,"December 22, 1974","32 km from Maturín, Venezuela","69 passengers, 6 crew","Engine failure, loss of control",Unknown,Maturín to Simón Bolívar International Airport,,,,,,,,,,,,,,,,,,,,,Avensa Flight 358
Sud Aviation SE 210 Caravelle,Aviaco Flight 118,"August 13, 1973","Montrove, Spain","85 passengers, 1 survivor, 1 ground fatality","Attempted landing in heavy fog, crashed into farmhouse",Unknown,Madrid to A Coruña,,,,,,,,,,,,,,,,,,,,,Aviaco Flight 118
Boeing 747-200B,Avianca Flight 011,"November 27, 1983","Madrid, Spain","181 fatalities, 11 survivors","Pilot error, incorrect determination of plane position",HK-2910X,"Frankfurt-Paris-Madrid-Caracas-Bogotá, crashed near Madrid",,,,,,,,,,,,,,,,,,,,,Avianca Flight 011
Boeing 727-21,Avianca Flight 203,"November 27, 1989","Soacha, Colombia","107 passengers, 3 ground",Bombing by Medellín drug cartel,HK-1803,"Bogotá to Cali, Colombia",,,,,,,,,,,,,,,,,,,,,Avianca Flight 203
Douglas C-54,Avianca Flight 03,"January 14, 1966","Cartagena, Colombia","64 onboard, 8 survivors","Possible engine failure, poor maintenance, inadequate inspections",HK-730,Cartagena to Bogotá,,,,,,,,,,,,,,,,,,,,,Avianca Flight 4
Boeing 727-21,Avianca Flight 410,"March 17, 1988","Near Cúcuta, Colombia",143 fatalities,Controlled flight into terrain,HK-1716,Cúcuta to Cartagena de Indias,,,,,,,,,,,,,,,,,,,,,Avianca Flight 410
Boeing 707,Avianca Flight 52,"January 25, 1990","Cove Neck, New York","8 crew, 65 passengers killed","Fuel exhaustion, failure to declare emergency, inadequate communication",Unknown,Bogotá to New York City via Medellín,,,,,,,,,,,,,,,,,,,,,Avianca Flight 52
Boeing 737-200,Aviateca Flight 901,"August 9, 1995","San Vicente volcano, El Salvador",65 passengers and crew,"Lack of situational awareness, descent below minimum safe altitude, ambiguity in position information",Unknown,"Guatemala City, Guatemala to San Salvador, El Salvador",,,,,,,,,,,,,,,,,,,,,Aviateca Flight 901
Tupolev Tu-134A,Aviogenex Flight 130,"May 23, 1971","Rijeka, Yugoslavia",78 fatalities,"Crew error, optical illusion during landing",YU-AHZ,"London to Rijeka, Yugoslavia",,,,,,,,,,,,,,,,,,,,,Aviogenex Flight 130
Yakovlev Yak-42,Avioimpex Flight 110,"November 20, 1993","Ohrid, Macedonia",116 fatalities,Pilot error,Unknown,Geneva to Skopje via Ohrid,,,,,,,,,,,,,,,,,,,,,Avioimpex Flight 110
Tupolev Tu-134B-3,Azerbaijan Airlines Flight A-56,"December 5, 1995",South-western outskirts of Nakhchivan,52 fatalities,"Engine failure, forced landing, sharp turn to avoid collision with building",Unknown,Nakhchivan to Baku,,,,,,,,,,,,,,,,,,,,,Azerbaijan Airlines Flight 56
Tupolev Tu-154,Baikal Airlines Flight 130,"January 3, 1994","Mamony, Russia","124 passengers, 9 crew, 1 ground",Engine failure due to foreign object,Unknown,Irkutsk to Moscow,,,,,,,,,,,,,,,,,,,,,Baikal Air Flight 130
Boeing 737-2L9,Bellview Airlines Flight 210,"October 22, 2005","Near Lagos, Nigeria","111 passengers, 6 crew","Undetermined, lack of physical evidence due to high-speed impact and looting",5N-BFN,Lagos to Abuja,,,,,,,,,,,,,,,,,,,,,Bellview Airlines Flight 210
Boeing 737-236A,Bhoja Air Flight 213,"April 20, 2012","Near Islamabad, Pakistan","121 passengers, 6 crew",Crew's inadequate flight management during adverse weather condition,AP-BKC,Karachi to Islamabad,,,,,,,,,,,,,,,,,,,,,Bhoja Air Flight 213
Boeing 757-225,Birgenair Flight 301,"February 6, 1996","Puerto Plata, Dominican Republic",189 fatalities,Pilot error due to blocked pitot tube,N2100-04,Puerto Plata to Frankfurt via Gander and Berlin,,,,,,,,,,,,,,,,,,,,,Birgenair Flight 301
Boeing 707,BOAC Flight 911,"March 5, 1966","Near Mount Fuji, Japan","113 passengers, 11 crew",Severe clear-air turbulence,,,,,,,,,,,,,,,,,,,,,,,BOAC Flight 911
Lockheed L-188A Electra,Braniff International Airways Flight 352,"May 3, 1968","Near Dawson, Texas","5 crew, 80 passengers","Structural over-stress, loss of control during severe thunderstorm",N9707C,Houston to Dallas Love Field,,,,,,,,,,,,,,,,,,,,,Braniff Flight 352
Bristol 175 Britannia 102,Britannia Airways Flight 105,"August 31, 1966","Nasovče, Slovenia",98 fatalities,Wrong altimeter setting,G-ANBB,London Luton to Ljubljana Brnik,,,,,,,,,,,,,,,,,,,,,Britannia Airways Flight 105
Boeing 737-236,British Airtours Flight 28M,"August 22, 1985","Manchester Airport, England","55 fatalities, 82 survivors","Engine failure leading to fire, incorrectly repaired combustor",G-BGJL,Manchester to Corfu International,,,,,,,,,,,,,,,,,,,,,British Airtours Flight 28M
Bristol Britannia 312,British Eagle International Airlines Flight 802,"February 29, 1964","Glungezer mountain near Innsbruck, Austria","75 passengers, 8 crew","Poor weather conditions, difficult airport approach, pilot error",G-AOVO,London Heathrow to Innsbruck Kranebitten,,,,,,,,,,,,,,,,,,,,,British Eagle International Airlines Flight 802
Hawker Siddeley Trident,BEA Flight 548,"June 18, 1972","Staines, Surrey, England",118 fatalities,"Deep stall, captain's failure to maintain airspeed, pilots' strike impact, technical problem resolved before take-off",G-ARPI,London Heathrow to Brussels,,,,,,,,,,,,,,,,,,,,,British European Airways Flight 548
Vickers Vanguard,British European Airways Flight 706,"October 2, 1971","Aarsele, Belgium","63 passengers, 8 crew","Corrosion in rear pressure bulkhead, leading to tailplane separation and crash",G-APEC,London Heathrow to Salzburg-W. A. Mozart Airport,,,,,,,,,,,,,,,,,,,,,British European Airways Flight 706
Douglas DC-7C,Caledonian Airways Flight 153,"March 4, 1962","Douala International Airport, Cameroon","101 passengers, 10 crew","Struggled to gain lift during takeoff, crashed into jungle after hitting trees",G-ARUD,"Luxembourg to Khartoum, Lorenzo Marques, Douala, Lisbon, and back to Luxembourg",,,,,,,,,,,,,,,,,,,,,Caledonian Airways Flight 153
Boeing 737-200,Cameroon Airlines Flight 3701,"December 3, 1995","Douala, Cameroon","71 passengers, 5 crew, 5 survivors","Loss of control during go-around attempt, engine power loss",TJ-CBE,"Cotonou, Benin to Douala, Cameroon",,,,,,,,,,,,,,,,,,,,,Cameroon Airlines Flight 3701
Douglas DC-6B,Canadian Pacific Air Lines Flight 21,"July 8, 1965","100 Mile House, British Columbia",52 fatalities,Bomb explosion in the left aft lavatory,Unknown,"Vancouver to Whitehorse via Prince George, Fort St. John, Fort Nelson, Watson Lake",,,,,,,,,,,,,,,,,,,,,Canadian Pacific Air Lines Flight 21
McDonnell Douglas DC-8-43,Canadian Pacific Air Lines Flight 402,"March 4, 1966","Haneda Airport, Japan","62 passengers, 10 crew, 8 survivors","Poor visibility, struck approach lights and seawall during night landing",CF-CPK,Hong Kong to Tokyo to Vancouver,,,,,,,,,,,,,,,,,,,,,Canadian Pacific Airlines Flight 402
Vickers Viscount,Capital Airlines Flight 20,"January 18, 1960","Charles City County, Virginia","44 passengers, 4 crew","Engine failure due to icing, propeller autofeathering, unsuccessful engine restart, circling descent, crash into trees",Unknown,"Washington, D.C. to Norfolk, Virginia",,,,,,,,,,,,,,,,,,,,,Capital Airlines Flight 20
Tupolev Tu-154M,Caspian Airlines Flight 7908,"July 15, 2009","Near Qazvin, Iran","153 passengers, 15 crew","Engine failure, loss of control due to rotor disc disintegration",EP-CPG,Tehran to Yerevan,,,,,,,,,,,,,,,,,,,,,Caspian Airlines Flight 7908
Convair CV-880,Cathay Pacific Flight 700Z,"June 15, 1972","Near Saigon, Vietnam",Unknown,Explosive device onboard,Unknown,Singapore to Hong Kong via Bangkok,,,,,,,,,,,,,,,,,,,,,Cathay Pacific Airways Flight 700Z
McDonnell Douglas DC-9-32,Cebu Pacific Flight 387,"February 2, 1998","Mount Sumagaya, Gingoog",104 passengers and crew,"Controlled flight into terrain, all occupants perished",Unknown,Ninoy Aquino International Airport to Lumbia Airport,,,,,,,,,,,,,,,,,,,,,Cebu Pacific Air Flight 387
Airbus A300B4-622R,China Airlines Flight 140,"April 26, 1994","Nagoya, Japan","264 fatalities, 7 survivors",Inadvertent activation of takeoff/go-around setting leading to autopilot conflict and stall,Unknown,Chiang Kai-shek International Airport to Nagoya Airport,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 140
Boeing 737-200,China Airlines Flight 204,"October 26, 1989","Hualien, Taiwan",54 fatalities,"Pilot error, departure from wrong runway",B-180,Hualien to Chiang Kai-shek International Airport,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 204
Boeing 747-209B,China Airlines Flight 611,"May 25, 2002","Taiwan Strait, 23 NM northeast of Penghu Islands",225 fatalities,Metal fatigue cracks from improper repairs,B-18255,Taiwan to Hong Kong,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 611
Airbus A300,China Airlines Flight 676,"February 16, 1998","Tayuan, Taoyuan County, Taiwan","196 passengers, 7 ground","Pilot error, stalled during go-around, crashed into residential area",B-1814,"Bali, Indonesia to Taipei, Taiwan",,,,,,,,,,,,,,,,,,,,,China Airlines Flight 676
Bombardier CRJ-200ER,China Eastern Airlines Flight 5210,"November 21, 2004","Nanhai Park, China","53 passengers, 6 crew, 2 ground",Ice accumulation on wings leading to loss of lift,Unknown,Baotou to Beijing to Shanghai,,,,,,,,,,,,,,,,,,,,,China Eastern Airlines Flight 5210
Boeing 737-89P,China Eastern Airlines Flight 5735,"March 21, 2022","Teng County, Wuzhou, Guangxi Zhuang Autonomous Region","123 passengers, 9 crew","Deliberate crash, ongoing investigation",Unknown,Kunming to Guangzhou,,,,,,,,,,,,,,,,,,,,,China Eastern Airlines Flight 5735
Yakovlev Yak-42D,China General Aviation Flight 7552,"July 31, 1992","Xiamen, China","100 passengers, 8 crew",Improper horizontal stabilizer setting,B-2755,Nanjing to Xiamen,,,,,,,,,,,,,,,,,,,,,China General Aviation Flight 7552
McDonnell Douglas MD-82,China Northern Airlines Flight 6136,"May 7, 2002","Near Dalian, China","103 passengers, 9 crew","Arson, fire on board",B-2138,Beijing to Dalian,,,,,,,,,,,,,,,,,,,,,China Northern Airlines Flight 6136
McDonnell Douglas MD-82,China Northwest Airlines Flight 2119,"July 23, 1993","Yinchuan, China","54 passengers, 1 crew","Flap actuator failure, crew's failure to check flap deployment for takeoff",Unknown,Yinchuan to Beijing,,,,,,,,,,,,,,,,,,,,,China Northwest Airlines Flight 2119
Tupolev Tu-154M,China Northwest Airlines Flight 2303,"June 6, 1994","Near Xi'an, China",160 fatalities,"Autopilot malfunction, in-flight breakup",Unknown,Xi'an to Guangzhou,,,,,,,,,,,,,,,,,,,,,China Northwest Airlines Flight 2303
Boeing 737-3Y0,China Southern Airlines Flight 3943,"November 24, 1992","Guilin, China",141 fatalities,"Asymmetrical power condition, loss of control, crash into mountain",B-2523,Guangzhou to Guilin,,,,,,,,,,,,,,,,,,,,,China Southern Airlines Flight 3943
Ilyushin Il-18,China Southwest Airlines Flight 4146,"January 18, 1988","Near Chongqing, China",108 passengers and crew,"Engine fire due to oil leak, loss of control, crash, and fire",Unknown,Beijing to Chongqing,,,,,,,,,,,,,,,,,,,,,China Southwest Airlines Flight 4146
Tupolev Tu-154M,China Southwest Airlines Flight 4509,"February 24, 1999","Wenzhou, China","61 passengers, crew",Incorrect self-locking locknuts in elevator system,B-2622,Chengdu to Wenzhou,,,,,,,,,,,,,,,,,,,,,China Southwest Airlines Flight 4509
Bombardier Q400,Colgan Air Flight 3407,"February 12, 2009","Clarence Center, New York","49 passengers, 1 ground",Pilot's inappropriate response to stall warnings,N200WQ,"Newark, New Jersey to Buffalo, New York",,,,,,,,,,,,,,,,,,,,,Colgan Air Flight 3407
Tupolev Tu-154M,Cubana de Aviación Flight 389,"August 29, 1998","Quito, Ecuador","70 passengers, 10 ground","Overrun runway, crashed into buildings and soccer field, failed take-off attempts",Unknown,Quito to Guayaquil,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 389
Douglas DC-8,Cubana de Aviación Flight 455,"October 6, 1976",Sea near Jamaica,73 fatalities,Terrorist bomb attack,Unknown,Barbados to Jamaica,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 455
Ilyushin Il-62M,Cubana de Aviación Flight 9046,"September 3, 1989","José Martí International Airport, Cuba","126 occupants on board, 24 on ground",Pilot's decision to fly in poor weather,Unknown,Havana–Milan–Cologne,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 9046
Boeing 737-201 Adv,Cubana de Aviación Flight 972,"May 18, 2018",Near Santiago de las Vegas,"112 fatalities, 1 survivor","Weight imbalance, unsuccessful attempt to remedy loading issues",Unknown,Havana to Holguín,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 972
de Havilland Comet 4B,Cyprus Airways Flight 284,"October 12, 1967","Mediterranean Sea, near Demre, Turkey","66 passengers, 7 crew",Bomb explosion in the cabin,G-ARCO,"London to Athens, Athens to Nicosia",,,,,,,,,,,,,,,,,,,,,Cyprus Airways Flight 284
Boeing 727-46,Dan-Air Flight 1008,"April 25, 1980","Mount La Esperanza, Tenerife",146 fatalities,Incorrect execution of unpublished holding pattern in high ground area,Unknown,Manchester to Tenerife,,,,,,,,,,,,,,,,,,,,,Dan-Air Flight 1008
McDonnell Douglas MD-83,Dana Air Flight 0992,"June 3, 2012","Lagos, Nigeria","153 passengers, 6 ground","Dual-engine failure, incorrect assembly of engines, lack of situational awareness, poor decision-making by pilots",5N-RAM,Abuja to Lagos,,,,,,,,,,,,,,,,,,,,,Dana Air Flight 992
Lockheed L-1011 TriStar,Delta Air Lines Flight 191,"August 2, 1985",Dallas/Fort Worth International Airport,"137 fatalities, 26 injuries","Encounter with microburst, lack of procedures to avoid microbursts, lack of hazard information on wind shear",Unknown,Fort Lauderdale to Dallas/Fort Worth to Los Angeles,,,,,,,,,,,,,,,,,,,,,Delta Air Lines Flight 191
Douglas DC-9-31,Delta Air Lines Flight 723,"July 31, 1973","Logan International Airport, Boston",89 fatalities,"Descended below glidepath during ILS approach, struck seawall, and crashed",N975NE,"Burlington, VT to Manchester, NH to Boston, MA",,,,,,,,,,,,,,,,,,,,,Delta Air Lines Flight 723
BAC One-Eleven 525FT,EAS Airlines Flight 4226,"May 4, 2002","Gwammaja, Nigeria","66 passengers, 7 crew, 30 civilians",Pilot error,Unknown,Kano to Lagos,,,,,,,,,,,,,,,,,,,,,EAS Airlines Flight 4226
McDonnell Douglas DC-9-31,Eastern Air Lines Flight 212,"September 11, 1974","Charlotte Douglas International Airport, NC","72 fatalities, 10 survivors","Crew errors, controlled flight into terrain",N8984E,Charleston to Chicago via Charlotte,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 212
Douglas DC-8,Eastern Air Lines Flight 304,"February 25, 1964","Lake Pontchartrain, Louisiana","51 passengers, 7 crew",Degradation of aircraft stability characteristics in turbulence,,New Orleans International Airport to Washington Dulles International Airport via Atlanta,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 304
Lockheed L-188 Electra,Eastern Air Lines Flight 375,"October 4, 1960","Logan International Airport, Boston, Massachusetts","62 fatalities, 10 survivors","Bird strike, engine failure, crash into Winthrop Bay",N5533,,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 375
Lockheed L-1011-1 TriStar,Eastern Air Lines Flight 401,"December 29, 1972",Florida Everglades,"101 fatalities, 75 survivors","Crew error, autopilot disconnection",,New York JFK to Miami,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 401
Douglas DC-4,Eastern Air Lines Flight 605,"May 30, 1947","Near Bainbridge, Maryland",53 fatalities,"Loss of control, reasons unknown, resulting in a dive to the ground",Unknown,Newark to Miami,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 605
Boeing 727,Eastern Air Lines Flight 66,"June 24, 1975","John F. Kennedy International Airport, New York",113 fatalities,"Wind shear caused by microburst, failure to recognize severe weather hazard",N8845E,New Orleans to New York City,,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 66
Douglas DC-7,Eastern Air Lines Flight 663,"February 8, 1965","Near Jones Beach State Park, New York","79 passengers, 5 crew",Spatial disorientation due to evasive maneuvers to avoid collision with another aircraft,N815D,"Boston to Atlanta via New York, Richmond, Charlotte, Greenville",,,,,,,,,,,,,,,,,,,,,Eastern Air Lines Flight 663
Boeing 737-200,EgyptAir Flight 648,"November 23, 1985","Athens, Greece",Dozens dead,"Hijacking by Abu Nidal terrorist organization, raid by Egyptian troops",SU-AYH,Athens to Cairo,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 648
Airbus A320,EgyptAir Flight 804,"May 19, 2016",Mediterranean Sea,"56 passengers, 3 security personnel, 7 crew","Smoke detected in lavatories and avionics bay, no mayday call, crash into Mediterranean Sea",Unknown,Paris to Cairo,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 804
Boeing 707-366C,EgyptAir Flight 864,"December 25, 1976","Bangkok, Thailand","52 passengers, 9 crew, 19 ground","Crashed into industrial complex, 71 fatalities",SU-AXA,"Rome to Tokyo via Cairo, Bombay, Bangkok",,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 864
Boeing 767-300ER,EgyptAir Flight 990,"October 31, 1999","60 miles south of Nantucket Island, Massachusetts",217 passengers and crew,Probable intentional actions by relief first officer,Unknown,Los Angeles to New York City to Cairo,,,,,,,,,,,,,,,,,,,,,EgyptAir Flight 990
Antonov An-24,Equatorial Express Airlines An-24 crash,"July 16, 2005","Baney, Equatorial Guinea","60 passengers, 6 crew","Overloaded aircraft, crash into mountain",3C-VQR,Malabo to Bata,,,,,,,,,,,,,,,,,,,,,Equatorial Express Airlines (3C-VQR)
"Potez 25-A2, Junkers W 33c",Battle of Anchem,"March 31, 1930","Anchem, Ethiopia",Not applicable,Strategic military use during battle,Unknown,Military operation,,,,,,,,,,,,,,,,,,,,,Ethiopian Air Force
Boeing 737 MAX 8,Ethiopian Airlines Flight 302,"March 10, 2019","Bishoftu, Ethiopia",157 fatalities,"Aircraft malfunction, worldwide grounding, investigation",ET-AVJ,Addis Ababa to Nairobi,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 302
Boeing 737-8AS,Ethiopian Airlines Flight 409,"January 25, 2010",Mediterranean Sea,90 fatalities,"Climbed erratically, stalled, entered a spiral dive, and crashed into the sea",ET-ANB,Beirut to Addis Ababa,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 409
Boeing 767-200ER,Ethiopian Airlines Flight 961,"November 23, 1996","Near Grande Comore, Comoros Islands","125 passengers, 3 hijackers","Hijacking, fuel exhaustion, crash-landing in the Indian Ocean",ET-AIZ,Addis Ababa–Nairobi–Brazzaville–Lagos–Abidjan,,,,,,,,,,,,,,,,,,,,,Ethiopian Airlines Flight 961
Boeing 737-222,Far Eastern Air Transport Flight 103,"August 22, 1981","Sanyi, Miaoli, Taiwan",110 fatalities,Explosive decompression leading to disintegration and crash,Unknown,Taipei Songshan Airport to Kaohsiung International Airport,,,,,,,,,,,,,,,,,,,,,Far Eastern Air Transport Flight 103
Boeing 737-222,Faucett Perú Flight 251,"February 29, 1996",Rodríguez Ballón International Airport,123 passengers and crew,"Outdated altimeter setting, pilot error",OB-1451,Lima to Arequipa to Tacna,,,,,,,,,,,,,,,,,,,,,Faucett Flight 251
Boeing 737-300,Flash Airlines Flight 604,"January 3, 2004","Red Sea, Egypt","135 passengers, 13 crew","Controversial, inconclusive investigation",SU-ZCE,Sharm El Sheikh to unknown,,,,,,,,,,,,,,,,,,,,,Flash Airlines Flight 604
Boeing 737-800,Flydubai Flight 981,"March 19, 2016","Rostov-on-Don, Russia","62 passengers, crew",Go-around procedure crash,Unknown,Dubai to Rostov-on-Don,,,,,,,,,,,,,,,,,,,,,Flydubai Flight 981
Various,Flying Tiger Line,1945-1988,Various,N/A,N/A,Various,Various,,,,,,,,,,,,,,,,,,,,,Flying Tiger Line (N228SW)
Lockheed L-1049 Super Constellation,Flying Tiger Line Flight 739,"March 16, 1962",Western Pacific Ocean,"93 U.S. soldiers, 3 South Vietnamese","In-flight explosion, presumed dead",Unknown,"Travis Air Force Base, California to Saigon, Vietnam via Guam, Philippines",,,,,,,,,,,,,,,,,,,,,Flying Tiger Line Flight 739
Airship,Dixmude,"December 21, 1923",Off the coast of Sicily,52 fatalities,Mid-air explosion,,,,,,,,,,,,,,,,,,,,,,,French airship Dixmude
Lockheed L-188 Electra,Galaxy Airlines Flight 203,"January 21, 1985","Reno-Cannon International Airport, Nevada","70 fatalities, 1 survivor","Crew coordination failure, ground handler error",N5532,"Reno, Nevada to Minneapolis, Minnesota",,,,,,,,,,,,,,,,,,,,,Galaxy Airlines Flight 203
Airbus A300B4 FFCC,Garuda Indonesia Flight 152,"September 26, 1997","Near Buah Nabar, Sibolangit, Indonesia","222 passengers, 12 crew","Controlled flight into terrain, pilot error",PK-GAI,Jakarta to Medan,,,,,,,,,,,,,,,,,,,,,Garuda Indonesia Flight 152
,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,Georgian Air Force
Airbus A320-211,Germanwings Flight 9525,"March 24, 2015","French Alps, 100 km north-west of Nice","144 passengers, 6 crew members","Deliberate crash by co-pilot Andreas Lubitz, mental health issues, controlled descent into mountainside",Unknown,Barcelona to Düsseldorf,,,,,,,,,,,,,,,,,,,,,Germanwings Flight 9525
Bristol Britannia,Nicosia Britannia disaster,"July 21, 1967","3.5 km south of Nicosia Airport, Cyprus",126 passengers and crew,"Violent thunderstorm, pilot fatigue, inexperience, exceeded duty time",Unknown,"Bangkok to Basel with stopovers in Colombo, Bombay, and Cairo",,,,,,,,,,,,,,,,,,,,,Globe Air (HB-ITB)
Airbus A320,Gulf Air Flight 072,"August 23, 2000","Persian Gulf, 5 km from Bahrain Airport",143 fatalities,"Spatial disorientation, failed go-around, non-adherence to SOPs",A4O-EK,Cairo to Bahrain,,,,,,,,,,,,,,,,,,,,,Gulf Air Flight 072
Boeing 737-2P6,Gulf Air Flight 771,"September 23, 1983","Near Jebel Ali, UAE desert","5 crew, 107 passengers",Bomb explosion in baggage compartment,A40-BK,"Karachi, Pakistan to Abu Dhabi, UAE",,,,,,,,,,,,,,,,,,,,,Gulf Air Flight 771
Boeing 737-31S,Helios Airways Flight 522,"August 14, 2005","Near Grammatiko, Greece",121 fatalities,"Loss of cabin pressurization, crew incapacitation, fuel exhaustion, crash",5B-DBY,Larnaca to Prague via Athens,,,,,,,,,,,,,,,,,,,,,Helios Airways Flight 522
Boeing 727-022,Hewa Bora Airways Flight 952,"July 8, 2011","Kisangani, DRC","74 fatalities, 44 injuries","Thunderstorms, poor visibility, lack of official instrument approach procedure",9Q-COP,Kinshasa to Kisangani,,,,,,,,,,,,,,,,,,,,,Hewa Bora Airways Flight 952
Sud Aviation SE 210 Caravelle,Iberia Flight 602,"January 7, 1972","Near Ibiza Town, Spain","98 passengers, 6 crew","Controlled flight into terrain, pilot error, failure to maintain altitude",Unknown,Valencia to Ibiza,,,,,,,,,,,,,,,,,,,,,Iberia Airlines Flight 602
Boeing 727-256,Iberia Flight 610,"February 19, 1985","Mount Oiz, Biscay near Bilbao","141 passengers, 7 crew","Crashed into television antenna on Mount Oiz, all 141 passengers and 7 crew died",EC-DDU,Madrid to Bilbao,,,,,,,,,,,,,,,,,,,,,Iberia Airlines Flight 610
